id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413882635886108682,1413882635886108682,2021-07-10 15:27:43 UTC,2021-07-10,15:27:43,+0000,37660719,ken1555,今泉健一郎/KEN IMAIZUMI,,めっちゃ似てる！,ja,[],[],[],0,0,5,[],[],https://twitter.com/Ken1555/status/1413882635886108682,False,https://twitter.com/seeu_cosplay/status/1404301861989982211,0,,,,,,,,[],,,,
1413276156791427072,1413276156791427072,2021-07-08 23:17:47 UTC,2021-07-08,23:17:47,+0000,37660719,ken1555,今泉健一郎/KEN IMAIZUMI,,座布団一枚！ でも、デーブさんが面白い事言うと不安になります。,ja,[],[],[],0,1,10,[],[],https://twitter.com/Ken1555/status/1413276156791427072,False,https://twitter.com/dave_spector/status/1412901143626219520,0,,,,,,,,[],,,,
1412942807019319296,1412942807019319296,2021-07-08 01:13:11 UTC,2021-07-08,01:13:11,+0000,37660719,ken1555,今泉健一郎/KEN IMAIZUMI,,素敵！,ja,[],[],[],0,0,5,[],[],https://twitter.com/Ken1555/status/1412942807019319296,False,https://twitter.com/jinjin4614/status/1412806371154698244,0,,,,,,,,[],,,,
1412794438913458178,1412794438913458178,2021-07-07 15:23:37 UTC,2021-07-07,15:23:37,+0000,37660719,ken1555,今泉健一郎/KEN IMAIZUMI,,こんな時間にかい？,ja,[],[],[],1,0,1,[],[],https://twitter.com/Ken1555/status/1412794438913458178,False,https://twitter.com/jinjin4614/status/1412792469469630468,0,,,,,,,,[],,,,
1412065425504935939,1412064541836414979,2021-07-05 15:06:47 UTC,2021-07-05,15:06:47,+0000,37660719,ken1555,今泉健一郎/KEN IMAIZUMI,,@sasukebusaiku 先輩の活躍いつも見てます！,ja,[],[],[],0,0,1,[],[],https://twitter.com/Ken1555/status/1412065425504935939,False,,0,,,,,,,,"[{'screen_name': 'sasukebusaiku', 'name': 'さるきち1号', 'id': '1726195944'}]",,,,
1412043402485526532,1411999924070207493,2021-07-05 13:39:16 UTC,2021-07-05,13:39:16,+0000,37660719,ken1555,今泉健一郎/KEN IMAIZUMI,,@sasukebusaiku 痛そう。。。,ja,[],[],[],0,0,1,[],[],https://twitter.com/Ken1555/status/1412043402485526532,False,,0,,,,,,,,"[{'screen_name': 'sasukebusaiku', 'name': 'さるきち1号', 'id': '1726195944'}]",,,,
1411622897584525312,1411607740376625153,2021-07-04 09:48:20 UTC,2021-07-04,09:48:20,+0000,37660719,ken1555,今泉健一郎/KEN IMAIZUMI,,@StSundae お友達の間借りカレー。美味しいんだぞ！,ja,[],[],[],0,0,1,[],[],https://twitter.com/Ken1555/status/1411622897584525312,False,,0,,,,,,,,"[{'screen_name': 'StSundae', 'name': '🐈', 'id': '18672957'}]",,,,
1411607740376625153,1411607740376625153,2021-07-04 08:48:06 UTC,2021-07-04,08:48:06,+0000,37660719,ken1555,今泉健一郎/KEN IMAIZUMI,,今日だって忘れてた。ゴメン。次回は必ず！,ja,[],[],[],1,0,11,[],[],https://twitter.com/Ken1555/status/1411607740376625153,False,https://twitter.com/toyo0123/status/1411515977615872005,0,,,,,,,,[],,,,
1411600639415652357,1411600639415652357,2021-07-04 08:19:53 UTC,2021-07-04,08:19:53,+0000,37660719,ken1555,今泉健一郎/KEN IMAIZUMI,,My bio said I used to be a producer. Now I’m a director in Business Development team in Tencent.,en,[],[],[],1,0,19,[],[],https://twitter.com/Ken1555/status/1411600639415652357,False,https://twitter.com/dittoronaldo/status/1411593792403161092,0,,,,,,,,[],,,,
1411592382588481539,1411592382588481539,2021-07-04 07:47:04 UTC,2021-07-04,07:47:04,+0000,37660719,ken1555,今泉健一郎/KEN IMAIZUMI,,行きたかった高田馬場のカレー屋さん2軒とも定休日だった。調べずに行ってしまった。。 。  その後、友人のカレーイベントが今日だった事に気づくという。。。豊島くんスマン🙇‍♂️  #横浜ボンディ高田馬場  #ブラザー #カレー,ja,[],[],[],1,0,6,"['横浜ボンディ高田馬場', 'ブラザー', 'カレー']",[],https://twitter.com/Ken1555/status/1411592382588481539,False,,0,,,,,,,,[],,,,
