id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1387424003317395458,1387424003317395458,2021-04-28 15:10:34 UTC,2021-04-28,15:10:34,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,3年間とっても楽しかったです！ たくさんの思い出でいっぱいだよ！！ 自分の選択に自信をもってこれからも生きます！ みんなが幸せに過ごせますように おやすみなさい🌼  ゆるふわどりーみん Music Video   https://t.co/0uIQtmz7J1  https://t.co/7AvDbUlNg8,ja,[],['https://youtu.be/ODFNe8pILpY'],['https://pbs.twimg.com/media/E0Eexq2VUAM6HWO.jpg'],1359,3268,9689,[],[],https://twitter.com/KitakamiFutaba/status/1387424003317395458,False,,1,https://pbs.twimg.com/media/E0Eexq2VUAM6HWO.jpg,,,,,,,[],,,,
1387405784380698625,1387405784380698625,2021-04-28 13:58:10 UTC,2021-04-28,13:58:10,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,この後23時から最後の配信です！ 最後だし文化祭のイラストのプレゼンもする👩‍🎨 時間経つのがあっという間だあ 最後までよろしくね(´˘`๑)  ▶️卒業します！応援ありがとうございました！   https://t.co/oJGL260BAw  https://t.co/Z6vACpjz0Z,ja,[],['https://youtu.be/UXKgy1mmf68'],['https://pbs.twimg.com/media/E0EOMmpVEAAuOQU.jpg'],263,2170,5753,[],[],https://twitter.com/KitakamiFutaba/status/1387405784380698625,False,,1,https://pbs.twimg.com/media/E0EOMmpVEAAuOQU.jpg,,,,,,,[],,,,
1387022179112394756,1387022179112394756,2021-04-27 12:33:51 UTC,2021-04-27,12:33:51,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,ゆるニャンありがとうございました！ 締まらなすぎて笑う😂🌱🍒 口がヒリヒリして痛いです！！！  ちえりちゃんにたくさんプレゼントもらっちゃった😭 ドッキリもわたしがやる予定だったのに悔しい！！！！！！！！！寂しい気持ちが出てきた😭残りもがんばるよお,ja,[],[],[],336,487,2792,[],[],https://twitter.com/KitakamiFutaba/status/1387022179112394756,False,,0,,,,,,,,[],,,,
1386983012424765442,1386983012424765442,2021-04-27 09:58:13 UTC,2021-04-27,09:58:13,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,やるぞおおおおおおおおおおおおおおおおおおおおお(:3っ )つ≡:･*･･*,ja,[],[],[],88,457,1767,[],[],https://twitter.com/KitakamiFutaba/status/1386983012424765442,False,https://twitter.com/KitakamiFutaba/status/1386893071967690758,0,,,,,,,,[],,,,
1386893071967690758,1386893071967690758,2021-04-27 04:00:50 UTC,2021-04-27,04:00:50,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,今日は花京院ちえりちゃんと19時から配信するよ！🌱🍒 飛ぶぞおおおおおおお！斬るぞおおおおお！写真かわいく撮れた🥰  ▶️ゆるニャンで飛ぶ！斬る！   https://t.co/wI0CPey03n  https://t.co/SCxfWDDgso,ja,[],['https://youtu.be/Kx5TdxtvTas'],['https://pbs.twimg.com/media/Ez875PGVkAAEbdM.jpg'],209,746,2281,[],[],https://twitter.com/KitakamiFutaba/status/1386893071967690758,False,,1,https://pbs.twimg.com/media/Ez875PGVkAAEbdM.jpg,,,,,,,[],,,,
1386643077977153537,1386643077977153537,2021-04-26 11:27:27 UTC,2021-04-26,11:27:27,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,🌼花咲く未来のMV公開しました🌼  北上双葉「花咲く未来」Music Video  https://t.co/I8wLqOaw8W  https://t.co/T4HSrdwAZL,ja,[],['https://youtu.be/8_qAYejpBVk'],['https://pbs.twimg.com/media/Ez5Yh1_VcAMLAN1.jpg'],223,1125,2813,[],[],https://twitter.com/KitakamiFutaba/status/1386643077977153537,False,,1,https://pbs.twimg.com/media/Ez5Yh1_VcAMLAN1.jpg,,,,,,,[],,,,
1386365148047187971,1386365148047187971,2021-04-25 17:03:03 UTC,2021-04-25,17:03:03,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,配信ありがとうございました！ 27日はちえりちゃんとコラボ！ 28日は最後の配信！あっという間だ！  お先におやすみなっさい！🧸𖤐⡱,ja,[],[],[],227,264,2009,[],[],https://twitter.com/KitakamiFutaba/status/1386365148047187971,False,,0,,,,,,,,[],,,,
1386334686390022144,1386334686390022144,2021-04-25 15:02:00 UTC,2021-04-25,15:02:00,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,かいしかいしかいしー！,ja,[],[],[],12,218,1100,[],[],https://twitter.com/KitakamiFutaba/status/1386334686390022144,False,https://twitter.com/KitakamiFutaba/status/1386332088186531841,0,,,,,,,,[],,,,
1386332088186531841,1386332088186531841,2021-04-25 14:51:41 UTC,2021-04-25,14:51:41,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,告知ギリギリでごめんなさい！(｡&gt;ㅅ&lt;｡) この後24時からバイノーラルマイクで遊ぶのだ！ 今日は色んな音を出してみる回〜 よろなの(Ｕ 'ᴗ'  )⊃━━*.☆ﾟ  ▶️【ASMR/Binaural】これは何の音でしょう！  https://t.co/TRIsWAojEJ  https://t.co/ko8SKtRMQr,ja,[],['https://youtu.be/c7Yk4D14__Q'],['https://pbs.twimg.com/media/Ez09r17VgAQlu7y.jpg'],100,422,1393,[],[],https://twitter.com/KitakamiFutaba/status/1386332088186531841,False,,1,https://pbs.twimg.com/media/Ez09r17VgAQlu7y.jpg,,,,,,,[],,,,
1386164800602853376,1386164800602853376,2021-04-25 03:46:56 UTC,2021-04-25,03:46:56,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,初めてで最後のVRのやつが販売してます！ 双葉はネット配信だったので追加のボイスもあります！ 気になったらぜひ(๑˃ᴗ˂)و🌱,ja,[],[],[],112,520,1880,[],[],https://twitter.com/KitakamiFutaba/status/1386164800602853376,False,https://twitter.com/dotLIVEyoutuber/status/1385941913962905602,0,,,,,,,,[],,,,
1386024806202580994,1386024806202580994,2021-04-24 18:30:39 UTC,2021-04-24,18:30:39,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,わああああああん！！！！！！！ありがとうございました😭とっても楽しかったガリベンガー！！！ #ガリベンガーV,ja,[],[],[],55,237,1965,['ガリベンガーv'],[],https://twitter.com/KitakamiFutaba/status/1386024806202580994,False,,0,,,,,,,,[],,,,
1386020699823775746,1386019483765022722,2021-04-24 18:14:20 UTC,2021-04-24,18:14:20,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,@garibenV ううううう！！！！！いっぱい使ってくれるから何回も恥ずかしくなるやーーーつ！！🤣,ja,[],[],[],1,53,660,[],[],https://twitter.com/KitakamiFutaba/status/1386020699823775746,False,,0,,,,,,,,"[{'screen_name': 'garibenV', 'name': 'ガリベンガーＶ🤖【公式】本日深夜0時15分⏰チョウＳＰ🦋貴重映像や衝撃生態が続々‼️', 'id': '1082980672174583809'}]",,,,
1386019483765022722,1386019483765022722,2021-04-24 18:09:30 UTC,2021-04-24,18:09:30,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,この回めっちゃ恥ずかしい #ガリベンガーV,ja,[],[],[],64,143,1454,['ガリベンガーv'],[],https://twitter.com/KitakamiFutaba/status/1386019483765022722,False,,0,,,,,,,,[],,,,
1385958978216071173,1385958978216071173,2021-04-24 14:09:04 UTC,2021-04-24,14:09:04,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,#入れ替わっちゃった 楽しかったー！！３人でたくさん遊べて思い出になった！ありがとうございました！  これは双葉を取り合ってくれてる感じの２人🥺 🌾両手に花はこれのことよ💎  https://t.co/1NVF5jctEU,ja,[],[],"['https://pbs.twimg.com/media/EzvqVb7VkAId3YW.jpg', 'https://pbs.twimg.com/media/EzvqVb9VUAcn1B1.jpg', 'https://pbs.twimg.com/media/EzvqVcAVcAErBj1.jpg']",432,930,3629,['入れ替わっちゃった'],[],https://twitter.com/KitakamiFutaba/status/1385958978216071173,False,,1,https://pbs.twimg.com/media/EzvqVb7VkAId3YW.jpg,,,,,,,[],,,,
1385910602250407936,1385910602250407936,2021-04-24 10:56:51 UTC,2021-04-24,10:56:51,+0000,992042416445128706,kitakamifutaba,北上双葉🌱‎,,#入れ替わっちゃった 20時から！！！！！入れ替わるのか？  食パン食べてダッシュしなきゃ(❃•ᗜ•)*｡♡,ja,[],[],[],72,385,1376,['入れ替わっちゃった'],[],https://twitter.com/KitakamiFutaba/status/1385910602250407936,False,https://twitter.com/YaezawaNatori/status/1384969516195713028,0,,,,,,,,[],,,,
