id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1412689761173590016,1412689761173590016,2021-07-07 08:27:40 UTC,2021-07-07,08:27:40,+0000,2346263425,mikanseip,Orangestar,,久々に曲が完成したのでカロリーメイトジェンガをしません,ja,[],[],[],192,2016,16635,[],[],https://twitter.com/MikanseiP/status/1412689761173590016,False,,0,,,,,,,,[],,,,
1377927127106875395,1377927127106875395,2021-04-02 10:13:22 UTC,2021-04-02,10:13:22,+0000,2346263425,mikanseip,Orangestar,,友人の卒業制作ちょっとお手伝いしてます,ja,[],[],[],21,786,6582,[],[],https://twitter.com/MikanseiP/status/1377927127106875395,False,https://twitter.com/sish3nfan/status/1377925723055398912,0,,,,,,,,[],,,,
1369273462393499652,1369273462393499652,2021-03-09 13:06:47 UTC,2021-03-09,13:06:47,+0000,2346263425,mikanseip,Orangestar,,今夜0時配信スタートです💥  https://t.co/FeRM8tFrLn  https://t.co/Lg3ssIVLqY,ja,[],['https://lnk.to/wolpiscarter-digimon'],['https://pbs.twimg.com/media/EwCi9KTVcAA7v_c.jpg'],49,1014,6752,[],[],https://twitter.com/MikanseiP/status/1369273462393499652,False,,1,https://pbs.twimg.com/media/EwCi9KTVcAA7v_c.jpg,,,,,,,[],,,,
1365265856083619844,1365265856083619844,2021-02-26 11:42:00 UTC,2021-02-26,11:42:00,+0000,2346263425,mikanseip,Orangestar,,今回キーめっちゃ高いのはウォルピスさんの要望なのでOrangestarを責めないでやってください,ja,[],[],[],67,2044,23961,[],[],https://twitter.com/MikanseiP/status/1365265856083619844,False,,0,,,,,,,,[],,,,
1365263584087797761,1365260557394186244,2021-02-26 11:32:58 UTC,2021-02-26,11:32:58,+0000,2346263425,mikanseip,Orangestar,,@wolpis_kater 😅,und,[],[],[],0,35,966,[],[],https://twitter.com/MikanseiP/status/1365263584087797761,False,,0,,,,,,,,"[{'screen_name': 'wolpis_kater', 'name': 'ウォルピスカーター', 'id': '1045050090'}]",,,,
1355226538199773185,1355170995464622082,2021-01-29 18:49:20 UTC,2021-01-29,18:49:20,+0000,2346263425,mikanseip,Orangestar,,@013095Yui おめでとう〜！,ja,[],[],[],1,0,108,[],[],https://twitter.com/MikanseiP/status/1355226538199773185,False,,0,,,,,,,,"[{'screen_name': '013095Yui', 'name': '津島ソラ🍥', 'id': '1734655280'}]",,,,
1350413300509523975,1350109894116929536,2021-01-16 12:03:14 UTC,2021-01-16,12:03:14,+0000,2346263425,mikanseip,Orangestar,,@L0_1N おめでとう！！,ja,[],[],[],1,4,210,[],[],https://twitter.com/MikanseiP/status/1350413300509523975,False,,0,,,,,,,,"[{'screen_name': 'L0_1N', 'name': 'ルワン/新曲「カルティカ」', 'id': '3123350376'}]",,,,
1348173260022710278,1348173260022710278,2021-01-10 07:42:07 UTC,2021-01-10,07:42:07,+0000,2346263425,mikanseip,Orangestar,,今回の曲はなんと人間が歌えます,ja,[],[],[],295,7296,64743,[],[],https://twitter.com/MikanseiP/status/1348173260022710278,False,,0,,,,,,,,[],,,,
1348169658231267336,1348169658231267336,2021-01-10 07:27:48 UTC,2021-01-10,07:27:48,+0000,2346263425,mikanseip,Orangestar,,新曲上がりましたよろしくお願いします。 Orangestar - 霽れを待つ (feat. 初音ミク) Official Video  https://t.co/YlaUaKElEl,ja,[],['https://youtu.be/wvlUWjqGQSA'],[],170,8068,25193,[],[],https://twitter.com/MikanseiP/status/1348169658231267336,False,,0,,,,,,,,[],,,,
1346700724508377088,1346700724508377088,2021-01-06 06:10:47 UTC,2021-01-06,06:10:47,+0000,2346263425,mikanseip,Orangestar,,紙粘土でタコ作った  https://t.co/yZOdeDcMd5,ja,[],[],['https://pbs.twimg.com/media/ErBxKzjUcAAk3yX.jpg'],143,974,14785,[],[],https://twitter.com/MikanseiP/status/1346700724508377088,False,,1,https://pbs.twimg.com/media/ErBxKzjUcAAk3yX.jpg,,,,,,,[],,,,
1344964222350884866,1344964222350884866,2021-01-01 11:10:33 UTC,2021-01-01,11:10:33,+0000,2346263425,mikanseip,Orangestar,,新年あんまり関係ないけど曲を投稿しました。 今年もよろしくお願いいたします🎍  Music - Orangestar  Illustration - in (@in___79)  Orangestar - Nadir (feat. IA) Official Video  https://t.co/Mb7LQOmlPC  https://t.co/5Y7G6Eofyw,ja,"[{'screen_name': 'in___79', 'name': 'in', 'id': '913369960113520640'}]",['https://youtu.be/Gpc_NZeX0ec'],['https://pbs.twimg.com/media/EqpF0uwUUAYHVtJ.jpg'],185,4727,17049,[],[],https://twitter.com/MikanseiP/status/1344964222350884866,False,,1,https://pbs.twimg.com/media/EqpF0uwUUAYHVtJ.jpg,,,,,,,[],,,,
1340638984775421955,1340521816511549441,2020-12-20 12:43:36 UTC,2020-12-20,12:43:36,+0000,2346263425,mikanseip,Orangestar,,@nightla1 ありがとう！愛してるぜ,ja,[],[],[],1,7,306,[],[],https://twitter.com/MikanseiP/status/1340638984775421955,False,,0,,,,,,,,"[{'screen_name': 'nightla1', 'name': '夜のロサンゼルス', 'id': '854344798727159808'}]",,,,
1340638665874178052,1340521816511549441,2020-12-20 12:42:20 UTC,2020-12-20,12:42:20,+0000,2346263425,mikanseip,Orangestar,,@L0_1N @kokage_nite ありがとうー！,ja,[],[],[],0,2,140,[],[],https://twitter.com/MikanseiP/status/1340638665874178052,False,,0,,,,,,,,"[{'screen_name': 'L0_1N', 'name': 'ルワン/新曲「カルティカ」', 'id': '3123350376'}, {'screen_name': 'kokage_nite', 'name': '夏背', 'id': '1149001327759900672'}]",,,,
1340638220124491777,1340521816511549441,2020-12-20 12:40:34 UTC,2020-12-20,12:40:34,+0000,2346263425,mikanseip,Orangestar,,@DangoUchu @kokage_nite だんごちゃんありがとう！,ja,[],[],[],0,0,51,[],[],https://twitter.com/MikanseiP/status/1340638220124491777,False,,0,,,,,,,,"[{'screen_name': 'DangoUchu', 'name': 'Dango', 'id': '4278312432'}, {'screen_name': 'kokage_nite', 'name': '夏背', 'id': '1149001327759900672'}]",,,,
1340637912585551873,1340521816511549441,2020-12-20 12:39:20 UTC,2020-12-20,12:39:20,+0000,2346263425,mikanseip,Orangestar,,@S__hiho42 @kokage_nite しほちゃんありがとうー！,ja,[],[],[],0,3,184,[],[],https://twitter.com/MikanseiP/status/1340637912585551873,False,,0,,,,,,,,"[{'screen_name': 'S__hiho42', 'name': 'しほ / 春泥棒', 'id': '478482849'}, {'screen_name': 'kokage_nite', 'name': '夏背', 'id': '1149001327759900672'}]",,,,
1340637351375110145,1340521816511549441,2020-12-20 12:37:07 UTC,2020-12-20,12:37:07,+0000,2346263425,mikanseip,Orangestar,,@kuruya_piano くるやさんありがとうございます！花時計のピアノアレンジ素敵でした！！,ja,[],[],[],1,0,50,[],[],https://twitter.com/MikanseiP/status/1340637351375110145,False,,0,,,,,,,,"[{'screen_name': 'kuruya_piano', 'name': 'くるや', 'id': '429976196'}]",,,,
1340637125503377414,1340521816511549441,2020-12-20 12:36:13 UTC,2020-12-20,12:36:13,+0000,2346263425,mikanseip,Orangestar,,@reoru @kokage_nite ありがとうございます！,ja,[],[],[],0,0,26,[],[],https://twitter.com/MikanseiP/status/1340637125503377414,False,,0,,,,,,,,"[{'screen_name': 'reoru', 'name': 'レオル', 'id': '83545217'}, {'screen_name': 'kokage_nite', 'name': '夏背', 'id': '1149001327759900672'}]",,,,
1340635291372068864,1340521816511549441,2020-12-20 12:28:55 UTC,2020-12-20,12:28:55,+0000,2346263425,mikanseip,Orangestar,,@ann1121532 @kokage_nite ありがとうございます！,ja,[],[],[],0,0,20,[],[],https://twitter.com/MikanseiP/status/1340635291372068864,False,,0,,,,,,,,"[{'screen_name': 'ann1121532', 'name': 'ann@あんきち', 'id': '867604598'}, {'screen_name': 'kokage_nite', 'name': '夏背', 'id': '1149001327759900672'}]",,,,
1340635223332032513,1340521816511549441,2020-12-20 12:28:39 UTC,2020-12-20,12:28:39,+0000,2346263425,mikanseip,Orangestar,,@aginyan08 ありがとうございます！😉,ja,[],[],[],1,0,39,[],[],https://twitter.com/MikanseiP/status/1340635223332032513,False,,0,,,,,,,,"[{'screen_name': 'aginyan08', 'name': 'あやん@エアコミケ通販中', 'id': '292939643'}]",,,,
1340635057338208259,1340521816511549441,2020-12-20 12:28:00 UTC,2020-12-20,12:28:00,+0000,2346263425,mikanseip,Orangestar,,@legacy2outback ありがとうございます！,ja,[],[],[],0,11,445,[],[],https://twitter.com/MikanseiP/status/1340635057338208259,False,,0,,,,,,,,"[{'screen_name': 'legacy2outback', 'name': 'Y_Y', 'id': '595234695'}]",,,,
