id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413142708286234639,1413142708286234639,2021-07-08 14:27:31 UTC,2021-07-08,14:27:31,+0000,303949485,roythebawdies,ROY(THE BAWDIES),,やっとモンが帰してくれました…,ja,[],[],[],1,1,51,[],[],https://twitter.com/ROYTHEBAWDIES/status/1413142708286234639,False,https://twitter.com/yukky_berry1207/status/1413142300180369412,0,,,,,,,,[],,,,
1413142002321920003,1413142002321920003,2021-07-08 14:24:42 UTC,2021-07-08,14:24:42,+0000,303949485,roythebawdies,ROY(THE BAWDIES),,さぁ、始まってるぜー！ 皆んなーっ！集まれー！の闘莉王さんスタイルだからね！,ja,[],[],[],6,3,84,[],[],https://twitter.com/ROYTHEBAWDIES/status/1413142002321920003,False,https://twitter.com/the_bawdies/status/1413090581639614467,0,,,,,,,,[],,,,
1412408332749574147,1412408332749574147,2021-07-06 13:49:22 UTC,2021-07-06,13:49:22,+0000,303949485,roythebawdies,ROY(THE BAWDIES),,一年越しの開催となったTENDOUJIとの対バン！そりゃもう本気で楽しかったですよね！ 参加してくれた皆様に感謝でいっぱいです！  うん！やっぱTENDOUJIは大好きなバンドだ！彼らの人間性がそのまま音楽になっていて、音に触れた瞬間に笑顔になっちゃう！ また何度でも一緒にやろうぜ！ By 力んだ先輩  https://t.co/U8H8z2PZqG,ja,[],[],['https://pbs.twimg.com/media/E5nh48VX0AUp08G.jpg'],3,21,464,[],[],https://twitter.com/ROYTHEBAWDIES/status/1412408332749574147,False,,1,https://pbs.twimg.com/media/E5nh48VX0AUp08G.jpg,,,,,,,[],,,,
1412332383823548420,1412332383823548420,2021-07-06 08:47:34 UTC,2021-07-06,08:47:34,+0000,303949485,roythebawdies,ROY(THE BAWDIES),,ナベちゃんは今日はTENDOUJIと大祭りなんだぜぇ〜！ワクワクするんだぜぇ〜！  https://t.co/ra3TDdLvYk,ja,[],[],['https://pbs.twimg.com/media/E5mc0LpUUAANFiO.jpg'],3,21,785,[],[],https://twitter.com/ROYTHEBAWDIES/status/1412332383823548420,False,,1,https://pbs.twimg.com/media/E5mc0LpUUAANFiO.jpg,,,,,,,[],,,,
1408427781390704647,1408427781390704647,2021-06-25 14:12:05 UTC,2021-06-25,14:12:05,+0000,303949485,roythebawdies,ROY(THE BAWDIES),,いや…もう、気色悪い猫背の妖怪ぞ。。,ja,[],[],[],5,6,159,[],[],https://twitter.com/ROYTHEBAWDIES/status/1408427781390704647,False,https://twitter.com/roymondoradio/status/1408387502222704647,0,,,,,,,,[],,,,
1407345706667479048,1407345706667479048,2021-06-22 14:32:18 UTC,2021-06-22,14:32:18,+0000,303949485,roythebawdies,ROY(THE BAWDIES),,あと30分！なんです！ 是非！🔥👍,ja,[],[],[],0,4,70,[],[],https://twitter.com/ROYTHEBAWDIES/status/1407345706667479048,False,https://twitter.com/THE_BAWDIES/status/1404755736983310342,0,,,,,,,,[],,,,
1406544393931169801,1406544393931169801,2021-06-20 09:28:10 UTC,2021-06-20,09:28:10,+0000,303949485,roythebawdies,ROY(THE BAWDIES),,明日は通常より1時間遅いスタートです🙇🏼‍♂️お間違えないよう、、宜しくお願い致します！,ja,[],[],[],2,3,67,[],[],https://twitter.com/ROYTHEBAWDIES/status/1406544393931169801,False,https://twitter.com/roymondoradio/status/1406246233044242438,0,,,,,,,,[],,,,
1406392914905735173,1406392914905735173,2021-06-19 23:26:15 UTC,2021-06-19,23:26:15,+0000,303949485,roythebawdies,ROY(THE BAWDIES),,一緒に心と身体の中の空気を入れ替えましょう！,ja,[],[],[],2,18,201,[],[],https://twitter.com/ROYTHEBAWDIES/status/1406392914905735173,False,https://twitter.com/THE_BAWDIES/status/1406175452289409024,0,,,,,,,,[],,,,
1406240280441884675,1406240280441884675,2021-06-19 13:19:44 UTC,2021-06-19,13:19:44,+0000,303949485,roythebawdies,ROY(THE BAWDIES),,"おやすみ前にガレージパンクを枕元へ！  ハラハラしませんが、安定して高得点をキープしながら完走してくれるお手本のような好ガレパン！ 素晴らしい出来です！  大手からのリリースながら、なかなか手に入り辛い一枚！召し上がれ！  Bit 'a Sweet-Out of Sight, Out of Mind  https://t.co/9D0omMxpg0  https://t.co/KuUXx4qM32",ja,[],['https://youtu.be/c07UaGyGdSU'],['https://pbs.twimg.com/media/E4P4EyyVkAMjqZd.jpg'],2,4,123,[],[],https://twitter.com/ROYTHEBAWDIES/status/1406240280441884675,False,,1,https://pbs.twimg.com/media/E4P4EyyVkAMjqZd.jpg,,,,,,,[],,,,
1405506326944387080,1405506326944387080,2021-06-17 12:43:16 UTC,2021-06-17,12:43:16,+0000,303949485,roythebawdies,ROY(THE BAWDIES),,Tシャツがシワシワ過ぎたので、今日洗濯しました。。  エスケ兄ぃとリチャ姉ぇが一度ビショビショになったのち、パリっとしましたとさ。。めでたしたかとし♫,ja,[],[],[],3,3,91,[],[],https://twitter.com/ROYTHEBAWDIES/status/1405506326944387080,False,https://twitter.com/roymondoradio/status/1405450111535116291,0,,,,,,,,[],,,,
