id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413779737923657729,1413779737923657729,2021-07-10 08:38:50 UTC,2021-07-10,08:38:50,+0000,958629229330968580,shizurin23,静凛💜,,いっぞ‼️‼️ #ハニフェスタ3杯目  「Honey Feast 3杯目 -飲み物は何がいいかしら？-」を応援しています！  https://t.co/Yu7ElWdkn3,ja,[],['https://spwn.jp/events/21071018-honeystrap'],[],3,60,285,['ハニフェスタ3杯目'],[],https://twitter.com/ShizuRin23/status/1413779737923657729,False,,0,,,,,,,,[],,,,
1413739198222200838,1413738822739791877,2021-07-10 05:57:45 UTC,2021-07-10,05:57:45,+0000,958629229330968580,shizurin23,静凛💜,,@kiyohime_sao_77 ありがと！ダムネからで大丈夫？？,ja,[],[],[],1,0,1,[],[],https://twitter.com/ShizuRin23/status/1413739198222200838,False,,0,,,,,,,,"[{'screen_name': 'kiyohime_sao_77', 'name': '【Azure】*海澪（みお）*＠推しマはプロフ@固ツイキル集@ミオペディア', 'id': '1228770178919350272'}]",,,,
1413738822739791877,1413738822739791877,2021-07-10 05:56:15 UTC,2021-07-10,05:56:15,+0000,958629229330968580,shizurin23,静凛💜,,インフィニットダークネス見る前にダムネとディジェネ履修必要ですか❓,ja,[],[],[],11,24,487,[],[],https://twitter.com/ShizuRin23/status/1413738822739791877,False,,0,,,,,,,,[],,,,
1413522206101962761,1413521420303310849,2021-07-09 15:35:30 UTC,2021-07-09,15:35:30,+0000,958629229330968580,shizurin23,静凛💜,,@MitoTsukino 白熱した演技でしたねぇ…,ja,[],[],[],1,78,973,[],[],https://twitter.com/ShizuRin23/status/1413522206101962761,False,,0,,,,,,,,"[{'screen_name': 'MitoTsukino', 'name': '月ノ美兎🐰', 'id': '958737597336928256'}]",,,,
1413521389215047683,1413521389215047683,2021-07-09 15:32:15 UTC,2021-07-09,15:32:15,+0000,958629229330968580,shizurin23,静凛💜,,いやぁ楓さん演技うまいわぁ,ja,[],[],[],20,160,1839,[],[],https://twitter.com/ShizuRin23/status/1413521389215047683,False,,0,,,,,,,,[],,,,
1413521020527411205,1413521020527411205,2021-07-09 15:30:47 UTC,2021-07-09,15:30:47,+0000,958629229330968580,shizurin23,静凛💜,, https://t.co/7OQUwvKL4f,und,[],['https://abema.tv/now-on-air/abema-anime'],[],16,127,1016,[],[],https://twitter.com/ShizuRin23/status/1413521020527411205,False,,0,,,,,,,,[],,,,
1413112081117634560,1413112081117634560,2021-07-08 12:25:49 UTC,2021-07-08,12:25:49,+0000,958629229330968580,shizurin23,静凛💜,,作業もやりたいけど、ゲームもしたい！！！ 配信しないと！ リトルナイトメア実績集めやりましょう！！！！ この豚しょうが焼肉を片付けてから！！！！！,ja,[],[],[],65,81,1188,[],[],https://twitter.com/ShizuRin23/status/1413112081117634560,False,,0,,,,,,,,[],,,,
1412784742085238785,1412784742085238785,2021-07-07 14:45:05 UTC,2021-07-07,14:45:05,+0000,958629229330968580,shizurin23,静凛💜,,＼#俺100 アニメはいよいよ5周目クエスト突入／ プロの声優さんに混じらせて頂いて 貴重な体験をさせて頂きました！！！！！🥳🥳,ja,[],[],[],70,334,1751,['俺100'],[],https://twitter.com/ShizuRin23/status/1412784742085238785,False,https://twitter.com/comic_natalie/status/1412698184325812226,0,,,,,,,,[],,,,
1412709561476149249,1412568602595655684,2021-07-07 09:46:20 UTC,2021-07-07,09:46:20,+0000,958629229330968580,shizurin23,静凛💜,,@RAO_SYAN_RON 後から運営さんから告知きてましたー！！！！ 大丈夫、ありがと！！,ja,[],[],[],1,2,9,[],[],https://twitter.com/ShizuRin23/status/1412709561476149249,False,,0,,,,,,,,"[{'screen_name': 'RAO_SYAN_RON', 'name': '老山龍#海外凛Fam🥦', 'id': '774241895874719746'}]",,,,
1412699384798597122,1412699384798597122,2021-07-07 09:05:54 UTC,2021-07-07,09:05:54,+0000,958629229330968580,shizurin23,静凛💜,,＼cv.静凛／,ja,[],[],[],173,498,2219,[],[],https://twitter.com/ShizuRin23/status/1412699384798597122,False,https://twitter.com/1000000_lives/status/1412652600042954752,0,,,,,,,,[],,,,
1412124170079510569,1412124170079510569,2021-07-05 19:00:12 UTC,2021-07-05,19:00:12,+0000,958629229330968580,shizurin23,静凛💜,,ツイッチでタルコフ配信散歩してて 聞き覚えのある声だと思ったらかなかなおった,ja,[],[],[],21,184,3395,[],[],https://twitter.com/ShizuRin23/status/1412124170079510569,False,,0,,,,,,,,[],,,,
1412003268557869057,1412003268557869057,2021-07-05 10:59:47 UTC,2021-07-05,10:59:47,+0000,958629229330968580,shizurin23,静凛💜,,おはようごじゃます 20時からは #神絵師1期生 !!!!,ja,[],[],[],67,156,1261,['神絵師1期生'],[],https://twitter.com/ShizuRin23/status/1412003268557869057,False,,0,,,,,,,,[],,,,
1411676109230383104,1411305475308539907,2021-07-04 13:19:46 UTC,2021-07-04,13:19:46,+0000,958629229330968580,shizurin23,静凛💜,,@zaza_xcan01 素敵な衣装のお仕立て ありがとうございましたー(*^▽^*) どこの部分もお気に入りです💜💜 ザザさんにお願いして本当に良かったです～～‼️✨,ja,[],[],[],1,6,99,[],[],https://twitter.com/ShizuRin23/status/1411676109230383104,False,,0,,,,,,,,"[{'screen_name': 'zaza_xcan01', 'name': 'ザザ', 'id': '263604204'}]",,,,
1411379081464074248,1411295495989862401,2021-07-03 17:39:29 UTC,2021-07-03,17:39:29,+0000,958629229330968580,shizurin23,静凛💜,,@huyuno38 ありがと～～～～～！！ やったぜーーーー✌('ω'✌ )三✌('ω')✌三( ✌'ω')✌,ja,[],[],[],0,2,30,[],[],https://twitter.com/ShizuRin23/status/1411379081464074248,False,,0,,,,,,,,"[{'screen_name': 'huyuno38', 'name': '冬乃サヤ@池袋HUMAXをジャック🎬16日〜', 'id': '1180024751680475138'}]",,,,
1411302293866106880,1411302152002146318,2021-07-03 12:34:22 UTC,2021-07-03,12:34:22,+0000,958629229330968580,shizurin23,静凛💜,,@Charlotte_HNST わーい！シャルさんありがと～(*´▽｀*),ja,[],[],[],0,2,102,[],[],https://twitter.com/ShizuRin23/status/1411302293866106880,False,,0,,,,,,,,"[{'screen_name': 'Charlotte_HNST', 'name': '島村シャルロット♣️❄️ハニスト', 'id': '1007316805981892613'}]",,,,
1411298770646552578,1411294398554402827,2021-07-03 12:20:22 UTC,2021-07-03,12:20:22,+0000,958629229330968580,shizurin23,静凛💜,,@tonoriona やっちゃっちゃありがとー(*´▽｀*),ja,[],[],[],1,0,24,[],[],https://twitter.com/ShizuRin23/status/1411298770646552578,False,,0,,,,,,,,"[{'screen_name': 'tonoriona', 'name': '遠野 莉緒奈🍅7/9(金)20時3Dお披露目配信', 'id': '1094389393333186560'}]",,,,
1411298673259008007,1411283406114099205,2021-07-03 12:19:59 UTC,2021-07-03,12:19:59,+0000,958629229330968580,shizurin23,静凛💜,,@Grail_YG つ AED(セルフ),ja,[],[],[],1,0,38,[],[],https://twitter.com/ShizuRin23/status/1411298673259008007,False,,0,,,,,,,,"[{'screen_name': 'Grail_YG', 'name': '聖グレイル💙🔱【ユメノグラフィア】', 'id': '1150256989735227392'}]",,,,
1411297747592908806,1411296326466240513,2021-07-03 12:16:18 UTC,2021-07-03,12:16:18,+0000,958629229330968580,shizurin23,静凛💜,,@kirame_2434 きらめさんありがとんごご✌('ω'✌ )三✌('ω')✌三( ✌'ω')✌,ja,[],[],[],0,4,189,[],[],https://twitter.com/ShizuRin23/status/1411297747592908806,False,,0,,,,,,,,"[{'screen_name': 'kirame_2434', 'name': '空星きらめ🌌/Sorahoshi Kirame', 'id': '1276465818780356608'}]",,,,
