id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413726433713610754,1413726433713610754,2021-07-10 05:07:02 UTC,2021-07-10,05:07:02,+0000,377132088,tbc_saigai,tbc東北放送 防災減災･災害情報,,【2021/7/10-14:06 TBC気象台】 ◆気象警報◆ 宮城県に、大雨警報が発表されています。 今後の情報にご注意ください。  https://t.co/nWMjz5E4Y8,ja,[],['http://tw.tbc-sendai.co.jp/?page=2&sndi=8724798&tln=3725&uid=NULLGWDOCOMO'],[],0,14,17,[],[],https://twitter.com/TBC_saigai/status/1413726433713610754,False,,0,,,,,,,,[],,,,
1413716369363800072,1413716369363800072,2021-07-10 04:27:02 UTC,2021-07-10,04:27:02,+0000,377132088,tbc_saigai,tbc東北放送 防災減災･災害情報,,【2021/7/10-13:26 TBC気象台】 ◆気象警報◆ 宮城県に、大雨警報が発表されています。 今後の情報にご注意ください。  https://t.co/EvWZNRZzrE,ja,[],['http://tw.tbc-sendai.co.jp/?page=2&sndi=1591327&tln=3724&uid=NULLGWDOCOMO'],[],0,25,24,[],[],https://twitter.com/TBC_saigai/status/1413716369363800072,False,,0,,,,,,,,[],,,,
1413698483815473157,1413698483815473157,2021-07-10 03:15:58 UTC,2021-07-10,03:15:58,+0000,377132088,tbc_saigai,tbc東北放送 防災減災･災害情報,,【2021/7/10-12:15 TBC気象台】あす11日（日）の宮城県内は、雲が広がりやすく、晴れ間もある一方で大気の状態が不安定。午後は所々でにわか雨があり、局地的に雨脚が強まり雷を伴うおそれも。最高気温は高い所では30度以上の真夏日となる予想で、かなり蒸し暑くなりそう。熱中症と天気急変に注意を。  https://t.co/uQ42AoCsbV,ja,[],[],['https://pbs.twimg.com/media/E552-JLUYAE480C.jpg'],0,18,38,[],[],https://twitter.com/TBC_saigai/status/1413698483815473157,False,,1,https://pbs.twimg.com/media/E552-JLUYAE480C.jpg,,,,,,,[],,,,
1413688523807358979,1413688523807358979,2021-07-10 02:36:23 UTC,2021-07-10,02:36:23,+0000,377132088,tbc_saigai,tbc東北放送 防災減災･災害情報,,【2021/7/10-11:35 TBC気象台】宮城県内は、依然として土砂災害の危険度が「警戒」となっている地域があります。このため、一部地域に出されている大雨警報の対象期間は、当初は昼前まででしたが夕方までに延びました。急な斜面や崖には近づかないで下さい。  https://t.co/Fi4IyTglZf,ja,[],[],['https://pbs.twimg.com/media/E55t10MVEAgv8ry.jpg'],0,32,45,[],[],https://twitter.com/TBC_saigai/status/1413688523807358979,False,,1,https://pbs.twimg.com/media/E55t10MVEAgv8ry.jpg,,,,,,,[],,,,
1413680000528568324,1413680000528568324,2021-07-10 02:02:31 UTC,2021-07-10,02:02:31,+0000,377132088,tbc_saigai,tbc東北放送 防災減災･災害情報,,【2021/7/10-11:00 TBC気象台】最新の週間予報です。あす（日）・あさって（月）は大気の状態が不安定で、雨や雷雨のおそれ。その後は梅雨前線の活動が弱まり、晴れ間の出る日が多くなる予想。ただ、太平洋高気圧が安定して張り出し続けるわけではなさそうで、梅雨明けが発表されるかは少し疑問符も。  https://t.co/8Gs6TOMu8G,ja,[],[],['https://pbs.twimg.com/media/E55l3aiUUAAV8FE.jpg'],0,31,58,[],[],https://twitter.com/TBC_saigai/status/1413680000528568324,False,,1,https://pbs.twimg.com/media/E55l3aiUUAAV8FE.jpg,,,,,,,[],,,,
1413631185901686789,1413631185901686789,2021-07-09 22:48:33 UTC,2021-07-09,22:48:33,+0000,377132088,tbc_saigai,tbc東北放送 防災減災･災害情報,,【2021/7/10-7:50 TBC気象台】きょうの宮城県内は、梅雨前線や低気圧の影響で雲に覆われ、西部を中心に所々で雨が降るでしょう。これまで大雨となっている地域では、昼前まで土砂災害に警戒して下さい。最高気温はきのうより2、3度高く、蒸し暑さがアップするでしょう。  https://t.co/b8Bg6sfM3B,ja,[],[],"['https://pbs.twimg.com/media/E545tlNUUAAOuDQ.jpg', 'https://pbs.twimg.com/media/E545ugeUYAECr2k.jpg', 'https://pbs.twimg.com/media/E545vZMVkAAKrrO.jpg', 'https://pbs.twimg.com/media/E545wgjVIAEixWF.jpg']",0,28,67,[],[],https://twitter.com/TBC_saigai/status/1413631185901686789,False,,1,https://pbs.twimg.com/media/E545tlNUUAAOuDQ.jpg,,,,,,,[],,,,
1413616462929924097,1413616462929924097,2021-07-09 21:50:03 UTC,2021-07-09,21:50:03,+0000,377132088,tbc_saigai,tbc東北放送 防災減災･災害情報,,【2021/7/10-6:49 TBC気象台】 ◆気象警報◆ 宮城県に、大雨警報が発表されています。 今後の情報にご注意ください。  https://t.co/5v5xlOl5bF,ja,[],['http://tw.tbc-sendai.co.jp/?page=2&sndi=7459385&tln=3723&uid=NULLGWDOCOMO'],[],1,16,26,[],[],https://twitter.com/TBC_saigai/status/1413616462929924097,False,,0,,,,,,,,[],,,,
1413606645167398912,1413606645167398912,2021-07-09 21:11:02 UTC,2021-07-09,21:11:02,+0000,377132088,tbc_saigai,tbc東北放送 防災減災･災害情報,,【2021/7/10-6:10 TBC気象台】 ◆熊本県特別警報◆ 【特別警報（大雨）】球磨地方に特別警報を発表しています。低い土地の浸水や河川の増水に最大級の警戒をしてください。,ja,[],[],[],0,12,21,[],[],https://twitter.com/TBC_saigai/status/1413606645167398912,False,,0,,,,,,,,[],,,,
1413602870037913600,1413602870037913600,2021-07-09 20:56:02 UTC,2021-07-09,20:56:02,+0000,377132088,tbc_saigai,tbc東北放送 防災減災･災害情報,,【2021/7/10-5:55 TBC気象台】 ◆宮崎県特別警報◆ 【特別警報（大雨）】小林・えびの地区に特別警報を発表しています。低い土地の浸水や河川の増水に最大級の警戒をしてください。,ja,[],[],[],0,7,11,[],[],https://twitter.com/TBC_saigai/status/1413602870037913600,False,,0,,,,,,,,[],,,,
1413596580985200640,1413596580985200640,2021-07-09 20:31:02 UTC,2021-07-09,20:31:02,+0000,377132088,tbc_saigai,tbc東北放送 防災減災･災害情報,,【2021/7/10-5:30 TBC気象台】 ◆鹿児島県特別警報◆ 【特別警報（大雨）】出水・伊佐、川薩・姶良に特別警報を発表しています。土砂災害や低い土地の浸水、河川の増水に最大級の警戒をしてください。,ja,[],[],[],0,12,14,[],[],https://twitter.com/TBC_saigai/status/1413596580985200640,False,,0,,,,,,,,[],,,,
