id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413823026630590464,1413805898170978308,2021-07-10 11:30:51 UTC,2021-07-10,11:30:51,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,@sugihara_erika いっぱい刺されて悔しかったから、気絶させてやろうと思って…👊😂,ja,[],[],[],0,0,1,[],[],https://twitter.com/TakedaRina/status/1413823026630590464,False,,0,,,,,,,,"[{'screen_name': 'sugihara_erika', 'name': 'りンご-杉原枝利香-', 'id': '2839007580'}]",,,,
1413821781249462272,1413805898170978308,2021-07-10 11:25:54 UTC,2021-07-10,11:25:54,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,@heikaku ベストキッド！押忍！,ja,[],[],[],0,0,0,[],[],https://twitter.com/TakedaRina/status/1413821781249462272,False,,0,,,,,,,,"[{'screen_name': 'heikaku', 'name': '안병혁 An ByungHyuk', 'id': '143384362'}]",,,,
1413805898170978308,1413805898170978308,2021-07-10 10:22:48 UTC,2021-07-10,10:22:48,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,蚊と戦っているところをマネージャーさんに撮られてた、、、🦟  https://t.co/6lME910oRy,ja,[],[],[],26,69,718,[],[],https://twitter.com/TakedaRina/status/1413805898170978308,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1413805857066815489/pu/img/qNpvEtq_R14OkFtS.jpg,,,,,,,[],,,,
1413707198471938051,1413707198471938051,2021-07-10 03:50:36 UTC,2021-07-10,03:50:36,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,朝からジャパスタチームの打ち合わせ。必ずお届けしますので、皆さんもう暫くお待ち下さい！ #ジャパニーズスタイル #大晦日になにやってんだよ #吉村界人  #武田梨奈  https://t.co/vJJ1F0JjzW,ja,[],[],['https://pbs.twimg.com/media/E55_M-DVkAA0r86.jpg'],1,6,243,"['ジャパニーズスタイル', '大晦日になにやってんだよ', '吉村界人', '武田梨奈']",[],https://twitter.com/TakedaRina/status/1413707198471938051,False,,1,https://pbs.twimg.com/media/E55_M-DVkAA0r86.jpg,,,,,,,[],,,,
1413639784791035905,1413639784791035905,2021-07-09 23:22:43 UTC,2021-07-09,23:22:43,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,本編映像が一部解禁されました💛 YouTubeで見れます！  https://t.co/U3CeiRYJAf,ja,[],['https://youtu.be/RowcHFXjr-s'],[],0,12,208,[],[],https://twitter.com/TakedaRina/status/1413639784791035905,False,https://twitter.com/cinemalife_web/status/1413332079631339523,0,,,,,,,,[],,,,
1413524148089876481,1413524148089876481,2021-07-09 15:43:13 UTC,2021-07-09,15:43:13,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,『#武田梨奈のこだわりな時間』 今週のゲストは 武井壮さんです🏃‍♂️  🔻ラジオ関西 7月10日（土）17:00〜  🔻ラジオNIKKEI 7月13日（火）18:30〜  番組では、リスナーの皆さんからのメッセージもお待ちしております。 kodawari@jocr.jp まで📮💌,ja,[],[],[],3,13,259,['武田梨奈のこだわりな時間'],[],https://twitter.com/TakedaRina/status/1413524148089876481,False,,0,,,,,,,,[],,,,
1412761502684049414,1412761502684049414,2021-07-07 13:12:44 UTC,2021-07-07,13:12:44,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,この時期のロケは蚊との闘いです🦟 一昨日も昨日も今日もたくさん刺された。私の血ってそんなに美味しいの？両手の小指はやめておくれよ！,ja,[],[],[],24,11,640,[],[],https://twitter.com/TakedaRina/status/1412761502684049414,False,,0,,,,,,,,[],,,,
1412389497426247686,1412351758085492740,2021-07-06 12:34:31 UTC,2021-07-06,12:34:31,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,@junjunjun_3110 @unpre_ じゅんじゅんのお芝居素敵でした！ いつか映画の中で戦おうね👊✨,ja,[],[],[],1,1,18,[],[],https://twitter.com/TakedaRina/status/1412389497426247686,False,,0,,,,,,,,"[{'screen_name': 'junjunjun_3110', 'name': '齋藤 潤🌈', 'id': '1333608823148355587'}, {'screen_name': 'unpre_', 'name': '濱 正悟', 'id': '1286355366'}]",,,,
1412239201001635843,1412239201001635843,2021-07-06 02:37:18 UTC,2021-07-06,02:37:18,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,週末ランキングに入ってる🥺✨ でも上映は気づいたらあっという間に終わってしまうので、迷っている方はぜひ劇場で観てください！ #ナポレオンと私,ja,[],[],[],0,18,269,['ナポレオンと私'],[],https://twitter.com/TakedaRina/status/1412239201001635843,False,https://twitter.com/humax_cinema/status/1412217436749713410,0,,,,,,,,[],,,,
1411593103631208454,1411593103631208454,2021-07-04 07:49:56 UTC,2021-07-04,07:49:56,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,本日も映画を観てくれてありがとうございます。皆さんの感想「#ナポレオンと私」「#ナポ私」拝見させていただいてます☺️🌸全部にいいねを押したいくらいですが、Twitterの通知で荒れてしまいそうなので、心の中でいいね×100000してます。  https://t.co/hOxFKwpdrD,ja,[],['https://www.nikkansports.com/entertainment/news/202107030000652.html'],[],4,12,357,"['ナポレオンと私', 'ナポ私']",[],https://twitter.com/TakedaRina/status/1411593103631208454,False,,0,,,,,,,,[],,,,
1411555274456899586,1411555274456899586,2021-07-04 05:19:37 UTC,2021-07-04,05:19:37,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,映画館に素敵なお花が！ ラジオチームの皆さんありがとうございます☺️💐 #武田梨奈のこだわりな時間  #ナポレオンと私  https://t.co/xDEJPDshGs,ja,[],[],"['https://pbs.twimg.com/media/E5baCewVcAE7Sub.jpg', 'https://pbs.twimg.com/media/E5baCevUcAI-uR_.jpg']",0,15,406,"['武田梨奈のこだわりな時間', 'ナポレオンと私']",[],https://twitter.com/TakedaRina/status/1411555274456899586,False,,1,https://pbs.twimg.com/media/E5baCewVcAE7Sub.jpg,,,,,,,[],,,,
1411512690279739393,1411494521536352256,2021-07-04 02:30:24 UTC,2021-07-04,02:30:24,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,@kato_641 加藤諒さんの勇敢に立ち向かう姿に助けられました💪💪💪 またやりましょう🔫,ja,[],[],[],0,3,36,[],[],https://twitter.com/TakedaRina/status/1411512690279739393,False,,0,,,,,,,,"[{'screen_name': 'kato_641', 'name': '加藤 諒', 'id': '3825656772'}]",,,,
1411282726712352774,1411282726712352774,2021-07-03 11:16:37 UTC,2021-07-03,11:16:37,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,『ナポレオンと私』公開記念舞台挨拶でした。お足元の悪い中、劇場にお越しいただき有難うございました。前日はいつも眠れないほど緊張するのですが、お客さんの顔を見ると幸せに包まれます。映画館や全てのスタッフさんにも感謝です。一人でも多くの方に映画が届きますように😊🌹 #ナポ私  https://t.co/64K7DVisHy,ja,[],[],['https://pbs.twimg.com/media/E5XiKIxVcAc5Uf6.jpg'],2,71,581,['ナポ私'],[],https://twitter.com/TakedaRina/status/1411282726712352774,False,,1,https://pbs.twimg.com/media/E5XiKIxVcAc5Uf6.jpg,,,,,,,[],,,,
1411250984311951362,1411250984311951362,2021-07-03 09:10:29 UTC,2021-07-03,09:10:29,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,西監督、有難うございます( ˆoˆ )！,ja,[],[],[],0,2,158,[],[],https://twitter.com/TakedaRina/status/1411250984311951362,False,https://twitter.com/wildakagi/status/1411159793843130370,0,,,,,,,,[],,,,
1410997880408608770,1410685175713779713,2021-07-02 16:24:44 UTC,2021-07-02,16:24:44,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,@izumimaria 榊監督〜！映画観てくれてありがとうございます。コメントも嬉しかったです🙌,ja,[],[],[],0,0,2,[],[],https://twitter.com/TakedaRina/status/1410997880408608770,False,,0,,,,,,,,"[{'screen_name': 'izumimaria', 'name': '榊英雄', 'id': '108243392'}]",,,,
1410947683582283776,1410945329143287813,2021-07-02 13:05:16 UTC,2021-07-02,13:05:16,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,"@BOYMEN_kobayuta ゆた子さあああああああん😭✨ ありがとうございます！ 「#ニューチャレンジャー」のゆた子さんキュートすぎるのでりな子もこのポーズ練習します❤️ ""明日を探しに行こう〜♪""  https://t.co/2sO7RZcvQm",ja,[],[],['https://pbs.twimg.com/media/E5SxcHJUUA0XNJv.jpg'],1,16,75,['ニューチャレンジャー'],[],https://twitter.com/TakedaRina/status/1410947683582283776,False,,1,https://pbs.twimg.com/media/E5SxcHJUUA0XNJv.jpg,,,,,,,"[{'screen_name': 'BOYMEN_kobayuta', 'name': '小林豊(BOYSANDMEN)', 'id': '1122869571369615360'}]",,,,
1410944377246019584,1410944377246019584,2021-07-02 12:52:08 UTC,2021-07-02,12:52:08,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,明日、舞台挨拶します🥳🎬 生憎の雨ですが、足元にお気をつけてお越しください。皆さんにお会いできるのを楽しみにしています！ (📢当日チケットもあります✨),ja,[],[],[],2,25,352,[],[],https://twitter.com/TakedaRina/status/1410944377246019584,False,https://twitter.com/sma_now/status/1410941346781687811,0,,,,,,,,[],,,,
1410927532216524800,1410927532216524800,2021-07-02 11:45:12 UTC,2021-07-02,11:45:12,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,『ザ・ファブル 殺さない殺し屋』のアクション監督を務めた横山誠さんにインタビューさせていただきました。#JAG,ja,[],[],[],0,38,292,['jag'],[],https://twitter.com/TakedaRina/status/1410927532216524800,False,https://twitter.com/aacmakoto/status/1410916523992965123,0,,,,,,,,[],,,,
1410768906105409539,1410768906105409539,2021-07-02 01:14:52 UTC,2021-07-02,01:14:52,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,「そえまつ映画館」にゲスト出演させていただきました🌼📽 映画評論家の添野知生さん、松崎健夫さんから『ナポレオンと私』の感想を頂きました☺️🙏 わたし自身も、映画のこと、今後のこと、まだどこにも話していないことを番組でお話させていただきました。ぜひご覧ください！  https://t.co/FSMo6cResw  https://t.co/lkcoDi8pHK,ja,[],['https://www.youtube.com/watch?v=qw9EwW5oJMc&feature=youtu.be'],['https://pbs.twimg.com/media/E5QO14KUYAo9uti.jpg'],3,24,302,[],[],https://twitter.com/TakedaRina/status/1410768906105409539,False,,1,https://pbs.twimg.com/media/E5QO14KUYAo9uti.jpg,,,,,,,[],,,,
1410688109453344768,1410688109453344768,2021-07-01 19:53:49 UTC,2021-07-01,19:53:49,+0000,258768843,takedarina,Rina Takeda (武田梨奈),,キュン💕ってしながら 背中を押してくれる映画です！！！ ばき姉もぜひ観てください🥺,ja,[],[],[],0,5,205,[],[],https://twitter.com/TakedaRina/status/1410688109453344768,False,https://twitter.com/ayanatsubaki/status/1410686187564503041,0,,,,,,,,[],,,,
