id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1166728903882420224,1166728903882420224,2019-08-28 15:07:02 UTC,2019-08-28,15:07:02,+0000,15404712,xrp,Xavier Renom Portet,,10 awesome app wireframe templates for inspiration  https://t.co/vD3VtNG2Js  https://t.co/jeKqPKi83t,en,[],['https://buff.ly/2L9d9qz'],['https://pbs.twimg.com/media/EDENwUjWsAUdK6G.png'],0,1,5,[],[],https://twitter.com/xrp/status/1166728903882420224,False,,1,https://pbs.twimg.com/media/EDENwUjWsAUdK6G.png,,,,,,,[],,,,
1166578158650515456,1166578158650515456,2019-08-28 05:08:01 UTC,2019-08-28,05:08:01,+0000,15404712,xrp,Xavier Renom Portet,,Beginner’s guide to UI sketching  https://t.co/n8eztx67jK  https://t.co/QX4Qoj5QxA,en,[],['https://buff.ly/2uLDK5A'],['https://pbs.twimg.com/media/EDCEpzSXYAUUvC-.png'],0,1,2,[],[],https://twitter.com/xrp/status/1166578158650515456,False,,1,https://pbs.twimg.com/media/EDCEpzSXYAUUvC-.png,,,,,,,[],,,,
1166566079436644352,1166566079436644352,2019-08-28 04:20:01 UTC,2019-08-28,04:20:01,+0000,15404712,xrp,Xavier Renom Portet,,iOS UI kit: design sleek prototypes for the iPhone and iPad  https://t.co/6mFy0DZLT9  https://t.co/eGhW52sxTb,en,[],['https://buff.ly/2XEuA40'],['https://pbs.twimg.com/media/EDB5qslWwAAdEs7.png'],0,1,1,[],[],https://twitter.com/xrp/status/1166566079436644352,False,,1,https://pbs.twimg.com/media/EDB5qslWwAAdEs7.png,,,,,,,[],,,,
1166506687190224896,1166506687190224896,2019-08-28 00:24:01 UTC,2019-08-28,00:24:01,+0000,15404712,xrp,Xavier Renom Portet,,Form UI design: dos and don’ts  https://t.co/rJ3nffQP1X  https://t.co/OA0wF6L75m,en,[],['https://buff.ly/2TwLzVx'],['https://pbs.twimg.com/media/EDBDpn8W4AEWriz.png'],0,0,0,[],[],https://twitter.com/xrp/status/1166506687190224896,False,,1,https://pbs.twimg.com/media/EDBDpn8W4AEWriz.png,,,,,,,[],,,,
1166462931174866944,1166462931174866944,2019-08-27 21:30:09 UTC,2019-08-27,21:30:09,+0000,15404712,xrp,Xavier Renom Portet,,Where to get free website icons: top 20 sites  https://t.co/e1fVpHDYNv  https://t.co/BnU7EfecdO,en,[],['https://buff.ly/2yeoMEg'],['https://pbs.twimg.com/media/EDAb2rNX4AEXWmg.png'],0,1,1,[],[],https://twitter.com/xrp/status/1166462931174866944,False,,1,https://pbs.twimg.com/media/EDAb2rNX4AEXWmg.png,,,,,,,[],,,,
1166366516268457986,1166366516268457986,2019-08-27 15:07:02 UTC,2019-08-27,15:07:02,+0000,15404712,xrp,Xavier Renom Portet,,Wells Fargo’s design system: lessons on growth  https://t.co/HINRrbBrW1  https://t.co/tVIZ5xQ4xc,en,[],['https://buff.ly/2YPgLQZ'],['https://pbs.twimg.com/media/EC_EKl1X4AEEM2i.png'],0,0,0,[],[],https://twitter.com/xrp/status/1166366516268457986,False,,1,https://pbs.twimg.com/media/EC_EKl1X4AEEM2i.png,,,,,,,[],,,,
1166215769891450880,1166215769891450880,2019-08-27 05:08:01 UTC,2019-08-27,05:08:01,+0000,15404712,xrp,Xavier Renom Portet,,US Web Design Standards UI kit: for accessible government websites  https://t.co/dxCpGD9FWv  https://t.co/PlTyneKSpU,en,[],['https://buff.ly/2GRJeiX'],['https://pbs.twimg.com/media/EC87D-RWwAAIygg.png'],0,1,2,[],[],https://twitter.com/xrp/status/1166215769891450880,False,,1,https://pbs.twimg.com/media/EC87D-RWwAAIygg.png,,,,,,,[],,,,
1166203688211439616,1166203688211439616,2019-08-27 04:20:00 UTC,2019-08-27,04:20:00,+0000,15404712,xrp,Xavier Renom Portet,,Banking app design: 10 great patterns and examples  https://t.co/oJkYjSdo6b  https://t.co/wLodEzcJ78,en,[],['https://buff.ly/2Z1j5sd'],['https://pbs.twimg.com/media/EC8wEwyXUAAMcpt.png'],0,1,2,[],[],https://twitter.com/xrp/status/1166203688211439616,False,,1,https://pbs.twimg.com/media/EC8wEwyXUAAMcpt.png,,,,,,,[],,,,
1166144297802096642,1166144297802096642,2019-08-27 00:24:01 UTC,2019-08-27,00:24:01,+0000,15404712,xrp,Xavier Renom Portet,,Ecommerce website design: 10 impressive examples  https://t.co/6vcRytVk6Z  https://t.co/a9VghgvPeL,en,[],['https://buff.ly/30t47sr'],['https://pbs.twimg.com/media/EC76DxnXkAEakyX.png'],0,0,0,[],[],https://twitter.com/xrp/status/1166144297802096642,False,,1,https://pbs.twimg.com/media/EC76DxnXkAEakyX.png,,,,,,,[],,,,
1166100539521884165,1166100539521884165,2019-08-26 21:30:08 UTC,2019-08-26,21:30:08,+0000,15404712,xrp,Xavier Renom Portet,,Hotel website design: 13 stunning examples  https://t.co/3N1uw0t4m8  https://t.co/JM2Q1vSUP3,en,[],['https://buff.ly/2LcQPtT'],['https://pbs.twimg.com/media/EC7SQn1WwAckOtI.png'],0,0,0,[],[],https://twitter.com/xrp/status/1166100539521884165,False,,1,https://pbs.twimg.com/media/EC7SQn1WwAckOtI.png,,,,,,,[],,,,
1166043218749865985,1166043218749865985,2019-08-26 17:42:22 UTC,2019-08-26,17:42:22,+0000,15404712,xrp,Xavier Renom Portet,,Design a sketch mockup and add interaction with Justinmind  https://t.co/3Sc516emNZ  https://t.co/jzJOpgGrA4,en,[],['https://buff.ly/2UMAEdk'],['https://pbs.twimg.com/media/EC6eIKuXkAAV5-d.png'],0,0,0,[],[],https://twitter.com/xrp/status/1166043218749865985,False,,1,https://pbs.twimg.com/media/EC6eIKuXkAAV5-d.png,,,,,,,[],,,,
1166043174025826305,1166043174025826305,2019-08-26 17:42:11 UTC,2019-08-26,17:42:11,+0000,15404712,xrp,Xavier Renom Portet,,The complete guide to website wireframe design  https://t.co/MOe3hqZ0Ti  https://t.co/2tyKunTLb5,en,[],['https://buff.ly/2TFjkCW'],['https://pbs.twimg.com/media/EC6eFlWXoAE_A_A.png'],0,0,0,[],[],https://twitter.com/xrp/status/1166043174025826305,False,,1,https://pbs.twimg.com/media/EC6eFlWXoAE_A_A.png,,,,,,,[],,,,
1166043140731617286,1166043140731617286,2019-08-26 17:42:03 UTC,2019-08-26,17:42:03,+0000,15404712,xrp,Xavier Renom Portet,,Design Thinking Q&amp;A with IBM’s Doug Powell  https://t.co/ruwLTUwWTB  https://t.co/JqamixX5P3,en,[],['https://buff.ly/2GrbKYY'],['https://pbs.twimg.com/media/EC6eDqXWkAIvBiI.png'],0,0,0,[],[],https://twitter.com/xrp/status/1166043140731617286,False,,1,https://pbs.twimg.com/media/EC6eDqXWkAIvBiI.png,,,,,,,[],,,,
