id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
845547521178910720,845547521178910720,2017-03-25 08:06:53 UTC,2017-03-25,08:06:53,+0000,4826765134,amaama_anime,アニメ「甘々と稲妻」公式,,甘々と稲妻『つむぎも大好き豚玉お好み焼き』食べて頂けましたでしょうか❔ #AnimeJapan2017 は明日3/26まで東京ビックサイトにて開催しておりますので、お越しの方は是非お召し上がりください🎵ふわっふわで美味しいですよ～(*^^*) #甘々と稲妻  https://t.co/HEWXgSXoOU,ja,[],[],"['https://pbs.twimg.com/media/C7v87P1V4AA24hq.jpg', 'https://pbs.twimg.com/media/C7v88C5VAAEPTgH.jpg', 'https://pbs.twimg.com/media/C7v89gyVMAIXjYV.jpg']",3,84,228,"['animejapan2017', '甘々と稲妻']",[],https://twitter.com/amaama_anime/status/845547521178910720,False,,1,https://pbs.twimg.com/media/C7v87P1V4AA24hq.jpg,,,,,,,[],,,,
839472081192411137,839472081192411137,2017-03-08 13:45:15 UTC,2017-03-08,13:45:15,+0000,4826765134,amaama_anime,アニメ「甘々と稲妻」公式,,「甘々と稲妻」Blu-ray＆DVD VOL.6　付属の解説書では原作雨隠ギド先生のスペシャルインタビューを収録！ 先生お気に入りの部分や原作との違いで印象的な部分などたっぷりお話いただきました！ツイッターで先生があげられたイラストも収録していますよ！ #甘々と稲妻  https://t.co/uk9g9yw5Hf,ja,[],[],['https://pbs.twimg.com/media/C6ZnXsBUYAAvx8G.jpg'],0,22,85,['甘々と稲妻'],[],https://twitter.com/amaama_anime/status/839472081192411137,False,,1,https://pbs.twimg.com/media/C6ZnXsBUYAAvx8G.jpg,,,,,,,[],,,,
839471521051484161,839471521051484161,2017-03-08 13:43:01 UTC,2017-03-08,13:43:01,+0000,4826765134,amaama_anime,アニメ「甘々と稲妻」公式,,「甘々と稲妻」Blu-ray＆DVD VOL.6 初回特典ピクニックアイテムもついに完結！ ごはんやさん“恵”謹製 保温＆保冷バッグ”です！ もう少し暖かくなったらピクニックにお花見に！これまでのアイテムと一緒にお出かけしてください！#甘々と稲妻  https://t.co/UpWh1DnEp1,ja,[],[],['https://pbs.twimg.com/media/C6Zm2j1UYAAxCNT.jpg'],0,25,92,['甘々と稲妻'],[],https://twitter.com/amaama_anime/status/839471521051484161,False,,1,https://pbs.twimg.com/media/C6Zm2j1UYAAxCNT.jpg,,,,,,,[],,,,
839470823631048704,839470823631048704,2017-03-08 13:40:15 UTC,2017-03-08,13:40:15,+0000,4826765134,amaama_anime,アニメ「甘々と稲妻」公式,,「甘々と稲妻」Blu-ray＆DVD VOL.6 スペシャルCDVOL.3に収録の「みんなでゆうえんち　その3　つむぎと小鳥ちゃんママ」ではついにみんなが大集合です！ そしてサウンドトラック#3に つむぎちゃんの唄う“サメの歌”“あつい夏の歌”を収録！シャーク！#甘々と稲妻  https://t.co/HbZfHgm3Ft,ja,[],[],['https://pbs.twimg.com/media/C6ZmPayU4AAxBDm.jpg'],0,33,79,['甘々と稲妻'],[],https://twitter.com/amaama_anime/status/839470823631048704,False,,1,https://pbs.twimg.com/media/C6ZmPayU4AAxBDm.jpg,,,,,,,[],,,,
839469712668925953,839469712668925953,2017-03-08 13:35:50 UTC,2017-03-08,13:35:50,+0000,4826765134,amaama_anime,アニメ「甘々と稲妻」公式,,アニメ「甘々と稲妻」Blu-ray＆DVD VOL.6　今回も特典盛りだくさんですが、なんといっても雨隠先生描き下ろし漫画、“つむぎとお花見”後編が読めます。これはファン必読の笑いながら胸があたたかい気持ちでいっぱいになること必至なエピソード是非お楽しみください！#甘々と稲妻  https://t.co/R8wy4ed4vO,ja,[],[],"['https://pbs.twimg.com/media/C6ZlLT3UYAEp51A.jpg', 'https://pbs.twimg.com/media/C6ZlNT5VAAE3Hyv.jpg']",0,37,104,['甘々と稲妻'],[],https://twitter.com/amaama_anime/status/839469712668925953,False,,1,https://pbs.twimg.com/media/C6ZlLT3UYAEp51A.jpg,,,,,,,[],,,,
839468316141875200,839468316141875200,2017-03-08 13:30:17 UTC,2017-03-08,13:30:17,+0000,4826765134,amaama_anime,アニメ「甘々と稲妻」公式,,ついに「甘々と稲妻」Blu-ray＆DVD VOL.6　発売となりました！ 収録は第10話「おゆうぎ会とさつまいもクレープ」、第11話「あいじょーたっぷりお好み焼き」です！これでアニメ「甘々と稲妻」お家で繰り返しお楽しみいただけます！#甘々と稲妻  https://t.co/ctPp1mqqYb,ja,[],[],"['https://pbs.twimg.com/media/C6ZjpX1U4AEiQmx.jpg', 'https://pbs.twimg.com/media/C6ZjrKGUwAAtsc7.jpg', 'https://pbs.twimg.com/media/C6Zjr7aUsAE-MET.jpg']",0,84,206,['甘々と稲妻'],[],https://twitter.com/amaama_anime/status/839468316141875200,False,,1,https://pbs.twimg.com/media/C6ZjpX1U4AEiQmx.jpg,,,,,,,[],,,,
833626292582879233,833626292582879233,2017-02-20 10:36:10 UTC,2017-02-20,10:36:10,+0000,4826765134,amaama_anime,アニメ「甘々と稲妻」公式,,今週末アニメ「甘々と稲妻」一挙放送あり〼。日テレプラスさんで24日（金）26：00～です！これまでにご覧いただいた方も、見逃しある方も是非ご覧ください！  https://t.co/FJPiXLkZXG #甘々と稲妻  https://t.co/JNJoydlZhN,ja,[],['http://www.nitteleplus.com/program/anime/amaama.html'],"['https://pbs.twimg.com/media/C5Gid_OVMAANTHb.jpg', 'https://pbs.twimg.com/media/C5GiklUUcAAuZc0.jpg', 'https://pbs.twimg.com/media/C5Giq1UVMAAY3r2.jpg']",0,146,286,['甘々と稲妻'],[],https://twitter.com/amaama_anime/status/833626292582879233,False,,1,https://pbs.twimg.com/media/C5Gid_OVMAANTHb.jpg,,,,,,,[],,,,
831840166482370568,831840166482370568,2017-02-15 12:18:45 UTC,2017-02-15,12:18:45,+0000,4826765134,amaama_anime,アニメ「甘々と稲妻」公式,,2月12日【甘々と稲妻 スペシャルイベント】で登場した新アイテム！　こちらでご注文受付中です！#甘々と稲妻  https://t.co/TZIq7wfNxr,ja,[],['https://twitter.com/thechara_2014/status/831739774629249025'],[],0,38,82,['甘々と稲妻'],[],https://twitter.com/amaama_anime/status/831840166482370568,False,https://twitter.com/thechara_2014/status/831739774629249025,0,,,,,,,,[],,,,
830680437466935296,830680437466935296,2017-02-12 07:30:24 UTC,2017-02-12,07:30:24,+0000,4826765134,amaama_anime,アニメ「甘々と稲妻」公式,,『甘々と稲妻 スペシャルイベント』終了いたしました！ご来場頂きました皆さま、アニメを楽しんで下さった皆さま、本当にありがとうございました☆　#甘々と稲妻  https://t.co/zsZmoARXH7,ja,[],[],['https://pbs.twimg.com/media/C4crcUEVYAEd1Po.jpg'],1,1733,2977,['甘々と稲妻'],[],https://twitter.com/amaama_anime/status/830680437466935296,False,,1,https://pbs.twimg.com/media/C4crcUEVYAEd1Po.jpg,,,,,,,[],,,,
830613490951811072,830613490951811072,2017-02-12 03:04:22 UTC,2017-02-12,03:04:22,+0000,4826765134,amaama_anime,アニメ「甘々と稲妻」公式,,『甘々と稲妻 スペシャルイベント』12時より物販を開始いたしました！チケットがなくても終演後までお買い物できますので、ぜひご来場ください☆　#甘々と稲妻  https://t.co/mbism0NuRH,ja,[],[],"['https://pbs.twimg.com/media/C4bujFVUMAE1yH8.jpg', 'https://pbs.twimg.com/media/C4bujxhUMAARmOJ.jpg']",0,51,108,['甘々と稲妻'],[],https://twitter.com/amaama_anime/status/830613490951811072,False,,1,https://pbs.twimg.com/media/C4bujFVUMAE1yH8.jpg,,,,,,,[],,,,
830606760322805762,830606760322805762,2017-02-12 02:37:38 UTC,2017-02-12,02:37:38,+0000,4826765134,amaama_anime,アニメ「甘々と稲妻」公式,,本日はついに『甘々と稲妻 スペシャルイベント』！会場付近はとても天気が良いので、ぜひ「晴レ晴レファンファーレ」を聞きながらご来場ください♪会場ではつむぎちゃんもお待ちしてますよ～☆　#甘々と稲妻  https://t.co/l3P7WmWIWB,ja,[],[],['https://pbs.twimg.com/media/C4bocE8UYAEOCbs.jpg'],1,125,261,['甘々と稲妻'],[],https://twitter.com/amaama_anime/status/830606760322805762,False,,1,https://pbs.twimg.com/media/C4bocE8UYAEOCbs.jpg,,,,,,,[],,,,
