id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1381458943692599296,1381458943692599296,2021-04-12 04:07:33 UTC,2021-04-12,04:07:33,+0000,798025814621028352,anime_one_room,TVアニメ「One Room」（ワンルーム）公式,,ゆううつな月曜日を吹き飛ばせ～～☀️😍😍😍,ja,[],[],[],0,48,153,[],[],https://twitter.com/anime_one_room/status/1381458943692599296,False,https://twitter.com/anime_one_room/status/1377546279639715843,0,,,,,,,,[],,,,
1380355536500088834,1380355536500088834,2021-04-09 03:03:00 UTC,2021-04-09,03:03:00,+0000,798025814621028352,anime_one_room,TVアニメ「One Room」（ワンルーム）公式,,花坂結衣（CV：M・A・O ）が歌う主題歌「春夏秋冬＊笑顔日和」視聴動画公開中です ぜひお聞きください～  https://t.co/xDhSIg5Q2c #OneRoom #OR3  #M・A・O  https://t.co/ZyINa59mCc,ja,[],['https://youtu.be/yhgZ9rO4vY4'],[],2,109,325,"['oneroom', 'or3', 'm・a・o']",[],https://twitter.com/anime_one_room/status/1380355536500088834,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1380056731040948225/pu/img/o_4c-C9oDGeqWvfL.jpg,,,,,,,[],,,,
1380019763393355786,1380019763393355786,2021-04-08 04:48:45 UTC,2021-04-08,04:48:45,+0000,798025814621028352,anime_one_room,TVアニメ「One Room」（ワンルーム）公式,,琴川晶（CV：富田美憂 @miyju_tomita ）が歌う主題歌「太陽とレインボー」視聴動画公開中です☀️🌈☀️🌈 ぜひお聞きください～😍😍😍  https://t.co/Esr7H96CqU #OneRoom #OR3  https://t.co/hTQICqxVSn,ja,"[{'screen_name': 'miyju_tomita', 'name': '富田美憂', 'id': '4513131312'}]",['https://youtu.be/0i2DBBdP65Q'],[],1,90,284,"['oneroom', 'or3']",[],https://twitter.com/anime_one_room/status/1380019763393355786,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1380019549521633283/pu/img/sL1FriaDGYFi44eu.jpg,,,,,,,[],,,,
1379270134246821888,1379270134246821888,2021-04-06 03:10:00 UTC,2021-04-06,03:10:00,+0000,798025814621028352,anime_one_room,TVアニメ「One Room」（ワンルーム）公式,,織崎 紗耶（CV:花守ゆみり @hanayumi09 ）が歌う主題歌「3階からヤマトナデシコ」視聴動画公開中です😍😍😍 ぜひお聞きください～👂👂👂  https://t.co/0O5sO8ZZKi #OneRoom #OR3  https://t.co/LIdJAco97c,ja,"[{'screen_name': 'hanayumi09', 'name': '花守ゆみり', 'id': '3105952002'}]",['https://youtu.be/LvsAMvjft0A'],[],3,95,267,"['oneroom', 'or3']",[],https://twitter.com/anime_one_room/status/1379270134246821888,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1379264542773944322/pu/img/S0JUIfquxHZbKL0l.jpg,,,,,,,[],,,,
1378909004538146816,1378909004538146816,2021-04-05 03:15:00 UTC,2021-04-05,03:15:00,+0000,798025814621028352,anime_one_room,TVアニメ「One Room」（ワンルーム）公式,,七橋 御乃梨（CV：高橋李依 @taka8rie  )が歌う主題歌「雪の街と空想タイムマシン」視聴動画公開中です😍😍😍 ぜひお聞きください～☀️☀️☀️  https://t.co/v9Fg4HvP7i #OneRoom #OR3  https://t.co/roueds1FV5,ja,"[{'screen_name': 'taka8rie', 'name': '高橋李依', 'id': '903342036'}]",['https://www.youtube.com/watch?v=C17_hV4hps0'],[],5,169,725,"['oneroom', 'or3']",[],https://twitter.com/anime_one_room/status/1378909004538146816,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1378880271253008384/pu/img/hK3VUhFWMQYH5vQ0.jpg,,,,,,,[],,,,
1377546279639715843,1377546279639715843,2021-04-01 09:00:01 UTC,2021-04-01,09:00:01,+0000,798025814621028352,anime_one_room,TVアニメ「One Room」（ワンルーム）公式,,桃原奈月（CV：村川梨衣 @RiEmagic ）が歌う、『One Room サードシーズン』主題歌「青空に紙ヒコーキ」試聴動画公開中です♥ ぜひお聞きください～✨✨  https://t.co/9zOv18DnWX #OneRoom #OR3  https://t.co/3uKLHnbsGL,ja,"[{'screen_name': 'riemagic', 'name': '村川 梨衣', 'id': '160216958'}]",['https://youtu.be/mg8_bftPLwg'],[],0,157,470,"['oneroom', 'or3']",[],https://twitter.com/anime_one_room/status/1377546279639715843,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1377484842913341441/pu/img/ppJ9HEcT32G2DoTF.jpg,,,,,,,[],,,,
1376746573565108224,1376746573565108224,2021-03-30 04:02:16 UTC,2021-03-30,04:02:16,+0000,798025814621028352,anime_one_room,TVアニメ「One Room」（ワンルーム）公式,,【音楽情報🌈】 SMIRAL YouTubeチャンネルで『One Room サードシーズン』の主題歌がちょこっとだけ公開中です🎉🤗  可愛い楽曲の数々是非ご視聴ください🎶😌  動画⬇️⬇️⬇️  https://t.co/yCq7nyLPyX  #OneRoom #OR3,ja,[],['https://m.youtube.com/watch?v=yhgZ9rO4vY4'],[],1,45,120,"['oneroom', 'or3']",[],https://twitter.com/anime_one_room/status/1376746573565108224,False,,0,,,,,,,,[],,,,
1375283732425269253,1375283732425269253,2021-03-26 03:09:28 UTC,2021-03-26,03:09:28,+0000,798025814621028352,anime_one_room,TVアニメ「One Room」（ワンルーム）公式,,【とらのあな限定販売🐯】 One Room サードシーズン 公式設定資料集・グッズセットが明日、3月27日（土）発売決定🎉  カントク先生（@kantoku_5th ）の和風描き下ろしイラストを使用したB2タペストリー・BIGアクリルキーホルダーにも注目です✨  是非チェックしてみてね😉⬇️  https://t.co/m0HYgYwXiz,ja,"[{'screen_name': 'kantoku_5th', 'name': 'カントク', 'id': '776240313467756544'}]",['http://news.toranoana.jp/156361'],[],1,42,147,[],[],https://twitter.com/anime_one_room/status/1375283732425269253,False,,0,,,,,,,,[],,,,
1373990049394483202,1373990049394483202,2021-03-22 13:28:49 UTC,2021-03-22,13:28:49,+0000,798025814621028352,anime_one_room,TVアニメ「One Room」（ワンルーム）公式,,みなさん最終回のご視聴ありがとうございました！😘ハプニングあったりでちょっと焦りましたが💦最後までお付き合い頂き、ただもう感謝です🥲 またお会いできる日を楽しみにしてます！♥️😍☺️😭 #OneRoom #oneroom #M・A・O #村川梨衣(@RiEmagic)  https://t.co/29TRpQVtC9,ja,"[{'screen_name': 'riemagic', 'name': '村川 梨衣', 'id': '160216958'}]",[],['https://pbs.twimg.com/media/ExFkqmoUUAUBvzb.jpg'],4,89,332,"['oneroom', 'oneroom', 'm・a・o', '村川梨衣']",[],https://twitter.com/anime_one_room/status/1373990049394483202,False,,1,https://pbs.twimg.com/media/ExFkqmoUUAUBvzb.jpg,,,,,,,[],,,,
1373984298420736002,1373984298420736002,2021-03-22 13:05:58 UTC,2021-03-22,13:05:58,+0000,798025814621028352,anime_one_room,TVアニメ「One Room」（ワンルーム）公式,,OneRoom3rdシーズンニコニコチャンネルをご覧の皆様、先程配信が止まってしまい申し訳ございません。 新しい放送枠を作りましたので下記よりご視聴くださいませ。  https://t.co/bVcxZFujn3,ja,[],['https://live.nicovideo.jp/watch/lv331054698'],[],1,23,68,[],[],https://twitter.com/anime_one_room/status/1373984298420736002,False,,0,,,,,,,,[],,,,
