id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413404330661580802,1413404330661580802,2021-07-09 07:47:06 UTC,2021-07-09,07:47:06,+0000,219239914,comicgene,月刊コミックジーン公式アカウント,,✒️『准教授・高槻彰良の推察』シリーズ✒️ ドラマ化を記念しまして、 対象作品お買い上げでポストカードの特典をお渡しするキャンペーンを実施致します！  鈴木次郎先生と相尾灯自先生の美麗イラストは必見です！✨  対象店舗ならびに開始時期などは以下のURLをチェック！↓↓  https://t.co/mK1z8G78G7,ja,[],['https://kadobun.jp/news/campaign/66w8vo4dhfk0.html'],[],0,66,158,[],[],https://twitter.com/comicgene/status/1413404330661580802,False,,0,,,,,,,,[],,,,
1411157750902493189,1411157750902493189,2021-07-03 03:00:00 UTC,2021-07-03,03:00:00,+0000,219239914,comicgene,月刊コミックジーン公式アカウント,,／ 📢アニメイト池袋本店に、コミックジーンの看板が登場‼ ＼  入り口横の大きな看板に、7月号表紙の10周年記念イラストが掲載中です✨ さらに、ビジョンでは10周年記念動画を放映中📽  掲載期間：看板7/31・ビジョン7/29まで！  ぜひお立ち寄りください♪  https://t.co/RcrqNTPnYG,ja,[],[],['https://pbs.twimg.com/media/E5R0osQVcAQbdJS.jpg'],0,64,323,[],[],https://twitter.com/comicgene/status/1411157750902493189,False,,1,https://pbs.twimg.com/media/E5R0osQVcAQbdJS.jpg,,,,,,,[],,,,
1408323169820110853,1408323169820110853,2021-06-25 07:16:23 UTC,2021-06-25,07:16:23,+0000,219239914,comicgene,月刊コミックジーン公式アカウント,,【ジーンコミックス】本日6月25日（金）発売!! 彼女が魔女に着替える時　１  専門の仕立て師のみが制作を許される、魔女のドレス・魔呪盛装＜マギックドレス＞。 仕立て師になるべく異国からきた蒼司郎と魔女見習いのクロエは学園で出会う。 魔女と仕立て師を目指すふたりの学園ファンタジー!!  https://t.co/Isay3PWCTU,ja,[],[],"['https://pbs.twimg.com/media/E4teKH8UcAYTufH.jpg', 'https://pbs.twimg.com/media/E4teNISVoAYHQLn.jpg']",0,4,21,[],[],https://twitter.com/comicgene/status/1408323169820110853,False,,1,https://pbs.twimg.com/media/E4teKH8UcAYTufH.jpg,,,,,,,[],,,,
1407961551005360130,1407961551005360130,2021-06-24 07:19:27 UTC,2021-06-24,07:19:27,+0000,219239914,comicgene,月刊コミックジーン公式アカウント,,【ジーンコミックス】明日6月25日（金）発売!! 彼女が魔女に着替える時　１  専門の仕立て師のみが制作を許される、魔女のドレス・魔呪盛装＜マギックドレス＞。 仕立て師になるべく異国からきた蒼司郎と魔女見習いのクロエは学園で出会う。 魔女と仕立て師を目指すふたりの学園ファンタジー!!  https://t.co/dlm4b5pS6l,ja,[],[],"['https://pbs.twimg.com/media/E4oVE_QVEAI4SjD.jpg', 'https://pbs.twimg.com/media/E4oVGwjVUAQQ7zh.jpg']",0,13,43,[],[],https://twitter.com/comicgene/status/1407961551005360130,False,,1,https://pbs.twimg.com/media/E4oVE_QVEAI4SjD.jpg,,,,,,,[],,,,
1405827629886808068,1405827629886808068,2021-06-18 10:00:00 UTC,2021-06-18,10:00:00,+0000,219239914,comicgene,月刊コミックジーン公式アカウント,,／ ㊙メイキング動画🎬大公開‼ ＼ この度、ジーン公式TikTokが開設🎉 なんとなんと、ジーン作品のメイキングが観れちゃいます‼ 第1弾としてジーン7月号表紙の制作過程を公開中✨ 今後も随時更新していきますのでお楽しみに♪  👇メイキングの続きはこちらから  https://t.co/9unaLPHA91  https://t.co/1WgoPSbmBH,ja,[],['https://vt.tiktok.com/ZSJCBKrj1/'],[],0,407,1394,[],[],https://twitter.com/comicgene/status/1405827629886808068,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1405804580835717120/pu/img/txz3XCK_Z_-qMz2Q.jpg,,,,,,,[],,,,
1405331858322198530,1405331858322198530,2021-06-17 01:09:59 UTC,2021-06-17,01:09:59,+0000,219239914,comicgene,月刊コミックジーン公式アカウント,,『准教授・高槻彰良の推察』ドラマは8月7日よる11時40分スタート！ 原作小説は6巻まで発売中。7月27日発売のコミカライズ2巻も鋭意制作中です👍 漫画の試し読みはこちらから↓  https://t.co/YU8rr6C6GE..,ja,[],['https://viewer-trial.bookwalker.jp/03/9/viewer.html?cid=54058269-6d63-49e7-867b-9df263c93148&cty=1&adpcnt=7qM_VsjN&_gl=1*11utqpt*_ga*MTUzMDIxMjgxOS4xNjIzODkyMDM3*_ga_ZB5RJD6B6P*MTYyMzg5MjAzNi4xLjAuMTYyMzg5MjAzNi42MA'],[],1,354,902,[],[],https://twitter.com/comicgene/status/1405331858322198530,False,https://twitter.com/tokaitv_dodra/status/1405253864060686337,0,,,,,,,,[],,,,
1404740600298049543,1404740467154096128,2021-06-15 10:00:32 UTC,2021-06-15,10:00:32,+0000,219239914,comicgene,月刊コミックジーン公式アカウント,,配信：各電子書籍ストア様にて 希望小売価格：500円（税抜） 発売日：紙雑誌発売5日後  ※5日後が日曜日の場合は1日前倒しし、土曜日の発売となります。 ※電子版では付録はつきません。,ja,[],[],[],0,17,37,[],[],https://twitter.com/comicgene/status/1404740600298049543,False,,0,,,,,,,,[],,,,
1404740467154096128,1404740467154096128,2021-06-15 10:00:00 UTC,2021-06-15,10:00:00,+0000,219239914,comicgene,月刊コミックジーン公式アカウント,,📘コミックジーン電子化のお知らせ📘 2021年7月号より、月刊コミックジーンが電子書籍でも読めるようになりました！ 6/19(土)00:00より、各電子書籍ストア様にて配信開始予定！ いつでもどこでもジーンを読んで楽しもう🙌  7月号は、人気作品集合表紙が目印！  ⬇詳しくはスレッドへ  https://t.co/VgG4eOir5m,ja,[],[],['https://pbs.twimg.com/media/E300-IvVIAEBQ1G.jpg'],1,133,413,[],[],https://twitter.com/comicgene/status/1404740467154096128,False,,1,https://pbs.twimg.com/media/E300-IvVIAEBQ1G.jpg,,,,,,,[],,,,
1404725365973549063,1404725365973549063,2021-06-15 09:00:00 UTC,2021-06-15,09:00:00,+0000,219239914,comicgene,月刊コミックジーン公式アカウント,,／ ㊗『月刊コミックジーン』10周年🎊 ＼  たくさんの方に応援していただき、2021年6月15日発売の7月号で創刊10周年を迎えることができました！ みんなに感謝を込めて『記念PV』を特別公開中✨  specialナレーション→ #中村悠一 さん!!  完全版はこちら⬇  https://t.co/hdThkkZdXF  https://t.co/ThVlpb8CLR,ja,[],['https://youtu.be/e9KkRgAtVTg'],[],0,182,514,['中村悠一'],[],https://twitter.com/comicgene/status/1404725365973549063,False,,1,https://pbs.twimg.com/media/E311dTTVoAgE5Mx.jpg,,,,,,,[],,,,
1404708024384557058,1404708018982318080,2021-06-15 07:51:05 UTC,2021-06-15,07:51:05,+0000,219239914,comicgene,月刊コミックジーン公式アカウント,,センターカラーには、新連載!!『マーディスト ―死刑囚・風見多鶴―』🏹、6月25日（金）にコミックス第1巻発売の『彼女が魔女に着替える時』🧙‍♀️が登場!! ぜひお買い求めください～！,ja,[],[],[],0,7,20,[],[],https://twitter.com/comicgene/status/1404708024384557058,False,,0,,,,,,,,[],,,,
