id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1412384912519286794,1412384912519286794,2021-07-06 12:16:18 UTC,2021-07-06,12:16:18,+0000,103229997,fumi1978,フミ,,UKPラジオ vol.52 配信開始しております！  みんな大好きアチコが来てくれました♡ (私もこの写真めちゃ好きです。アチコと遠藤さんの可愛いショット) 聴いてくださいねー！,ja,[],[],[],0,5,39,[],[],https://twitter.com/fumi1978/status/1412384912519286794,False,https://twitter.com/ukp_radio/status/1412018428970295298,0,,,,,,,,[],,,,
1409852056672735237,1409852056672735237,2021-06-29 12:31:38 UTC,2021-06-29,12:31:38,+0000,103229997,fumi1978,フミ,,皆様ありがとうございました！ 👏👏👏,ja,[],[],[],1,9,114,[],[],https://twitter.com/fumi1978/status/1409852056672735237,False,https://twitter.com/OneonOne2021/status/1409850271539236869,0,,,,,,,,[],,,,
1409497546343424011,1409497546343424011,2021-06-28 13:02:56 UTC,2021-06-28,13:02:56,+0000,103229997,fumi1978,フミ,,UKPラジオ vol.51 配信開始！  憲ちゃんが来てくれました！ 出会った当時のとこから最近のことまで色々お話聞けました！ 是非聴いてくださいねー！,ja,[],[],[],0,2,34,[],[],https://twitter.com/fumi1978/status/1409497546343424011,False,https://twitter.com/ukp_radio/status/1409481847860457473,0,,,,,,,,[],,,,
1407545831951982594,1407545831951982594,2021-06-23 03:47:31 UTC,2021-06-23,03:47:31,+0000,103229997,fumi1978,フミ,,UKPラジオ vol.50 配信開始しておりまーす！！ 祝50回！ 深夜のAMラジオの様な和やかさでお送りしております☺️☺️ 6/29のライブの事などなど。 是非聴いてくださいねー！！,ja,[],[],[],0,6,38,[],[],https://twitter.com/fumi1978/status/1407545831951982594,False,https://twitter.com/ukp_radio/status/1406945023438950401,0,,,,,,,,[],,,,
1404584995679727618,1404584995679727618,2021-06-14 23:42:13 UTC,2021-06-14,23:42:13,+0000,103229997,fumi1978,フミ,,UKPラジオ vol.49配信開始してます！  BIGMAMAから真緒ちゃんとビスたんがきてくれました！ ビスたんは先月正式加入したばかり。 その辺りも色々とお話伺えましたよー！ほんとナイスガイ！(いやナイスバケツ？) 是非聴いてくださいね！,ja,[],[],[],0,2,32,[],[],https://twitter.com/fumi1978/status/1404584995679727618,False,https://twitter.com/ukp_radio/status/1404408559895339011,0,,,,,,,,[],,,,
1404271354350686208,1403908496081375233,2021-06-14 02:55:55 UTC,2021-06-14,02:55:55,+0000,103229997,fumi1978,フミ,,@matsuqa お揃いのSBVだね！ ストラップ…確か今使ってるのはvoxのだったような？革の細いものです´◡`,ja,[],[],[],2,0,1,[],[],https://twitter.com/fumi1978/status/1404271354350686208,False,,0,,,,,,,,"[{'screen_name': 'matsuqa', 'name': 'まつだ', 'id': '1197659593276395520'}]",,,,
1402594835400253440,1402594835400253440,2021-06-09 11:54:02 UTC,2021-06-09,11:54:02,+0000,103229997,fumi1978,フミ,,UKPラジオvol.48 配信開始しております！ お久しぶりにお会い出来た中田くん！ 色々とお話聞けました。 是非是非聴いてくださいませ〜✨,ja,[],[],[],0,3,32,[],[],https://twitter.com/fumi1978/status/1402594835400253440,False,https://twitter.com/ukp_radio/status/1401871716293373957,0,,,,,,,,[],,,,
1401737349059416070,1401737349059416070,2021-06-07 03:06:41 UTC,2021-06-07,03:06:41,+0000,103229997,fumi1978,フミ,,出演しまーす！ 大阪城音泉♨️,ja,[],[],[],4,17,118,[],[],https://twitter.com/fumi1978/status/1401737349059416070,False,https://twitter.com/shimizuonsen/status/1401735665797066752,0,,,,,,,,[],,,,
1401121767876218885,1401103572486344705,2021-06-05 10:20:35 UTC,2021-06-05,10:20:35,+0000,103229997,fumi1978,フミ,,@MioYamamotooo @HIJACK_40 ジャケ写！そこ！笑,ja,[],[],[],1,0,0,[],[],https://twitter.com/fumi1978/status/1401121767876218885,False,,0,,,,,,,,"[{'screen_name': 'MioYamamotooo', 'name': 'Mio Yamamoto', 'id': '25480787'}, {'screen_name': 'HIJACK_40', 'name': 'はっちゃく', 'id': '977494766'}]",,,,
1401118598098161665,1401103572486344705,2021-06-05 10:07:59 UTC,2021-06-05,10:07:59,+0000,103229997,fumi1978,フミ,,@HIJACK_40 @MioYamamotooo  https://t.co/QKWF7xaI2W,und,[],[],['https://pbs.twimg.com/media/E3HF8BpVUAEL6XI.jpg'],1,0,0,[],[],https://twitter.com/fumi1978/status/1401118598098161665,False,,1,https://pbs.twimg.com/media/E3HF8BpVUAEL6XI.jpg,,,,,,,"[{'screen_name': 'HIJACK_40', 'name': 'はっちゃく', 'id': '977494766'}]",,,,
