id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413767288348577792,1413767288348577792,2021-07-10 07:49:22 UTC,2021-07-10,07:49:22,+0000,923062406548406272,khaleda_amin,アミンさん | 女性専門ボディメイクトレーナー,,【太りやすい体質になるためにやっておくべき5選】 ①糖質を断ちたんぱく質・脂質食べ放題 ②低カロリー依存PFCバランス無視 ③いつも寝不足or睡眠の質悪い ④水分補給500ml程度 ⑤1日3000歩未満,ja,[],[],[],0,19,200,[],[],https://twitter.com/khaleda_amin/status/1413767288348577792,False,,0,,,,,,,,[],,,,
1413763035831750656,1409871800188739594,2021-07-10 07:32:28 UTC,2021-07-10,07:32:28,+0000,923062406548406272,khaleda_amin,アミンさん | 女性専門ボディメイクトレーナー,,@naomillion_ 佐藤さん、ありがとうございます😊❣️5ヶ月続いているのすごいですね！！またレシピなど色々投稿していきます✨頑張っていきましょう🙌✨,ja,[],[],[],0,0,1,[],[],https://twitter.com/khaleda_amin/status/1413763035831750656,False,,0,,,,,,,,"[{'screen_name': 'naomillion_', 'name': '佐藤尚美(45)コスメ製造アドバイザー', 'id': '1155473057114234880'}]",,,,
1412444860762656768,1412399222201065478,2021-07-06 16:14:31 UTC,2021-07-06,16:14:31,+0000,923062406548406272,khaleda_amin,アミンさん | 女性専門ボディメイクトレーナー,,@Tanuk_Ichi これはヤバイですね…。さすがに引きます😂,ja,[],[],[],1,0,1,[],[],https://twitter.com/khaleda_amin/status/1412444860762656768,False,,0,,,,,,,,"[{'screen_name': 'Tanuk_Ichi', 'name': 'たぬきち@パクツイ大歓迎', 'id': '1025647760173760513'}]",,,,
1409871930086367241,1409871800188739594,2021-06-29 13:50:36 UTC,2021-06-29,13:50:36,+0000,923062406548406272,khaleda_amin,アミンさん | 女性専門ボディメイクトレーナー,,※身長162cmです,ja,[],[],[],0,2,57,[],[],https://twitter.com/khaleda_amin/status/1409871930086367241,False,,0,,,,,,,,[],,,,
1409871800188739594,1409871800188739594,2021-06-29 13:50:05 UTC,2021-06-29,13:50:05,+0000,923062406548406272,khaleda_amin,アミンさん | 女性専門ボディメイクトレーナー,,#身長マイナス体重は110がベストらしい  実際大事なのは体重ではなくてその内訳。つまり筋肉と体脂肪のバランスだと思う。所謂「引き締まった見た目」になるには一定量の筋肉が必要になる。筋肉は体脂肪よりも重いので、体重増えても見た目全然違うんです(5年前の自分→なう)  https://t.co/DE2IuotLi9,ja,[],[],"['https://pbs.twimg.com/media/E5De7cGXoAMjt85.jpg', 'https://pbs.twimg.com/media/E5De7cFXoAQxCYD.jpg']",2,634,5030,['身長マイナス体重は110がベストらしい'],[],https://twitter.com/khaleda_amin/status/1409871800188739594,False,,1,https://pbs.twimg.com/media/E5De7cGXoAMjt85.jpg,,,,,,,[],,,,
1407217452065333254,1407213599664209920,2021-06-22 06:02:40 UTC,2021-06-22,06:02:40,+0000,923062406548406272,khaleda_amin,アミンさん | 女性専門ボディメイクトレーナー,,頼んでもないのに他人の体型や顔をジャッジする人は、もれなくその人自身が己の体型を気にしてるし、根拠もなく他人をバカとかアホと言う人は、自分の頭脳レベルを気にしてる。  他人は自分を写す鏡です。何かトゲのある言葉を他人へ吐き捨てたくなったら、一度省みるクセをつけたいものです。,ja,[],[],[],0,72,425,[],[],https://twitter.com/khaleda_amin/status/1407217452065333254,False,,0,,,,,,,,[],,,,
1407213599664209920,1407213599664209920,2021-06-22 05:47:21 UTC,2021-06-22,05:47:21,+0000,923062406548406272,khaleda_amin,アミンさん | 女性専門ボディメイクトレーナー,,他人に何か言われて落ち込んでいる人へ。  「人は他人を罵倒する時、自分が言われて嫌な言葉を無意識に選ぶ」  悪口はね、己のコンプレックスの告白なんです。これを知っていると、他人のことを罵倒するなんて恐ろしくて出来なくなります。だから落ち込まなくていいよ。,ja,[],[],[],1,459,3344,[],[],https://twitter.com/khaleda_amin/status/1407213599664209920,False,,0,,,,,,,,[],,,,
1404383401033953286,1404378161681362945,2021-06-14 10:21:09 UTC,2021-06-14,10:21:09,+0000,923062406548406272,khaleda_amin,アミンさん | 女性専門ボディメイクトレーナー,,玉ねぎは50gです…！ ※文字数限度いって入らなかった  気になるカロリーとマクロはおおよそ… ＼243kcal P24 F8 C22／  最終的にはカロリーじゃなくて、お腹具合でストレスなく食事を摂れることが理想だけど一応！,ja,[],[],[],0,3,139,[],[],https://twitter.com/khaleda_amin/status/1404383401033953286,False,,0,,,,,,,,[],,,,
1404381647970050053,1404378161681362945,2021-06-14 10:14:11 UTC,2021-06-14,10:14:11,+0000,923062406548406272,khaleda_amin,アミンさん | 女性専門ボディメイクトレーナー,,こちら神しらたきを使って作ったなんちゃってボロネーゼです。※アク抜き不要しらたき使用 玉ねぎ＋牛赤身ひき肉100g＋しらたき200g＋コンソメ小さじ1/2＋ケチャップ大さじ1ちょい＋中濃ソース大さじ1ちょい+塩胡椒 全部混ぜ込んで炒めるだけ。特に難しいスキルは入りませんそれっぽく盛り付けましょう  https://t.co/hQe9cSPfbt,ja,[],[],['https://pbs.twimg.com/media/E31dqV1VcAcRyhc.jpg'],1,74,869,[],[],https://twitter.com/khaleda_amin/status/1404381647970050053,False,,1,https://pbs.twimg.com/media/E31dqV1VcAcRyhc.jpg,,,,,,,[],,,,
1404378161681362945,1404378161681362945,2021-06-14 10:00:20 UTC,2021-06-14,10:00:20,+0000,923062406548406272,khaleda_amin,アミンさん | 女性専門ボディメイクトレーナー,,これはあまり教えたくないライフハックなのですが、しらたき100gあたり5gの砂糖を揉み込んで3分程度放置すると、水分が抜け、味が染み込みやすい神しらたきに変身します…！サッと洗い流して調理に取りかかれるのも良きです。  https://t.co/EJ5rhDZ97z,ja,[],[],"['https://pbs.twimg.com/media/E31afi9UYAEck_L.jpg', 'https://pbs.twimg.com/media/E31afi6VcAAvllZ.jpg']",1,1298,12470,[],[],https://twitter.com/khaleda_amin/status/1404378161681362945,False,,1,https://pbs.twimg.com/media/E31afi9UYAEck_L.jpg,,,,,,,[],,,,
1402145569074683907,1401152130447069185,2021-06-08 06:08:48 UTC,2021-06-08,06:08:48,+0000,923062406548406272,khaleda_amin,アミンさん | 女性専門ボディメイクトレーナー,,@kiyo_chan0822 いえいえこちらこそです！3回目の経過もツイートしていきますね✍️！,ja,[],[],[],0,0,0,[],[],https://twitter.com/khaleda_amin/status/1402145569074683907,False,,0,,,,,,,,"[{'screen_name': 'kiyo_chan0822', 'name': 'みつきよ', 'id': '868460571280134144'}]",,,,
