id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1409385307749818368,1409385307749818368,2021-06-28 05:36:57 UTC,2021-06-28,05:36:57,+0000,149751046,lesliekeesuper,LESLIE KEE,,拡散希望 レスリー・キー写真展「Bookish」 7月3日(土) から8月1日(日)  新宿　北村写真機店ギャラリー   https://t.co/Uh1yDV4YgS,ja,[],['https://www.kitamuracamera.jp/ja/event/bookish'],[],0,25,69,[],[],https://twitter.com/lesliekeesuper/status/1409385307749818368,False,,0,,,,,,,,[],,,,
1409147619096420354,1409147619096420354,2021-06-27 13:52:27 UTC,2021-06-27,13:52:27,+0000,149751046,lesliekeesuper,LESLIE KEE,,著名人たちからエール！ レスリー・キー監修LGBTQ番組「This is ME !!」第2回 Tokyo MX オンエアー  6月27日（日）25:05〜25:35 放送  https://t.co/qklvzK0aTr 蓮舫・小山薫堂・松田美由紀・竹中直人・小曽根真・神野三鈴・槙野智章・杏里・KEIKO LEE・大黒摩季・米倉利紀・アンミカ・早見優 など,ja,[],['https://the-new-tokyo.com/thisisme2/'],[],0,44,215,[],[],https://twitter.com/lesliekeesuper/status/1409147619096420354,False,,0,,,,,,,,[],,,,
1409115625914392579,1409115625914392579,2021-06-27 11:45:19 UTC,2021-06-27,11:45:19,+0000,149751046,lesliekeesuper,LESLIE KEE,,テレビ出演お知らせ 新番組「This is ME !!」第2回 Tokyo MX オンエアー  ゲスト :Leslie Kee 今晩！6月27日（日） 25:05〜25:35 放送  今回は写真家レスリー・キーの運命的なカメラや日本文化との出会い、カミングアウトによリ広がった世界を紹介。さらにSDGsから子供支援まで止まらない彼の活動とは?  https://t.co/V4Fsh8jbZ0,ja,[],[],['https://pbs.twimg.com/media/E44vMIMVgAQFxXN.jpg'],0,10,47,[],[],https://twitter.com/lesliekeesuper/status/1409115625914392579,False,,1,https://pbs.twimg.com/media/E44vMIMVgAQFxXN.jpg,,,,,,,[],,,,
1408369068512485378,1408369068512485378,2021-06-25 10:18:46 UTC,2021-06-25,10:18:46,+0000,149751046,lesliekeesuper,LESLIE KEE,,引き継ぎ、僕が撮影した新しい「GAP」キャンペーンの撮影も担当させていただきました！今回は笑福亭鶴瓶　SHIHOと娘、kemioが新作を着用、「GAP」2021年サマーキャンペーンのヴィジュアルが公開！  https://t.co/M51nkjoqjb,ja,[],['https://www.fashionsnap.com/article/2021-05-10/gap-21summer/?fbclid=IwAR2itQqbGofnSGk8HUgC-RxvyN38MA8Bb1G0Mrl98TtvfK9JzEtZXSuWEVg'],[],1,7,56,[],[],https://twitter.com/lesliekeesuper/status/1408369068512485378,False,,0,,,,,,,,[],,,,
1408368503598448642,1408368503598448642,2021-06-25 10:16:32 UTC,2021-06-25,10:16:32,+0000,149751046,lesliekeesuper,LESLIE KEE,,酒井法子、50歳でセクシーグラビア レスリー・キー撮影で奇跡のボディライン披露 今日発売「FLASH」表紙と中12ページを撮り下ろした！   https://t.co/D30KXxWy7h,ja,[],['https://www.oricon.co.jp/news/2196786/photo/2/?fbclid=IwAR04SzSdfmJabO6QjsMzmTqetnqtqUTVhsgMgCLPeN5e6JrDlLGFkUlddhQ'],[],0,3,21,[],[],https://twitter.com/lesliekeesuper/status/1408368503598448642,False,,0,,,,,,,,[],,,,
1408368105894539265,1408368105894539265,2021-06-25 10:14:57 UTC,2021-06-25,10:14:57,+0000,149751046,lesliekeesuper,LESLIE KEE,,藤ヶ谷太輔の主演ミュージカル「ドン・ジュアン」のメイン・ビジュアルの撮影を担当させていただきました。 2021年10月7日から17日まで大阪・梅田芸術劇場 メインホール、10月21日から11月6日まで東京・TBS赤坂ACTシアターで上演される。  https://t.co/YpWh7pQwyP,ja,[],['https://www.google.co.jp/amp/s/amp.natalie.mu/stage/news/433699'],[],15,845,2202,[],[],https://twitter.com/lesliekeesuper/status/1408368105894539265,False,,0,,,,,,,,[],,,,
1402555186950725633,1402555186950725633,2021-06-09 09:16:29 UTC,2021-06-09,09:16:29,+0000,149751046,lesliekeesuper,LESLIE KEE,,先週金曜日放送した「有吉クイズ」にまた出演させていただいて、前回より大きな挑戦ができた！ 1964年の東京オリンピックのポスターにオマージュで「有吉弘行2022年特製カレンダー」の撮影をした！ 有吉弘行の7変形は最強！要チェック！   https://t.co/uMkfnXXASr,ja,[],['https://natalie.mu/owarai/news/431187?fbclid=IwAR2NXauA4F5c83-kRNaYWF3gGrR9SZ_KO9ZJZnRHn0Ear2fIdQxdyZBgszw'],[],0,16,111,[],[],https://twitter.com/lesliekeesuper/status/1402555186950725633,False,,0,,,,,,,,[],,,,
1401896997347463178,1401896997347463178,2021-06-07 13:41:04 UTC,2021-06-07,13:41:04,+0000,149751046,lesliekeesuper,LESLIE KEE,,拡散希望 僕とジョシュアが出演したドキュメンタリーとインタビュー番組がYouTubeで公開！ Tokyo MX 番組「This is ME !!」 30分、6ヵ月密着とインタビュー ↓ ↓ ↓   https://t.co/6UIhOcKhr7  1回目のゲスト: 写真家レスリー・キーとパートナージョシュア・オッグ。 愛に溢れる2人のストーリー!,ja,[],['https://youtu.be/khwfjQH4Kik'],[],0,29,110,[],[],https://twitter.com/lesliekeesuper/status/1401896997347463178,False,,0,,,,,,,,[],,,,
1401895606633648129,1401895606633648129,2021-06-07 13:35:33 UTC,2021-06-07,13:35:33,+0000,149751046,lesliekeesuper,LESLIE KEE,,＜拡散希望＞ 僕が担当する東京スカイツリーの企画。このようなユニークな事を実施します！皆さんの投稿をぜひ、お待ちしています！応援よろしくお願いします。 ＃W1SHRIBBON ＃LESLIEKEE （W1SHは数字の１） をつけて投稿してください、期日は 6月20日までです☆  https://t.co/xrZi2Zq1Ql,ja,[],['http://w1shribbon.com/ja/'],[],0,25,54,"['w1shribbon', 'lesliekee']",[],https://twitter.com/lesliekeesuper/status/1401895606633648129,False,,0,,,,,,,,[],,,,
1396089267760234502,1396089267760234502,2021-05-22 13:03:14 UTC,2021-05-22,13:03:14,+0000,149751046,lesliekeesuper,LESLIE KEE,,拡散希望  NHK Eテレビ 日曜美術館「フランシス・ベーコンの秘密」 5月23日（日）午前9:00〜午前9:45  20世紀で最も重要な画家の一人、フランシス・ベーコン。死の直前に、千点を超える作品群が友人ジュール氏に託された。初来日の作品に、写真家レスリー・キーが迫る。 &gt;   https://t.co/1NTIPqFdzU,ja,[],['https://www.nhk.jp/p/nichibi/ts/3PGYQN55NP/episode/te/1GRMG32718/'],[],2,73,181,[],[],https://twitter.com/lesliekeesuper/status/1396089267760234502,False,,0,,,,,,,,[],,,,
