id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1412812175257735172,1412812175257735172,2021-07-07 16:34:06 UTC,2021-07-07,16:34:06,+0000,155204677,makino_koji,牧野 紘二,,とりあえず！iPhoneからキャス配信中 - / お疲れ様でした。  https://t.co/4Mb0BeRhfW,ja,[],['https://twitcasting.tv/makino_koji/movie/691202714'],[],0,1,13,[],[],https://twitter.com/makino_koji/status/1412812175257735172,False,,0,,,,,,,,[],,,,
1412729692495376386,1412729692495376386,2021-07-07 11:06:20 UTC,2021-07-07,11:06:20,+0000,155204677,makino_koji,牧野 紘二,,【予告】 最後お邪魔します。,ja,[],[],[],1,1,36,[],[],https://twitter.com/makino_koji/status/1412729692495376386,False,,0,,,,,,,,[],,,,
1412724943758913543,1412724943758913543,2021-07-07 10:47:28 UTC,2021-07-07,10:47:28,+0000,155204677,makino_koji,牧野 紘二,,お疲れさまです。,ja,[],[],[],15,7,108,[],[],https://twitter.com/makino_koji/status/1412724943758913543,False,,0,,,,,,,,[],,,,
1412443857606696964,1412443857606696964,2021-07-06 16:10:32 UTC,2021-07-06,16:10:32,+0000,155204677,makino_koji,牧野 紘二,,なるほど🤔  https://t.co/CZWRGkraod,ja,[],[],['https://pbs.twimg.com/media/E5oCM2BVgAUdinI.jpg'],1,45,233,[],[],https://twitter.com/makino_koji/status/1412443857606696964,False,,1,https://pbs.twimg.com/media/E5oCM2BVgAUdinI.jpg,,,,,,,[],,,,
1412076715447259136,1412076715447259136,2021-07-05 15:51:38 UTC,2021-07-05,15:51:38,+0000,155204677,makino_koji,牧野 紘二,,チャーシュー / チャットで話す会  https://t.co/9lFPaYHE9E,ja,[],['https://twitcasting.tv/makino_koji/movie/690904964'],[],0,0,2,[],[],https://twitter.com/makino_koji/status/1412076715447259136,False,,0,,,,,,,,[],,,,
1411229494195593225,1410893279676096512,2021-07-03 07:45:05 UTC,2021-07-03,07:45:05,+0000,155204677,makino_koji,牧野 紘二,,@SMiygi 了解👌,ja,[],[],[],0,0,3,[],[],https://twitter.com/makino_koji/status/1411229494195593225,False,,0,,,,,,,,"[{'screen_name': 'SMiygi', 'name': 'SHUNTA MIYAGI （宮城俊太）', 'id': '1155403427456770049'}]",,,,
1411155858038288387,1410893279676096512,2021-07-03 02:52:29 UTC,2021-07-03,02:52:29,+0000,155204677,makino_koji,牧野 紘二,,@SMiygi いつ？,ja,[],[],[],1,0,1,[],[],https://twitter.com/makino_koji/status/1411155858038288387,False,,0,,,,,,,,"[{'screen_name': 'SMiygi', 'name': 'SHUNTA MIYAGI （宮城俊太）', 'id': '1155403427456770049'}]",,,,
1411152303671812099,1410893279676096512,2021-07-03 02:38:21 UTC,2021-07-03,02:38:21,+0000,155204677,makino_koji,牧野 紘二,,@SMiygi はーい🙋‍♂️,ja,[],[],[],1,0,0,[],[],https://twitter.com/makino_koji/status/1411152303671812099,False,,0,,,,,,,,"[{'screen_name': 'SMiygi', 'name': 'SHUNTA MIYAGI （宮城俊太）', 'id': '1155403427456770049'}]",,,,
1410893279676096512,1410893279676096512,2021-07-02 09:29:05 UTC,2021-07-02,09:29:05,+0000,155204677,makino_koji,牧野 紘二,, https://t.co/G0lRx04yyO このラジオ番組（フルハウス）はヤバい↑,ja,[],['https://shibuyacrossfm.jp/'],[],1,3,21,[],[],https://twitter.com/makino_koji/status/1410893279676096512,False,,0,,,,,,,,[],,,,
1410225221160734722,1410225221160734722,2021-06-30 13:14:28 UTC,2021-06-30,13:14:28,+0000,155204677,makino_koji,牧野 紘二,,とりあえず！iPhoneからキャス配信中 - / 7月7日バンドします  https://t.co/0nuWEai06J,ja,[],['https://twitcasting.tv/makino_koji/movie/690105249'],[],0,1,8,[],[],https://twitter.com/makino_koji/status/1410225221160734722,False,,0,,,,,,,,[],,,,
1410163017736605700,1410163017736605700,2021-06-30 09:07:17 UTC,2021-06-30,09:07:17,+0000,155204677,makino_koji,牧野 紘二,,とりあえず！iPhoneからキャス配信中 - / 月末です。  https://t.co/YNKN2ZYQas,ja,[],['https://twitcasting.tv/makino_koji/movie/690066033'],[],0,1,5,[],[],https://twitter.com/makino_koji/status/1410163017736605700,False,,0,,,,,,,,[],,,,
1409693355622101000,1409693355622101000,2021-06-29 02:01:01 UTC,2021-06-29,02:01:01,+0000,155204677,makino_koji,牧野 紘二,,とりあえず！iPhoneからキャス配信中 - / 朝の作業  https://t.co/55nFNwbbFH,ja,[],['https://twitcasting.tv/makino_koji/movie/689887796'],[],1,0,7,[],[],https://twitter.com/makino_koji/status/1409693355622101000,False,,0,,,,,,,,[],,,,
1409685769422204934,1409685769422204934,2021-06-29 01:30:52 UTC,2021-06-29,01:30:52,+0000,155204677,makino_koji,牧野 紘二,,とりあえず！iPhoneからキャス配信中 - / 7月7日ライブします。  https://t.co/IBp7KWYcO5,ja,[],['https://twitcasting.tv/makino_koji/movie/689886275'],[],0,0,11,[],[],https://twitter.com/makino_koji/status/1409685769422204934,False,,0,,,,,,,,[],,,,
1403709691100758020,1403709691100758020,2021-06-12 13:44:04 UTC,2021-06-12,13:44:04,+0000,155204677,makino_koji,牧野 紘二,,要請に真面目に従うと損をする。 これを当たり前として、真面目に損をしていきます。 嫌な世の中にしてくれましたね。,ja,[],[],[],0,8,118,[],[],https://twitter.com/makino_koji/status/1403709691100758020,False,,0,,,,,,,,[],,,,
1403363231293317120,1403363231293317120,2021-06-11 14:47:22 UTC,2021-06-11,14:47:22,+0000,155204677,makino_koji,牧野 紘二,,ドラムがへなちょこなので当日クリックのみでお届けする可能性があります。,ja,[],[],[],3,0,82,[],[],https://twitter.com/makino_koji/status/1403363231293317120,False,,0,,,,,,,,[],,,,
1403345982369062915,1403345982369062915,2021-06-11 13:38:49 UTC,2021-06-11,13:38:49,+0000,155204677,makino_koji,牧野 紘二,,とりあえず！iPhoneからキャス配信中 - / 7月7日ライブします。  https://t.co/eEVwIt3VeX,ja,[],['https://twitcasting.tv/makino_koji/movie/687146088'],[],0,4,14,[],[],https://twitter.com/makino_koji/status/1403345982369062915,False,,0,,,,,,,,[],,,,
1403315677948125193,1403315677948125193,2021-06-11 11:38:24 UTC,2021-06-11,11:38:24,+0000,155204677,makino_koji,牧野 紘二,,メモ  22時からスタジオ。,ja,[],[],[],0,0,56,[],[],https://twitter.com/makino_koji/status/1403315677948125193,False,,0,,,,,,,,[],,,,
1402992622206001158,1402992622206001158,2021-06-10 14:14:42 UTC,2021-06-10,14:14:42,+0000,155204677,makino_koji,牧野 紘二,,明日ドラム練習しよ。,ja,[],[],[],3,5,176,[],[],https://twitter.com/makino_koji/status/1402992622206001158,False,,0,,,,,,,,[],,,,
1402845130625732608,1402845130625732608,2021-06-10 04:28:37 UTC,2021-06-10,04:28:37,+0000,155204677,makino_koji,牧野 紘二,,なるほど。  https://t.co/d9KHMbjxOD,ja,[],['https://m.youtube.com/watch?v=I-8AuioT8M0'],[],0,1,13,[],[],https://twitter.com/makino_koji/status/1402845130625732608,False,,0,,,,,,,,[],,,,
1400470046250393600,1400470046250393600,2021-06-03 15:10:53 UTC,2021-06-03,15:10:53,+0000,155204677,makino_koji,牧野 紘二,,とりあえず！iPhoneからキャス配信中 - / 7月7日ライブします。  https://t.co/FBlJS0MJct,ja,[],['https://twitcasting.tv/makino_koji/movie/685885265'],[],0,3,25,[],[],https://twitter.com/makino_koji/status/1400470046250393600,False,,0,,,,,,,,[],,,,
