id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413667404937195527,1413483710091960325,2021-07-10 01:12:28 UTC,2021-07-10,01:12:28,+0000,1049957075541876736,mzkymmtofficial,山本美月,,@BOYMEN_kobayuta ありがとうね(T_T)♪,ja,[],[],[],0,2,14,[],[],https://twitter.com/mzkymmtofficial/status/1413667404937195527,False,,0,,,,,,,,"[{'screen_name': 'BOYMEN_kobayuta', 'name': '小林豊(BOYSANDMEN)', 'id': '1122869571369615360'}]",,,,
1413509495427198979,1413509495427198979,2021-07-09 14:45:00 UTC,2021-07-09,14:45:00,+0000,1049957075541876736,mzkymmtofficial,山本美月,,次回も…(＾ν＾),ja,[],[],[],17,300,3639,[],[],https://twitter.com/mzkymmtofficial/status/1413509495427198979,False,https://twitter.com/kazoku_tbs/status/1413502400460050437,0,,,,,,,,[],,,,
1413483710091960325,1413483710091960325,2021-07-09 13:02:32 UTC,2021-07-09,13:02:32,+0000,1049957075541876736,mzkymmtofficial,山本美月,,TBSさんのドラマ『  #家族募集します 』 に、出演しております♪♪  重岡さん演じる赤城俊平の妻、みどりちゃんです(˙꒳​˙  )  あ、はじまった！ はじまってます！ 皆様是非！,ja,[],[],[],17,379,3205,['家族募集します'],[],https://twitter.com/mzkymmtofficial/status/1413483710091960325,False,,0,,,,,,,,[],,,,
1410110236019466241,1410110236019466241,2021-06-30 05:37:33 UTC,2021-06-30,05:37:33,+0000,1049957075541876736,mzkymmtofficial,山本美月,,ODD TAXIも素晴らしく面白かったなぁーーー！ 終わり方、好き…(^q^)♡,ja,[],[],[],9,35,1152,[],[],https://twitter.com/mzkymmtofficial/status/1410110236019466241,False,,0,,,,,,,,[],,,,
1409125727375527936,1409125727375527936,2021-06-27 12:25:28 UTC,2021-06-27,12:25:28,+0000,1049957075541876736,mzkymmtofficial,山本美月,,ゾンビランドサガ、泣いた… でも、ラストどういう事！？,ja,[],[],[],15,102,1541,[],[],https://twitter.com/mzkymmtofficial/status/1409125727375527936,False,,0,,,,,,,,[],,,,
1408421689176645635,1408421689176645635,2021-06-25 13:47:52 UTC,2021-06-25,13:47:52,+0000,1049957075541876736,mzkymmtofficial,山本美月,,全力メイキング、昨日の夜かと思ってたけど、今日の夜だったのかぁ！ 25時50分からですって！  図工大好きだから、とても楽しかったです＼(^^)／,ja,[],[],[],7,55,1536,[],[],https://twitter.com/mzkymmtofficial/status/1408421689176645635,False,,0,,,,,,,,[],,,,
1407293642096594946,1407293642096594946,2021-06-22 11:05:25 UTC,2021-06-22,11:05:25,+0000,1049957075541876736,mzkymmtofficial,山本美月,,Vivy…面白かったーーー(T_T)(T_T)(T_T)(T_T),ja,[],[],[],16,32,1345,[],[],https://twitter.com/mzkymmtofficial/status/1407293642096594946,False,,0,,,,,,,,[],,,,
1406863016486862848,1406863016486862848,2021-06-21 06:34:16 UTC,2021-06-21,06:34:16,+0000,1049957075541876736,mzkymmtofficial,山本美月,,今日はロケに、お家で漬けた梅ジュースを水筒に入れていったら大正解！ クエン酸のおかげで熱中症対策になった＼(^^)／,ja,[],[],[],25,54,2475,[],[],https://twitter.com/mzkymmtofficial/status/1406863016486862848,False,,0,,,,,,,,[],,,,
1405849456293990402,1405849456293990402,2021-06-18 11:26:44 UTC,2021-06-18,11:26:44,+0000,1049957075541876736,mzkymmtofficial,山本美月,,今夜21時から、 金曜ロードショーにて、 前作の『ザ・ファブル』が放送されます！ みんなで盛り上げましょう＼(^^)／♡   #金ローでファブる   #ザ・ファブル,ja,[],[],[],10,114,1255,"['金ローでファブる', 'ザ・ファブル']",[],https://twitter.com/mzkymmtofficial/status/1405849456293990402,False,https://twitter.com/the_fable_movie/status/1405722013533040640,0,,,,,,,,[],,,,
1405832544227004416,1405832544227004416,2021-06-18 10:19:32 UTC,2021-06-18,10:19:32,+0000,1049957075541876736,mzkymmtofficial,山本美月,,本日、映画『ザ・ファブル』公開です！ 延期を乗り越えやっと！ ミサキは今回、楽しく出てます♪  オフショットがなくって、探したら、この1枚だけ。 フェイスシールドの世界になりたての時かも。 劇中で使うためのグラビア撮影の時かな？泡風呂やプールで撮影しました笑   #ザ・ファブル  https://t.co/FUBsnhgnmI,ja,[],[],['https://pbs.twimg.com/media/E4KFPJ5VkAQkG4s.jpg'],23,207,3182,['ザ・ファブル'],[],https://twitter.com/mzkymmtofficial/status/1405832544227004416,False,,1,https://pbs.twimg.com/media/E4KFPJ5VkAQkG4s.jpg,,,,,,,[],,,,
1403633783786532866,1403633783786532866,2021-06-12 08:42:26 UTC,2021-06-12,08:42:26,+0000,1049957075541876736,mzkymmtofficial,山本美月,,すごく素敵な蘭に出会って、お迎えしたけど、蘭って難しそう！,ja,[],[],[],24,52,2131,[],[],https://twitter.com/mzkymmtofficial/status/1403633783786532866,False,,0,,,,,,,,[],,,,
1401375168698601473,1401375168698601473,2021-06-06 03:07:31 UTC,2021-06-06,03:07:31,+0000,1049957075541876736,mzkymmtofficial,山本美月,,やっぱり私には戦いは向いてないのでは……  木を切ったり、積み上げたり、ダイヤモンド探したりする方が性に合っているのでは…,ja,[],[],[],41,90,3121,[],[],https://twitter.com/mzkymmtofficial/status/1401375168698601473,False,,0,,,,,,,,[],,,,
1401183625580666882,1401183625580666882,2021-06-05 14:26:23 UTC,2021-06-05,14:26:23,+0000,1049957075541876736,mzkymmtofficial,山本美月,,お久しぶりのおしゃれイズムさん。 是非観てください(^^),ja,[],[],[],29,126,2251,[],[],https://twitter.com/mzkymmtofficial/status/1401183625580666882,False,https://twitter.com/the_fable_movie/status/1401131693747150861,0,,,,,,,,[],,,,
1397721667489595395,1397721667489595395,2021-05-27 01:09:48 UTC,2021-05-27,01:09:48,+0000,1049957075541876736,mzkymmtofficial,山本美月,,キラキラしててかわい〜 誰推しとかないけど、 次は女の子が良いな〜〜  https://t.co/1f033GdPyr,ja,[],[],['https://pbs.twimg.com/media/E2W0cEAVIAoR3sx.jpg'],30,75,2532,[],[],https://twitter.com/mzkymmtofficial/status/1397721667489595395,False,,1,https://pbs.twimg.com/media/E2W0cEAVIAoR3sx.jpg,,,,,,,[],,,,
1397406111410507778,1397406111410507778,2021-05-26 04:15:54 UTC,2021-05-26,04:15:54,+0000,1049957075541876736,mzkymmtofficial,山本美月,,今夜は皆既月食があるんですね！,ja,[],[],[],68,99,3168,[],[],https://twitter.com/mzkymmtofficial/status/1397406111410507778,False,,0,,,,,,,,[],,,,
1394944154036183043,1394944154036183043,2021-05-19 09:12:57 UTC,2021-05-19,09:12:57,+0000,1049957075541876736,mzkymmtofficial,山本美月,,みんな大好きチオ弁＼(^^)／♡  https://t.co/0cKi0pWyJk,ja,[],[],['https://pbs.twimg.com/media/E1vWTy0UcAUpXlq.jpg'],22,69,2257,[],[],https://twitter.com/mzkymmtofficial/status/1394944154036183043,False,,1,https://pbs.twimg.com/media/E1vWTy0UcAUpXlq.jpg,,,,,,,[],,,,
1392450333230592001,1392445816564981763,2021-05-12 12:03:24 UTC,2021-05-12,12:03:24,+0000,1049957075541876736,mzkymmtofficial,山本美月,,@ayakurumies だよね！！黒崎さんとアニメの話できるなんて笑笑,ja,[],[],[],1,0,5,[],[],https://twitter.com/mzkymmtofficial/status/1392450333230592001,False,,0,,,,,,,,"[{'screen_name': 'ayakurumies', 'name': '黒崎彩', 'id': '1281913390080724993'}]",,,,
1392445816564981763,1392445816564981763,2021-05-12 11:45:27 UTC,2021-05-12,11:45:27,+0000,1049957075541876736,mzkymmtofficial,山本美月,,今期も色々観ているけれど、中でもゾンビランドサガとVivyが毎週楽しみで楽しみで仕方がないのだけど、皆さんおすすめありますか？,ja,[],[],[],56,78,1863,[],[],https://twitter.com/mzkymmtofficial/status/1392445816564981763,False,,0,,,,,,,,[],,,,
1391326091860529155,1391326091860529155,2021-05-09 09:36:04 UTC,2021-05-09,09:36:04,+0000,1049957075541876736,mzkymmtofficial,山本美月,,カモミールを摘み摘み。  https://t.co/MacmE5OSpa,ja,[],[],['https://pbs.twimg.com/media/E077s_KVEAIQ2LZ.jpg'],22,83,2999,[],[],https://twitter.com/mzkymmtofficial/status/1391326091860529155,False,,1,https://pbs.twimg.com/media/E077s_KVEAIQ2LZ.jpg,,,,,,,[],,,,
1390307789155618829,1390307789155618829,2021-05-06 14:09:42 UTC,2021-05-06,14:09:42,+0000,1049957075541876736,mzkymmtofficial,山本美月,,たてなが…？  https://t.co/fUTCRKNnkA,ja,[],[],['https://pbs.twimg.com/media/E0tdkIXVgAktSkA.jpg'],36,262,6413,[],[],https://twitter.com/mzkymmtofficial/status/1390307789155618829,False,,1,https://pbs.twimg.com/media/E0tdkIXVgAktSkA.jpg,,,,,,,[],,,,
