id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413656028931977219,1413656028931977219,2021-07-10 00:27:16 UTC,2021-07-10,00:27:16,+0000,730754632062898176,nagatsumajuri,長妻樹里,,那岐咲！ハッピーバースデー😆💓#リステ #リステDD #緋村那岐咲生誕祭2021,ja,[],[],[],4,64,243,"['リステ', 'リステdd', '緋村那岐咲生誕祭2021']",[],https://twitter.com/nagatsumajuri/status/1413656028931977219,False,https://twitter.com/rst_project/status/1413513285345988609,0,,,,,,,,[],,,,
1412011733586116610,1412011733586116610,2021-07-05 11:33:25 UTC,2021-07-05,11:33:25,+0000,730754632062898176,nagatsumajuri,長妻樹里,,プレゼントキャンペーンやってますよ〜👺✨動画の中で私の演じる射命丸文の声も聴くことができますのでそちらもよろしくです😄#ダンカグ,ja,[],[],[],0,20,67,['ダンカグ'],[],https://twitter.com/nagatsumajuri/status/1412011733586116610,False,https://twitter.com/danmakuJP/status/1411974572811841536,0,,,,,,,,[],,,,
1411685748688883713,1411685748688883713,2021-07-04 13:58:04 UTC,2021-07-04,13:58:04,+0000,730754632062898176,nagatsumajuri,長妻樹里,,＼ハッピーサンデー！／  本日、ブログを更新しました。  (੭•̀ᴗ•̀)੭『ダンベル…』   https://t.co/bZTHhdg8IL,ja,[],['https://ameblo.jp/wife812-juri/entry-12684546527.html'],[],4,37,184,[],[],https://twitter.com/nagatsumajuri/status/1411685748688883713,False,,0,,,,,,,,[],,,,
1411533701230387201,1411533701230387201,2021-07-04 03:53:54 UTC,2021-07-04,03:53:54,+0000,730754632062898176,nagatsumajuri,長妻樹里,,TVアニメ「ぼくたちのリメイク」第1話に出演させて頂きました。2006年18歳だった身としてはそのあたりの時代を思い出し懐かしい気持ちになりました。2話以降続きも楽しみな作品です☺️,ja,[],[],[],1,43,223,[],[],https://twitter.com/nagatsumajuri/status/1411533701230387201,False,https://twitter.com/bokurema_anime/status/1411346495333306369,0,,,,,,,,[],,,,
1410924968783745029,1410924968783745029,2021-07-02 11:35:00 UTC,2021-07-02,11:35:00,+0000,730754632062898176,nagatsumajuri,長妻樹里,,可変式ダンベル色々レビュー見てるんだけどやっぱフレックスベルが欲しくなる🙁まだ3〜15㌔くらいしか使わないんだけど可変式ダンベル使ってる人の意見を聴きたい…。,ja,[],[],[],3,12,67,[],[],https://twitter.com/nagatsumajuri/status/1410924968783745029,False,,0,,,,,,,,[],,,,
1410577444860424193,1410577444860424193,2021-07-01 12:34:04 UTC,2021-07-01,12:34:04,+0000,730754632062898176,nagatsumajuri,長妻樹里,,今日から7月ですね。なんだかパワー漲る夏になる予感がする🌞夏らしい予定考えよう！！夏を感じたいよ🌞🌞🌞🌞🌞,ja,[],[],[],3,17,161,[],[],https://twitter.com/nagatsumajuri/status/1410577444860424193,False,,0,,,,,,,,[],,,,
1410006770248949762,1410006770248949762,2021-06-29 22:46:25 UTC,2021-06-29,22:46:25,+0000,730754632062898176,nagatsumajuri,長妻樹里,,「東方LostWord」に新しく参加させて頂いております😊🙌どうぞよろしくお願いします〜！！！#東方LW #東ロワ,ja,[],[],[],0,17,92,"['東方lw', '東ロワ']",[],https://twitter.com/nagatsumajuri/status/1410006770248949762,False,https://twitter.com/Touhou_LW/status/1409850385355968519,0,,,,,,,,[],,,,
1409368487705792516,1409368487705792516,2021-06-28 04:30:06 UTC,2021-06-28,04:30:06,+0000,730754632062898176,nagatsumajuri,長妻樹里,,#美少年探偵団 最終回✨大紬麦役で出演させて頂きました！美麗な世界観が素晴らしかったです。続き期待しております☺️,ja,[],[],[],0,14,58,['美少年探偵団'],[],https://twitter.com/nagatsumajuri/status/1409368487705792516,False,https://twitter.com/nisioisin_anime/status/1408839097917997063,0,,,,,,,,[],,,,
1409124407696510981,1409124407696510981,2021-06-27 12:20:13 UTC,2021-06-27,12:20:13,+0000,730754632062898176,nagatsumajuri,長妻樹里,,＼ハッピーサンデー！／  本日、ブログを更新しました。  (੭•̀ᴗ•̀)੭『やぁ。』   https://t.co/taEtlnMqUp,ja,[],['https://ameblo.jp/wife812-juri/entry-12683158528.html'],[],4,33,131,[],[],https://twitter.com/nagatsumajuri/status/1409124407696510981,False,,0,,,,,,,,[],,,,
1407584141072224256,1407584141072224256,2021-06-23 06:19:45 UTC,2021-06-23,06:19:45,+0000,730754632062898176,nagatsumajuri,長妻樹里,,靴下作りの参考になるかなとZOZOマット試したんだけど足の大きさ左右結構違う…。ジャストサイズに靴に出会うのって難しいよね。ヒール履くとパカパカしちゃうの歩き方もあるけど、足甲の低さ足幅の狭さもあるのかもしれない🥲👠  https://t.co/wASCR9xBgH,ja,[],[],['https://pbs.twimg.com/media/E4i-UHAUcAA1hWu.jpg'],3,19,111,[],[],https://twitter.com/nagatsumajuri/status/1407584141072224256,False,,1,https://pbs.twimg.com/media/E4i-UHAUcAA1hWu.jpg,,,,,,,[],,,,
1406820822874877954,1406820822874877954,2021-06-21 03:46:36 UTC,2021-06-21,03:46:36,+0000,730754632062898176,nagatsumajuri,長妻樹里,,月曜日ですね。新作ここまで進んだよ🧶今回は3玉使う予定！可愛くできますように〜🙏🏻✨  https://t.co/TgJnB7HGJX,ja,[],[],['https://pbs.twimg.com/media/E4YIE__UUAQux_X.jpg'],1,14,135,[],[],https://twitter.com/nagatsumajuri/status/1406820822874877954,False,,1,https://pbs.twimg.com/media/E4YIE__UUAQux_X.jpg,,,,,,,[],,,,
1406600506781298688,1406600506781298688,2021-06-20 13:11:08 UTC,2021-06-20,13:11:08,+0000,730754632062898176,nagatsumajuri,長妻樹里,,＼ハッピーサンデー！／  本日、ブログを更新しました。  (੭•̀ᴗ•̀)੭『Re:ステージ！Chain of TV』   https://t.co/5rlMgn0Pgj,ja,[],['https://ameblo.jp/wife812-juri/entry-12681807639.html'],[],3,47,173,[],[],https://twitter.com/nagatsumajuri/status/1406600506781298688,False,,0,,,,,,,,[],,,,
1405521456746819585,1405521456746819585,2021-06-17 13:43:23 UTC,2021-06-17,13:43:23,+0000,730754632062898176,nagatsumajuri,長妻樹里,,ご視聴ありがとうございました〜☺️✨最後に私たちの絆！爆発して！ま！し！た！！！！来月の生特番もお楽しみに〜！,ja,[],[],[],8,34,225,[],[],https://twitter.com/nagatsumajuri/status/1405521456746819585,False,https://twitter.com/rst_project/status/1405518243226210308,0,,,,,,,,[],,,,
1405490678386151424,1405490678386151424,2021-06-17 11:41:05 UTC,2021-06-17,11:41:05,+0000,730754632062898176,nagatsumajuri,長妻樹里,,まもなくでーす😁💓よろしくお願いします！！#リステ #リステDD #リステップ,ja,[],[],[],6,39,141,"['リステ', 'リステdd', 'リステップ']",[],https://twitter.com/nagatsumajuri/status/1405490678386151424,False,https://twitter.com/rst_project/status/1405465489489502213,0,,,,,,,,[],,,,
1405165446882467847,1405165446882467847,2021-06-16 14:08:43 UTC,2021-06-16,14:08:43,+0000,730754632062898176,nagatsumajuri,長妻樹里,,#アズナビ にゲスト出演させて頂きます😄✨龍鳳やアバークロンビーについてお話するのは初めて…かもしれないです。メッセージお待ちしております💌🙌✨#アズールレーン,ja,[],[],[],0,83,254,"['アズナビ', 'アズールレーン']",[],https://twitter.com/nagatsumajuri/status/1405165446882467847,False,https://twitter.com/azu_navi/status/1405076951887319042,0,,,,,,,,[],,,,
1404768933479993356,1404768933479993356,2021-06-15 11:53:07 UTC,2021-06-15,11:53:07,+0000,730754632062898176,nagatsumajuri,長妻樹里,,作品との出会い、キャラクターとの出会いは本当にかけがえないものです。作品が、キャラクターが愛されていることを噛み締めております。沢山の方々に愛を込めて…！！！楽しい時間をありがとうございました！！！,ja,[],[],[],2,35,271,[],[],https://twitter.com/nagatsumajuri/status/1404768933479993356,False,,0,,,,,,,,[],,,,
1404601017518366722,1404090017618616326,2021-06-15 00:45:53 UTC,2021-06-15,00:45:53,+0000,730754632062898176,nagatsumajuri,長妻樹里,,@torippy_takumi 食パンイメージが伝わって嬉しいです🍞✨,ja,[],[],[],0,0,2,[],[],https://twitter.com/nagatsumajuri/status/1404601017518366722,False,,0,,,,,,,,"[{'screen_name': 'torippy_takumi', 'name': '山崎たくみ', 'id': '2212827271'}]",,,,
1404382175391227913,1404382175391227913,2021-06-14 10:16:17 UTC,2021-06-14,10:16:17,+0000,730754632062898176,nagatsumajuri,長妻樹里,,出演させて頂きますっ😁🙌✨リアルタイムで是非ご覧下さいな〜！！！#リステ #リステDD #リステップ,ja,[],[],[],5,59,208,"['リステ', 'リステdd', 'リステップ']",[],https://twitter.com/nagatsumajuri/status/1404382175391227913,False,https://twitter.com/rst_project/status/1404379361210417160,0,,,,,,,,[],,,,
1404090017618616326,1404090017618616326,2021-06-13 14:55:21 UTC,2021-06-13,14:55:21,+0000,730754632062898176,nagatsumajuri,長妻樹里,,＼ハッピーサンデー！／  本日、ブログを更新しました。  (੭•̀ᴗ•̀)੭『上達…してるだと…！？』   https://t.co/zv8iokQzg8,ja,[],['https://ameblo.jp/wife812-juri/entry-12680456982.html'],[],5,33,127,[],[],https://twitter.com/nagatsumajuri/status/1404090017618616326,False,,0,,,,,,,,[],,,,
