id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1196965994498936832,1196965994498936832,2019-11-20 01:38:26 UTC,2019-11-20,01:38:26,+0000,2590575655,nipponkokoro,ここりん（公式）,,ぼそっ（これって、消費税マイレージ制度の効果（消費喚起）を政府が認めて一部形を変えて実現したって誇っていいよね？いいよね？） --- マイナンバーカードを持っている人に買い物で使えるポイントを付与する新しい制度　 https://t.co/aMkLQHs0iF,ja,[],['https://www3.nhk.or.jp/news/html/20191120/k10012183521000.html'],[],22,71,246,[],[],https://twitter.com/nipponkokoro/status/1196965994498936832,False,,0,,,,,,,,[],,,,
1151882101232263168,1151882101232263168,2019-07-18 15:51:08 UTC,2019-07-18,15:51:08,+0000,2590575655,nipponkokoro,ここりん（公式）,,今回の選挙から定数が3→4に増えた埼玉選挙区。1〜3位は無風だけど、最後の4議席目をめぐり熾烈な争いとなっています！！ 共産党に議席を与えないために、そして憲法改正を進めるために、維新の #沢田良 をお願いします！！#参院選,ja,[],[],[],5,47,174,"['沢田良', '参院選']",[],https://twitter.com/nipponkokoro/status/1151882101232263168,False,https://twitter.com/HND555air/status/1151753105228177408,0,,,,,,,,[],,,,
1151878507166748674,1151878507166748674,2019-07-18 15:36:51 UTC,2019-07-18,15:36:51,+0000,2590575655,nipponkokoro,ここりん（公式）,,秋田のみんなー！ 自民党、中泉松司候補をよろしくお願いします！ 野党統一の寺田家には負けてなんていられないっ。 #参院選,ja,[],[],[],1,41,150,['参院選'],[],https://twitter.com/nipponkokoro/status/1151878507166748674,False,https://twitter.com/ushizima57/status/1151615920898314240,0,,,,,,,,[],,,,
1151500182443323394,1151486145122799616,2019-07-17 14:33:31 UTC,2019-07-17,14:33:31,+0000,2590575655,nipponkokoro,ここりん（公式）,,@Gai045 そう、良いところに気が付きましたね、合併の条件にここりんまでは入ってなかったの！！ なので、党派を超えて保守系の政治家を応援してます。,ja,[],[],[],0,0,8,[],[],https://twitter.com/nipponkokoro/status/1151500182443323394,False,,0,,,,,,,,"[{'screen_name': 'Gai045', 'name': 'ガイ045', 'id': '2278227229'}]",,,,
1151498223309115393,1151486145122799616,2019-07-17 14:25:44 UTC,2019-07-17,14:25:44,+0000,2590575655,nipponkokoro,ここりん（公式）,,@kako0403 後で見なきゃ...ψ(。。)ﾒﾓﾒﾓ...,ja,[],[],[],0,0,4,[],[],https://twitter.com/nipponkokoro/status/1151498223309115393,False,,0,,,,,,,,"[{'screen_name': 'kako0403', 'name': 'カーミラ@やっぱり吸血鬼', 'id': '111053114'}]",,,,
1151496208503865344,1151472224483733504,2019-07-17 14:17:44 UTC,2019-07-17,14:17:44,+0000,2590575655,nipponkokoro,ここりん（公式）,,@mutukichan0131 ｡ﾟ･（&gt;A&lt;）･ﾟ｡,ja,[],[],[],0,0,3,[],[],https://twitter.com/nipponkokoro/status/1151496208503865344,False,,0,,,,,,,,"[{'screen_name': 'mutukichan0131', 'name': 'むっちゃん', 'id': '3313490028'}]",,,,
1151495755657441282,1151486145122799616,2019-07-17 14:15:56 UTC,2019-07-17,14:15:56,+0000,2590575655,nipponkokoro,ここりん（公式）,,@yakoni753 知事時代のことは知らないからコメントできないけど、最後の議席を共産党には渡せないので、ここは一つ大局的に判断して頂きたいですっ！！,ja,[],[],[],2,4,8,[],[],https://twitter.com/nipponkokoro/status/1151495755657441282,False,,0,,,,,,,,"[{'screen_name': 'yakoni753', 'name': '八汰烏🇯🇵ストロングじゃぱん！', 'id': '2376797292'}]",,,,
1151495249232928774,1151472224483733504,2019-07-17 14:13:55 UTC,2019-07-17,14:13:55,+0000,2590575655,nipponkokoro,ここりん（公式）,,@6Rossa 嬉しい( ´∀｀)！！使ってくれてありがと〜！！,ja,[],[],[],0,0,4,[],[],https://twitter.com/nipponkokoro/status/1151495249232928774,False,,0,,,,,,,,"[{'screen_name': '6Rossa', 'name': '菜の花', 'id': '2565892844'}]",,,,
1151494723246252032,1151472224483733504,2019-07-17 14:11:50 UTC,2019-07-17,14:11:50,+0000,2590575655,nipponkokoro,ここりん（公式）,,@Sinden21 そうなんですよ、滋賀選挙区も横一線の激戦区となっておりますよー！！ #二之湯たけし 候補をなんとしても再び国会に送ってください！！ #参院選,ja,[],[],[],0,18,26,"['二之湯たけし', '参院選']",[],https://twitter.com/nipponkokoro/status/1151494723246252032,False,,0,,,,,,,,"[{'screen_name': 'Sinden21', 'name': '疾風', 'id': '3245770908'}]",,,,
1151492891799220224,1151472224483733504,2019-07-17 14:04:33 UTC,2019-07-17,14:04:33,+0000,2590575655,nipponkokoro,ここりん（公式）,,@Wx9QZdgYRSANebE 頑張ります、ありがと〜( ´ ▽ ` ),ja,[],[],[],1,2,5,[],[],https://twitter.com/nipponkokoro/status/1151492891799220224,False,,0,,,,,,,,"[{'screen_name': 'Wx9QZdgYRSANebE', 'name': '鯵のたたき🇯🇵🎌🎌', 'id': '863604725576458240'}]",,,,
1151492452169076741,1151469432532635652,2019-07-17 14:02:48 UTC,2019-07-17,14:02:48,+0000,2590575655,nipponkokoro,ここりん（公式）,,@NakanoYutaka @fm21wannuumui 和田政宗候補は、自民党公認候補です。全国どこからでも2枚目の投票用紙は #和田まさむね とお願い致します！！ #参院選,ja,[],[],[],0,0,4,"['和田まさむね', '参院選']",[],https://twitter.com/nipponkokoro/status/1151492452169076741,False,,0,,,,,,,,"[{'screen_name': 'NakanoYutaka', 'name': 'シルバー仮面（ギアマスター修行中）', 'id': '487476155'}, {'screen_name': 'fm21wannuumui', 'name': 'ボギーてどこん（浦添新基地建設見直し協議会）', 'id': '146325275'}]",,,,
1151487753495834627,1151472224483733504,2019-07-17 13:44:08 UTC,2019-07-17,13:44:08,+0000,2590575655,nipponkokoro,ここりん（公式）,,@dtukai1710 ほんとそれ！同じ気持ち(T . T),ja,[],[],[],0,1,6,[],[],https://twitter.com/nipponkokoro/status/1151487753495834627,False,,0,,,,,,,,"[{'screen_name': 'dtukai1710', 'name': '人形つかい', 'id': '916857769570926592'}]",,,,
1151487321264418817,1151487321264418817,2019-07-17 13:42:25 UTC,2019-07-17,13:42:25,+0000,2590575655,nipponkokoro,ここりん（公式）,,そうだっ、新潟も接戦だー！！ 負けるわけにはいきません。 新潟選挙区は #塚田一郎 を国会へ！！ #参院選2019,ja,[],[],[],3,88,167,"['塚田一郎', '参院選2019']",[],https://twitter.com/nipponkokoro/status/1151487321264418817,False,https://twitter.com/1059chaccha/status/1151486527240671235,0,,,,,,,,[],,,,
1151486418536955905,1151480169615376384,2019-07-17 13:38:50 UTC,2019-07-17,13:38:50,+0000,2590575655,nipponkokoro,ここりん（公式）,,@yoshiki_aizawa 伊藤さん、ありがとうございますっ！！ 厳しい選挙戦ですが、最後まで共に頑張りましょう！！,ja,[],[],[],1,0,1,[],[],https://twitter.com/nipponkokoro/status/1151486418536955905,False,,0,,,,,,,,"[{'screen_name': 'yoshiki_aizawa', 'name': '伊藤よしき🍖【宮城県富谷市】', 'id': '3231085560'}]",,,,
1151486145122799616,1151486145122799616,2019-07-17 13:37:45 UTC,2019-07-17,13:37:45,+0000,2590575655,nipponkokoro,ここりん（公式）,,定数4の神奈川選挙区は、最後の1議席を維新の #松沢しげふみ 候補と共産党の候補が争っていると聞いて、ここりん居ても立っても居られない気持ちです！ 神奈川選挙区は松沢しげふみ候補に！！ #参院選2019,ja,[],[],[],5,48,134,"['松沢しげふみ', '参院選2019']",[],https://twitter.com/nipponkokoro/status/1151486145122799616,False,https://twitter.com/matsuzawaoffice/status/1151400938286047232,0,,,,,,,,[],,,,
1151478721884221440,1151477548292825089,2019-07-17 13:08:15 UTC,2019-07-17,13:08:15,+0000,2590575655,nipponkokoro,ここりん（公式）,,@minamotofarm おお、カッコいいジャケット！！ ありがと〜ございますっ！！,ja,[],[],[],1,0,1,[],[],https://twitter.com/nipponkokoro/status/1151478721884221440,False,,0,,,,,,,,"[{'screen_name': 'minamotofarm', 'name': '🌻Ryo（洗脳されてる顕正会員を救う', 'id': '136930501'}]",,,,
1151478511388860418,1151472224483733504,2019-07-17 13:07:25 UTC,2019-07-17,13:07:25,+0000,2590575655,nipponkokoro,ここりん（公式）,,@730tsubume そうなのです。手強い相手陣営。負けられない闘いです！ #大沼みずほ #参院選2019,ja,[],[],[],0,1,2,"['大沼みずほ', '参院選2019']",[],https://twitter.com/nipponkokoro/status/1151478511388860418,False,,0,,,,,,,,"[{'screen_name': '730tsubume', 'name': 'つぶめ', 'id': '1484486934'}]",,,,
1151477807223988225,1151477548292825089,2019-07-17 13:04:37 UTC,2019-07-17,13:04:37,+0000,2590575655,nipponkokoro,ここりん（公式）,,@minamotofarm 今もバッジつけてくれてるの？！嬉しい( ; _ ; )/~~~,ja,[],[],[],1,0,1,[],[],https://twitter.com/nipponkokoro/status/1151477807223988225,False,,0,,,,,,,,"[{'screen_name': 'minamotofarm', 'name': '🌻Ryo（洗脳されてる顕正会員を救う', 'id': '136930501'}]",,,,
1151475893627260929,1151475811628699648,2019-07-17 12:57:01 UTC,2019-07-17,12:57:01,+0000,2590575655,nipponkokoro,ここりん（公式）,,@penginjiro2 待たせてごめん！ありがと〜！,ja,[],[],[],0,0,0,[],[],https://twitter.com/nipponkokoro/status/1151475893627260929,False,,0,,,,,,,,"[{'screen_name': 'penginjiro2', 'name': 'penginjiro', 'id': '2521948213'}]",,,,
1151475610222358528,1151472224483733504,2019-07-17 12:55:53 UTC,2019-07-17,12:55:53,+0000,2590575655,nipponkokoro,ここりん（公式）,,@eric_ozaki_jp そうそう、間違えやすいの！,ja,[],[],[],0,0,4,[],[],https://twitter.com/nipponkokoro/status/1151475610222358528,False,,0,,,,,,,,"[{'screen_name': 'eric_ozaki_jp', 'name': 'エリック・尾崎', 'id': '1060081800'}]",,,,
