id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413457366285131778,1413457366285131778,2021-07-09 11:17:51 UTC,2021-07-09,11:17:51,+0000,1674855810,nonstop_fujitv,【公式】『ノンストップ！』,,ぜひご覧ください！,ja,[],[],[],0,3,31,[],[],https://twitter.com/nonstop_fujitv/status/1413457366285131778,False,https://twitter.com/fujitvview/status/1413444112087281680,0,,,,,,,,[],,,,
1413330567643287552,1413330567643287552,2021-07-09 02:54:00 UTC,2021-07-09,02:54:00,+0000,1674855810,nonstop_fujitv,【公式】『ノンストップ！』,,今朝のESSE🍳 OneDishは、「鶏肉の和風ピカタ」✨  ポイントは 🍽味噌ヨーグルトの下味で 　　ジューシーな鶏胸肉に 🍽すりごまで香ばしさUP 🍽青じそバターをアクセントに  クイズの答えは青じそでした✨💫 簡単でオシャレな一品になるので 是非お試しください😊  https://t.co/e37LgXB9p4,ja,[],[],['https://pbs.twimg.com/media/E50opHcVcAA1IhE.jpg'],5,123,339,[],[],https://twitter.com/nonstop_fujitv/status/1413330567643287552,False,,1,https://pbs.twimg.com/media/E50opHcVcAA1IhE.jpg,,,,,,,[],,,,
1413021975006507013,1413021975006507013,2021-07-08 06:27:46 UTC,2021-07-08,06:27:46,+0000,1674855810,nonstop_fujitv,【公式】『ノンストップ！』,,明日のESSEコーナー🍳 OneDishは、 坂本昌行さんの、 鶏肉で作る✨ 和風ピカタ🍴をご紹介します。  クオカードが当たる、 クイズも是非ご参加ください🙏💫  #坂本昌行 #onedish #簡単レシピ,ja,[],[],[],7,248,679,"['坂本昌行', 'onedish', '簡単レシピ']",[],https://twitter.com/nonstop_fujitv/status/1413021975006507013,False,,0,,,,,,,,[],,,,
1412982494471745537,1412982494471745537,2021-07-08 03:50:53 UTC,2021-07-08,03:50:53,+0000,1674855810,nonstop_fujitv,【公式】『ノンストップ！』,,ノンストップ！👆飯尾和樹のワリカツ  今回は自治体サイコロで熊本県の①クルマエビでした！ 食材サイコロ2回で②レモン③レモンという結果に！  どんな料理が生まれるのか？！ 続きはインスタで...🖐  #ノンストップ #ワリカツ #飯尾和樹 #アレンジレシピ #真似してね   https://t.co/tgTfZQdYxX  https://t.co/m4p4zHfszi,ja,[],['https://www.instagram.com/p/CRDSGW0HO1C/?utm_medium=copy_link'],"['https://pbs.twimg.com/media/E5vsFZNVcAcs-bY.jpg', 'https://pbs.twimg.com/media/E5vsFl9UUAM8svL.jpg', 'https://pbs.twimg.com/media/E5vsFyoVcAEbRNX.jpg']",2,14,216,"['ノンストップ', 'ワリカツ', '飯尾和樹', 'アレンジレシピ', '真似してね']",[],https://twitter.com/nonstop_fujitv/status/1412982494471745537,False,,1,https://pbs.twimg.com/media/E5vsFZNVcAcs-bY.jpg,,,,,,,[],,,,
1412703380447719426,1412703380447719426,2021-07-07 09:21:47 UTC,2021-07-07,09:21:47,+0000,1674855810,nonstop_fujitv,【公式】『ノンストップ！』,,2分でホオばる！コレきたミート🍖 今日のお肉は「焼肉ジャンボ白金」の「おうちで焼肉ジャンボ白金カルロスセット」です❣️ 最高品質の黒毛和牛🐮がおうちで楽しめます😋  ＃焼肉ジャンボ白金 ＃ノンストップ ＃コレきたミート  https://t.co/L8B63Wi1ls,ja,[],[],"['https://pbs.twimg.com/media/E5ruN9JUYAMp4q_.jpg', 'https://pbs.twimg.com/media/E5ruN9YVUAMXn06.jpg']",14,6,59,"['焼肉ジャンボ白金', 'ノンストップ', 'コレきたミート']",[],https://twitter.com/nonstop_fujitv/status/1412703380447719426,False,,1,https://pbs.twimg.com/media/E5ruN9JUYAMp4q_.jpg,,,,,,,[],,,,
1412689887132749827,1412689887132749827,2021-07-07 08:28:10 UTC,2021-07-07,08:28:10,+0000,1674855810,nonstop_fujitv,【公式】『ノンストップ！』,,青赤オシまSHOW！🟦🟥  遠距離恋愛をしたことは？  ある？🚆ない？✈️ 結果は…ある49%  ない51%❗️📱☺️  意外にも半々に近い結果になった今回❗️👀 色々なドラマがありますね…💦😊  #ノンストップ #ハリー杉山@harrysugiyama #杉原千尋@chihiro.sugihara #青赤オシまSHOW  https://t.co/5xDyvRcH0b,ja,"[{'screen_name': 'harrysugiyama', 'name': 'ハリー杉山', 'id': '118766345'}, {'screen_name': 'chihiro', 'name': 'rajah brooke ∞', 'id': '1486371'}]",[],['https://pbs.twimg.com/media/E5rh2vmUUAMJAgx.jpg'],3,4,42,"['ノンストップ', 'ハリー杉山', '杉原千尋', '青赤オシまshow']",[],https://twitter.com/nonstop_fujitv/status/1412689887132749827,False,,1,https://pbs.twimg.com/media/E5rh2vmUUAMJAgx.jpg,,,,,,,[],,,,
1412680294155440128,1412680294155440128,2021-07-07 07:50:03 UTC,2021-07-07,07:50:03,+0000,1674855810,nonstop_fujitv,【公式】『ノンストップ！』,,今朝のノンストップ！ESSE おしゃレシピのコーナーでは 七夕レシピをご紹介しました！  ✨お星様のジュレそうめん✨ キラキラのめんつゆジュレでいただく かわいいそうめんです  💫お星さまがかわいい❤️レアチーズケーキも！ 見た目より簡単なので 是非お試しください😊✨  #七夕レシピ #ノンストップ  https://t.co/BLolRGjfaL,ja,[],[],"['https://pbs.twimg.com/media/E5rZPMrVEAEZHuq.jpg', 'https://pbs.twimg.com/media/E5rZPMrUYAET-rH.jpg', 'https://pbs.twimg.com/media/E5rZPMzVcAYiavM.jpg']",4,8,94,"['七夕レシピ', 'ノンストップ']",[],https://twitter.com/nonstop_fujitv/status/1412680294155440128,False,,1,https://pbs.twimg.com/media/E5rZPMrVEAEZHuq.jpg,,,,,,,[],,,,
1412287652284432385,1412287652284432385,2021-07-06 05:49:49 UTC,2021-07-06,05:49:49,+0000,1674855810,nonstop_fujitv,【公式】『ノンストップ！』,,青赤オシまSHOW！🟦🟥  冷やし中華のたれで好きなのは？  結果は…しょうゆだれ 69%　ごまだれ31%　でした😲  夏の定番にちょい足しアレンジで、さらに食が進みますね🤤  #ノンストップ #ハリー杉山 @harrysugiyama #杉原千尋 @chihiro.sugihara #青赤オシまSHOW  https://t.co/MTwknIBSAc,ja,"[{'screen_name': 'harrysugiyama', 'name': 'ハリー杉山', 'id': '118766345'}, {'screen_name': 'chihiro', 'name': 'rajah brooke ∞', 'id': '1486371'}]",[],"['https://pbs.twimg.com/media/E5l0HITVgAEY3gf.jpg', 'https://pbs.twimg.com/media/E5l0HITVEAAhWJh.jpg']",11,4,61,"['ノンストップ', 'ハリー杉山', '杉原千尋', '青赤オシまshow']",[],https://twitter.com/nonstop_fujitv/status/1412287652284432385,False,,1,https://pbs.twimg.com/media/E5l0HITVgAEY3gf.jpg,,,,,,,[],,,,
1412198016593784832,1412198016593784832,2021-07-05 23:53:39 UTC,2021-07-05,23:53:39,+0000,1674855810,nonstop_fujitv,【公式】『ノンストップ！』,,この後のノンストップ！に中島健人さん＆小芝風花さんが登場✨ どんな話をしてくれるかな😊⁉️  #ノンストップ #彼女はキレイだった  #中島健人  #小芝風花,ja,[],[],[],16,478,1142,"['ノンストップ', '彼女はキレイだった', '中島健人', '小芝風花']",[],https://twitter.com/nonstop_fujitv/status/1412198016593784832,False,https://twitter.com/kanokire/status/1412195490045652992,0,,,,,,,,[],,,,
1412194348704272396,1412194348704272396,2021-07-05 23:39:04 UTC,2021-07-05,23:39:04,+0000,1674855810,nonstop_fujitv,【公式】『ノンストップ！』,,月ため英会話  食べ物De英会話🌈  生活の糧　は、  bread and butter  I'm in a pickle! は、  困ったなぁ！  慎重に振る舞う　は、  I have to walk on eggshellls.  いろいろ面白いですね🤣  #ハリー杉山　@harrysugiyama ＃杉原千尋　 #ノンストップ  https://t.co/90u9rRVtzq,ja,"[{'screen_name': 'harrysugiyama', 'name': 'ハリー杉山', 'id': '118766345'}]",[],"['https://pbs.twimg.com/media/E5kfRWQUcAMH3bz.jpg', 'https://pbs.twimg.com/media/E5kfRWQVgAA-dJd.jpg', 'https://pbs.twimg.com/media/E5kfRWOVUAYh5UU.jpg']",1,6,64,"['ハリー杉山', '杉原千尋', 'ノンストップ']",[],https://twitter.com/nonstop_fujitv/status/1412194348704272396,False,,1,https://pbs.twimg.com/media/E5kfRWQUcAMH3bz.jpg,,,,,,,[],,,,
