id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1412792900128104452,1412792900128104452,2021-07-07 15:17:30 UTC,2021-07-07,15:17:30,+0000,942823662,osakatransport,Osaka Metro　運行情報,,2021年7月8日0時16分現在の運行状況です。谷町線において、現在ダイヤが乱れております。,ja,[],[],[],0,47,123,[],[],https://twitter.com/osakatransport/status/1412792900128104452,False,,0,,,,,,,,[],,,,
1411565683968598023,1411565683968598023,2021-07-04 06:00:59 UTC,2021-07-04,06:00:59,+0000,942823662,osakatransport,Osaka Metro　運行情報,,2021年7月4日14時55分現在の運行情報です。堺筋線において、現在ダイヤが乱れております。,ja,[],[],[],0,36,96,[],[],https://twitter.com/osakatransport/status/1411565683968598023,False,,0,,,,,,,,[],,,,
1411262638370091009,1411262638370091009,2021-07-03 09:56:47 UTC,2021-07-03,09:56:47,+0000,942823662,osakatransport,Osaka Metro　運行情報,,2021年7月3日18時55分現在の運行情報です。四つ橋線において、現在ダイヤが乱れております。,ja,[],[],[],0,39,89,[],[],https://twitter.com/osakatransport/status/1411262638370091009,False,,0,,,,,,,,[],,,,
1407912836488073221,1407912836488073221,2021-06-24 04:05:52 UTC,2021-06-24,04:05:52,+0000,942823662,osakatransport,Osaka Metro　運行情報,,2021年6月24日13時03分現在の運行情報です。堺筋線において、現在ダイヤが乱れております。,ja,[],[],[],0,28,86,[],[],https://twitter.com/osakatransport/status/1407912836488073221,False,,0,,,,,,,,[],,,,
1407853516496900098,1407853516496900098,2021-06-24 00:10:09 UTC,2021-06-24,00:10:09,+0000,942823662,osakatransport,Osaka Metro　運行情報,,2021年6月24日9時9分現在の運行情報です。ニュートラムにおいて、現在ダイヤが乱れております。,ja,[],[],[],0,30,91,[],[],https://twitter.com/osakatransport/status/1407853516496900098,False,,0,,,,,,,,[],,,,
1406748094876749825,1406748094876749825,2021-06-20 22:57:36 UTC,2021-06-20,22:57:36,+0000,942823662,osakatransport,Osaka Metro　運行情報,,2021年6月21日7時56分現在の運行情報です。中央線において、現在ダイヤが乱れております。,ja,[],[],[],0,73,143,[],[],https://twitter.com/osakatransport/status/1406748094876749825,False,,0,,,,,,,,[],,,,
1405983749792145412,1405983749792145412,2021-06-18 20:20:22 UTC,2021-06-18,20:20:22,+0000,942823662,osakatransport,Osaka Metro　運行情報,,2021年6月19日5時18分現在の運行状況です。今里筋線において、現在ダイヤが乱れております。,ja,[],[],[],3,53,125,[],[],https://twitter.com/osakatransport/status/1405983749792145412,False,,0,,,,,,,,[],,,,
1404324490838900738,1404324490838900738,2021-06-14 06:27:04 UTC,2021-06-14,06:27:04,+0000,942823662,osakatransport,Osaka Metro　運行情報,,6月10日（木）に発生しました御堂筋線梅田駅での運行支障で、お客さまにご迷惑をおかけしましたことをお詫び申し上げます。 今後、このようなことがないよう再発防止に取り組んでまいります。  原因につきましてはこちらでお知らせしています。 ↓  https://t.co/Yb7SbWxixk,ja,[],['https://subway.osakametro.co.jp/news/news/other/20210614_r1umeda_owabi.php'],[],3,169,296,[],[],https://twitter.com/osakatransport/status/1404324490838900738,False,,0,,,,,,,,[],,,,
1404057945101402115,1404057945101402115,2021-06-13 12:47:54 UTC,2021-06-13,12:47:54,+0000,942823662,osakatransport,Osaka Metro　運行情報,,2021年6月13日21時46分現在の運行情報です。堺筋線において、現在ダイヤが乱れております。,ja,[],[],[],0,58,119,[],[],https://twitter.com/osakatransport/status/1404057945101402115,False,,0,,,,,,,,[],,,,
1402825779596066820,1402786246791815169,2021-06-10 03:11:43 UTC,2021-06-10,03:11:43,+0000,942823662,osakatransport,Osaka Metro　運行情報,,千里中央駅から新大阪駅間及びなんば駅からなかもず駅間での折り返し運転を行っていましたが、櫛状ゴムの撤去し安全が確認できましたため、11時15分から全線で運転を再開しました。 ご利用のお客さまに、多大なご迷惑をおかけしましたことを深くお詫び申し上げます。,ja,[],[],[],0,221,260,[],[],https://twitter.com/osakatransport/status/1402825779596066820,False,,0,,,,,,,,[],,,,
1402812388340944896,1402812388340944896,2021-06-10 02:18:31 UTC,2021-06-10,02:18:31,+0000,942823662,osakatransport,Osaka Metro　運行情報,,2021年6月10日11時15分現在の運行情報です。運転を見合わせておりました御堂筋線は列車の運転を再開しました。なお、ダイヤが乱れております。,ja,[],[],[],2,342,363,[],[],https://twitter.com/osakatransport/status/1402812388340944896,False,,0,,,,,,,,[],,,,
1402786300797747202,1402786246791815169,2021-06-10 00:34:51 UTC,2021-06-10,00:34:51,+0000,942823662,osakatransport,Osaka Metro　運行情報,,現在、復旧に向け作業を進めており、全線での運転再開は、本日12時頃になる見込みです。 ご利用のお客さまに、多大なご迷惑をおかけしておりますことを深くお詫び申し上げます。,ja,[],[],[],8,500,351,[],[],https://twitter.com/osakatransport/status/1402786300797747202,False,,0,,,,,,,,[],,,,
1402786246791815169,1402786246791815169,2021-06-10 00:34:38 UTC,2021-06-10,00:34:38,+0000,942823662,osakatransport,Osaka Metro　運行情報,,本日5時57分頃、御堂筋線梅田駅の千里中央方面行ホームにおいて、ホーム側に設置している列車とホームの隙間を解消するための櫛状ゴムに列車が接触する事象が発生したため、御堂筋線の全列車の運転を見合わせました 現在千里中央駅～新大阪駅間、なんば駅～なかもず駅間での折り返し運転を行っています,ja,[],[],[],8,1038,870,[],[],https://twitter.com/osakatransport/status/1402786246791815169,False,,0,,,,,,,,[],,,,
1402754136957865987,1402753429609467905,2021-06-09 22:27:02 UTC,2021-06-09,22:27:02,+0000,942823662,osakatransport,Osaka Metro　運行情報,,現在、御堂筋線は千里中央駅～新大阪駅、なんば駅～なかもず駅間での折り返し運転を実施しています。,ja,[],[],[],5,417,240,[],[],https://twitter.com/osakatransport/status/1402754136957865987,False,,0,,,,,,,,[],,,,
1402753429609467905,1402753429609467905,2021-06-09 22:24:14 UTC,2021-06-09,22:24:14,+0000,942823662,osakatransport,Osaka Metro　運行情報,,2021年6月10日7時20分現在の運行状況です。御堂筋線は、現在、なんば駅～新大阪駅間で運転を見合わせ中です。,ja,[],[],[],5,469,360,[],[],https://twitter.com/osakatransport/status/1402753429609467905,False,,0,,,,,,,,[],,,,
1402745091026952192,1402745091026952192,2021-06-09 21:51:06 UTC,2021-06-09,21:51:06,+0000,942823662,osakatransport,Osaka Metro　運行情報,,2021年6月10日6時45分現在の運行状況です。運転を見合わせておりました御堂筋線は、現在、なんば駅～なかもず駅間での折り返し運転を実施しています。,ja,[],[],[],4,506,424,[],[],https://twitter.com/osakatransport/status/1402745091026952192,False,,0,,,,,,,,[],,,,
1402738378257305600,1402738378257305600,2021-06-09 21:24:25 UTC,2021-06-09,21:24:25,+0000,942823662,osakatransport,Osaka Metro　運行情報,,2021年6月10日6時24分現在の運行状況です。御堂筋線梅田駅での 点検のため、御堂筋線の運転を停止しています。,ja,[],[],[],35,959,840,[],[],https://twitter.com/osakatransport/status/1402738378257305600,False,,0,,,,,,,,[],,,,
1401687527426125825,1401687527426125825,2021-06-06 23:48:43 UTC,2021-06-06,23:48:43,+0000,942823662,osakatransport,Osaka Metro　運行情報,,2021年6月7日8時45分現在の運行情報です。堺筋線において、現在ダイヤが乱れております。,ja,[],[],[],0,49,118,[],[],https://twitter.com/osakatransport/status/1401687527426125825,False,,0,,,,,,,,[],,,,
1399231005165199360,1399231005165199360,2021-05-31 05:07:22 UTC,2021-05-31,05:07:22,+0000,942823662,osakatransport,Osaka Metro　運行情報,,【お知らせ】 Osaka Metroは、2021年6月5日（土）以降の、土・日・休日ダイヤの減便を取りやめます。 なお、平日22時以降の減便につきましては引き続き行います。  お客様には、引き続き、感染拡大防止の観点から、不要不急の外出自粛へのご協力をお願いいたします。,ja,[],[],[],5,263,390,[],[],https://twitter.com/osakatransport/status/1399231005165199360,False,,0,,,,,,,,[],,,,
1395001135094583302,1395001135094583302,2021-05-19 12:59:23 UTC,2021-05-19,12:59:23,+0000,942823662,osakatransport,Osaka Metro　運行情報,,2021年5月19日21時55分現在の運行情報です。運転を見合わせておりました堺筋線は列車の運転を再開しました。なお、ダイヤが乱れている場合があります。,ja,[],[],[],0,37,86,[],[],https://twitter.com/osakatransport/status/1395001135094583302,False,,0,,,,,,,,[],,,,
