id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1168874739026165760,1168874739026165760,2019-09-03 13:13:49 UTC,2019-09-03,13:13:49,+0000,899965104359211008,popo39_official,《SKE48》岡田 美紅🐈🌈💕,,今日は､#trico さんにて #髪質改善 をして頂きました🙈✨ 人生初ブリーチで､すごく明るい 髪色になりました😉♪  ありがとうございました💓  https://t.co/I9WJkktFQ7,ja,[],['https://www.instagram.com/p/B180jMJJXu3/?igshid=1dstgs7kx5aln'],[],38,30,458,"['trico', '髪質改善']",[],https://twitter.com/popo39_official/status/1168874739026165760,False,,0,,,,,,,,[],,,,
1123938003611680769,1123550763806892032,2019-05-02 13:11:16 UTC,2019-05-02,13:11:16,+0000,899965104359211008,popo39_official,《SKE48》岡田 美紅🐈🌈💕,,@harutamchan ととととと届きましたぁぁあああ😭💕✨  長くなってしまいすみません😂 本当に嬉しい·····😿💕💕  https://t.co/nUMkzYlMJI,ja,[],[],['https://pbs.twimg.com/media/D5kHpW-W0AIUIXW.jpg'],25,76,612,[],[],https://twitter.com/popo39_official/status/1123938003611680769,False,,1,https://pbs.twimg.com/media/D5kHpW-W0AIUIXW.jpg,,,,,,,"[{'screen_name': 'harutamchan', 'name': '二村春香', 'id': '3744898693'}]",,,,
1123568915169173504,1123568915169173504,2019-05-01 12:44:38 UTC,2019-05-01,12:44:38,+0000,899965104359211008,popo39_official,《SKE48》岡田 美紅🐈🌈💕,,わざわざお手紙を書いて来てくれた #池田楓 ちゃん😊♡  私が卒業発表した日の S公演の見学に来ていた、勉強熱心な #中坂美祐 ちゃん😚♡  モバメに私の事を書いてくれてた #荒野姫楓 ちゃん☺️♡  初めてお話ししたけど、本当に 皆可愛いかった🥺💕  今度、一緒にお寿司もアイスも食べようねぇぇえええ  https://t.co/0WTY24FE23,ja,[],[],"['https://pbs.twimg.com/media/D5e39FgUYAAuVxT.jpg', 'https://pbs.twimg.com/media/D5e39FfV4AAhl1X.jpg', 'https://pbs.twimg.com/media/D5e39FjUUAESpYi.jpg', 'https://pbs.twimg.com/media/D5e39FfUUAI6dQz.jpg']",49,166,1202,"['池田楓', '中坂美祐', '荒野姫楓']",[],https://twitter.com/popo39_official/status/1123568915169173504,False,,1,https://pbs.twimg.com/media/D5e39FgUYAAuVxT.jpg,,,,,,,[],,,,
1123563780191838208,1123550763806892032,2019-05-01 12:24:14 UTC,2019-05-01,12:24:14,+0000,899965104359211008,popo39_official,《SKE48》岡田 美紅🐈🌈💕,,@matsu_asu22 その節は、お忙しい中 共演を引き受けて下さり 本当にありがとうございました🙇🏻‍♀️✨  いえいえ！アシスタントだなんて 恐れ多いです😣💦 これからはテレビの前で拝見させて頂く側 として、松元さんの益々のご活躍を 楽しみにしています☺️♪  お祝いのコメントも ありがとうございます😊💕,ja,[],[],[],1,2,53,[],[],https://twitter.com/popo39_official/status/1123563780191838208,False,,0,,,,,,,,"[{'screen_name': 'matsu_asu22', 'name': '松元飛鳥', 'id': '703893884087062529'}]",,,,
1123550763806892032,1123550763806892032,2019-05-01 11:32:31 UTC,2019-05-01,11:32:31,+0000,899965104359211008,popo39_official,《SKE48》岡田 美紅🐈🌈💕,,皆と過ごしてきた日々を 少しずつ少しずつ振り返りながら お話してると、もう 感極まって泣きすぎて·····😭💕💦  駆けつけて下さったファンの皆様、 メンバー、スタッフさん····· アイドル人生最後の握手会 ありがとうございました🙌🏻❤  私の事を見つけてくれた皆が だいだいだいだいだいすき🥺🥺🥺  https://t.co/6z7EixETHI,ja,[],[],"['https://pbs.twimg.com/media/D5encvGVUAAHFFj.jpg', 'https://pbs.twimg.com/media/D5encvDU8AEkVm-.jpg', 'https://pbs.twimg.com/media/D5encu2V4AA6Edq.jpg', 'https://pbs.twimg.com/media/D5encu4UwAEY5cz.jpg']",250,426,2892,[],[],https://twitter.com/popo39_official/status/1123550763806892032,False,,1,https://pbs.twimg.com/media/D5encvGVUAAHFFj.jpg,,,,,,,[],,,,
1123418988497604608,1123418988497604608,2019-05-01 02:48:53 UTC,2019-05-01,02:48:53,+0000,899965104359211008,popo39_official,《SKE48》岡田 美紅🐈🌈💕,,え！あさなさん🥺💕💕  嬉しいです。。 ありがとうございます😊♪,ja,[],[],[],21,59,662,[],[],https://twitter.com/popo39_official/status/1123418988497604608,False,https://twitter.com/daisuki_wan/status/1123252818259861505,0,,,,,,,,[],,,,
1123331822274760704,1123331822274760704,2019-04-30 21:02:31 UTC,2019-04-30,21:02:31,+0000,899965104359211008,popo39_official,《SKE48》岡田 美紅🐈🌈💕,,おはようございます！  オーディションSHOWROOMで 私が最後に弾き語った曲で 本当にお別れです☺️ 初心忘るべからずですので😎👍🏻笑  secret base〜君がくれたもの〜/#ZONE さん  今まで本当に 有難うございました😊🙌🏻 本日の握手会も 宜しくお願い致します😁💕  https://t.co/gLwfJo3Bh7,ja,[],[],[],171,272,1719,['zone'],[],https://twitter.com/popo39_official/status/1123331822274760704,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1123331696105906176/pu/img/jtRKLfQM6dAUj77Z.jpg,,,,,,,[],,,,
1123239586551885824,1123239586551885824,2019-04-30 14:56:00 UTC,2019-04-30,14:56:00,+0000,899965104359211008,popo39_official,《SKE48》岡田 美紅🐈🌈💕,,平成がもう終わってしまう🙂💦 #平成最後  平成最後のじゃないけど まだ間に合ったから 大好きな曲😚💕 (↑タグ使ってみたかった勢)笑笑  ハモれてるか分かんないけど😇ﾌﾌﾌ  渋谷川/#ゆいちゃんず さん #今泉佑唯 さん♡ #小林由依 さん♡ #欅坂46 さん  https://t.co/c3jhieoY3V,ja,[],[],[],77,150,1040,"['平成最後', 'ゆいちゃんず', '今泉佑唯', '小林由依', '欅坂46']",[],https://twitter.com/popo39_official/status/1123239586551885824,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1123239268371951617/pu/img/_fzEPfUDUJ7uOTH-.jpg,,,,,,,[],,,,
1123192634321694720,1123192634321694720,2019-04-30 11:49:26 UTC,2019-04-30,11:49:26,+0000,899965104359211008,popo39_official,《SKE48》岡田 美紅🐈🌈💕,,皆さん、、、 こんなにギターも歌も素人な動画を たくさん聴いてくれて 本当にありがとう😭🙏🏻✨✨  いいねやコメントやRTも たくさんたくさんありがとう!!!  動画作り甲斐がありました🥺💕 歌い甲斐がありました☺️,ja,[],[],[],111,146,1301,[],[],https://twitter.com/popo39_official/status/1123192634321694720,False,,0,,,,,,,,[],,,,
1123184446528557056,1123184446528557056,2019-04-30 11:16:54 UTC,2019-04-30,11:16:54,+0000,899965104359211008,popo39_official,《SKE48》岡田 美紅🐈🌈💕,,遅ればせながらですが···💦 私がチームSに昇格させて頂いてから 1年が経ったそうな☺️  ˚*.✩1st anniversary✩.*˚  正規メンバーになってまだ1歳の ひよっこ🐣な私と、一緒に歩んでくれたファンの皆さんに··· HAPPY BIRTHDAY/#backnumber さん  皆が居てくれたからここまで来られました!ありがとう😊  https://t.co/PkputgHSXy,ja,[],[],[],109,211,1602,['backnumber'],[],https://twitter.com/popo39_official/status/1123184446528557056,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1123184258145591302/pu/img/iFWm6W1jr3VRlLvR.jpg,,,,,,,[],,,,
