id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1285772879364161541,1285772879364161541,2020-07-22 03:05:17 UTC,2020-07-22,03:05:17,+0000,1200288479323676675,shiranakute_ntv,「知らなくていいコト」【公式】Blu-ray & DVD BOX発売中🤫,,【お知らせ👍✨】 お久しぶりです😊  本日、7月22日‼️ 『#知らなくていいコト』Blu-ray &amp; DVD BOX発売日です💿🥳 特典映像満載です✨  ケイト、尾高、野中、イースト編集部のみんなに会いたくなっちゃいましたよね？😆✨  ★詳細はコチラ👇  https://t.co/Ul5XNeP5X8  #吉高由里子 #柄本佑 #重岡大毅,ja,[],['https://www.ntv.co.jp/shiranakuteiikoto/articles/451uu9y1gcpwswnk1ol.html'],[],13,352,2231,"['知らなくていいコト', '吉高由里子', '柄本佑', '重岡大毅']",[],https://twitter.com/shiranakute_ntv/status/1285772879364161541,False,,0,,,,,,,,[],,,,
1237747808314068997,1237747808314068997,2020-03-11 14:30:48 UTC,2020-03-11,14:30:48,+0000,1200288479323676675,shiranakute_ntv,「知らなくていいコト」【公式】Blu-ray & DVD BOX発売中🤫,,【知らなくていいコトー完ー🙌】 最後までご視聴頂き、本当にありがとうございました😊毎週たくさん盛り上げて頂き、本当に感謝です☺️ また、いつかどこかで🤫✨ #知らなくていいコト  #吉高由里子 #柄本佑  https://t.co/VmrJLeNQeJ,ja,[],[],['https://pbs.twimg.com/media/ES1dEVWUcAMNWI1.jpg'],355,2493,23569,"['知らなくていいコト', '吉高由里子', '柄本佑']",[],https://twitter.com/shiranakute_ntv/status/1237747808314068997,False,,1,https://pbs.twimg.com/media/ES1dEVWUcAMNWI1.jpg,,,,,,,[],,,,
1237723698800410626,1237723698800410626,2020-03-11 12:55:00 UTC,2020-03-11,12:55:00,+0000,1200288479323676675,shiranakute_ntv,「知らなくていいコト」【公式】Blu-ray & DVD BOX発売中🤫,,【いよいよ今夜最終回😘🤗😭😅😊】 放送まであと5分‼️‼️‼️ 貴重な3shotでお知らせします✨  ケイトと尾高、禁断の恋の結末は⁉️ 乃十阿事件の先に ケイトが見つけた答えとは…  皆さん、最後まで見守ってください✨ 最終回はこのあとすぐ💕📺  #知らなくていいコト  https://t.co/6TgrGH6i6T,ja,[],[],[],64,1909,11255,['知らなくていいコト'],[],https://twitter.com/shiranakute_ntv/status/1237723698800410626,False,,1,https://pbs.twimg.com/amplify_video_thumb/1237664696330641409/img/ld72yi1Er9ppW_33.jpg,,,,,,,[],,,,
1237718436928577538,1237718436928577538,2020-03-11 12:34:05 UTC,2020-03-11,12:34:05,+0000,1200288479323676675,shiranakute_ntv,「知らなくていいコト」【公式】Blu-ray & DVD BOX発売中🤫,,【大事なお知らせ🕺💥】 今夜の最終回放送直後に、公式YouTube上にあがっている #知らなくていいコト 関連の全ての動画が見られなくなります😭PR動画、胸キュンまとめ動画、裏スクープちゃんねる、など…😫もう一回見たい動画は今のうちに見ておいてくださいね✊👀✨  https://t.co/IKjtkP4ieK,ja,[],['https://www.ntv.co.jp/shiranakuteiikoto/movie/'],[],27,311,2577,['知らなくていいコト'],[],https://twitter.com/shiranakute_ntv/status/1237718436928577538,False,,0,,,,,,,,[],,,,
1237717407923232769,1237717407923232769,2020-03-11 12:30:00 UTC,2020-03-11,12:30:00,+0000,1200288479323676675,shiranakute_ntv,「知らなくていいコト」【公式】Blu-ray & DVD BOX発売中🤫,,【いよいよ今夜最終回😘🤗😭😅😊】 放送まであと30分‼️ ケイトがお知らせします✨  ケイトと尾高、禁断の恋の結末は⁉️ 乃十阿事件の先に ケイトが見つけた答えとは… 皆さん、最後まで見守ってください✨  最終回、ぜひご覧ください‼️💕📺   #知らなくていいコト #吉高由里子 #真壁ケイト  https://t.co/olYlewc9dD,ja,[],[],[],20,419,3952,"['知らなくていいコト', '吉高由里子', '真壁ケイト']",[],https://twitter.com/shiranakute_ntv/status/1237717407923232769,False,,1,https://pbs.twimg.com/amplify_video_thumb/1237628507800211462/img/HajmsCl5xT_HL06h.jpg,,,,,,,[],,,,
1237714802761273344,1237714802761273344,2020-03-11 12:19:39 UTC,2020-03-11,12:19:39,+0000,1200288479323676675,shiranakute_ntv,「知らなくていいコト」【公式】Blu-ray & DVD BOX発売中🤫,,【最終回目前😭✨】 ケイトと乃十阿のこの笑顔😢それだけで泣けます…尊い😭どんな結末になるか、皆さん見届けてください✋すっごく素敵なシーンになっています🚲✨最終回を見たあとにまたこの写真を見てもらえると嬉しいです☺️また違う見方ができるかと😊 #知らなくていいコト #吉高由里子 #小林薫  https://t.co/8xXcBzsIDb,ja,[],[],['https://pbs.twimg.com/media/ES0_DTKUEAA_1tW.jpg'],20,551,7110,"['知らなくていいコト', '吉高由里子', '小林薫']",[],https://twitter.com/shiranakute_ntv/status/1237714802761273344,False,,1,https://pbs.twimg.com/media/ES0_DTKUEAA_1tW.jpg,,,,,,,[],,,,
1237709859606474752,1237709859606474752,2020-03-11 12:00:00 UTC,2020-03-11,12:00:00,+0000,1200288479323676675,shiranakute_ntv,「知らなくていいコト」【公式】Blu-ray & DVD BOX発売中🤫,,【いよいよ今夜最終回😘🤗😭😅😊】 放送まであと1時間‼️ 尾高さんがお知らせします✨  ケイトと尾高、禁断の恋の結末は⁉️ 乃十阿事件の先に ケイトが見つけた答えとは… 皆さん、最後まで見守ってください✨  最終回はこのあと10時放送💕📺 お楽しみに♬  #知らなくていいコト #柄本佑 #尾高由一郎  https://t.co/lILhzqtTqX,ja,[],[],[],32,649,5572,"['知らなくていいコト', '柄本佑', '尾高由一郎']",[],https://twitter.com/shiranakute_ntv/status/1237709859606474752,False,,1,https://pbs.twimg.com/amplify_video_thumb/1237628493095006209/img/WolFY_kM0N13oXDE.jpg,,,,,,,[],,,,
1237705696969293825,1237705696969293825,2020-03-11 11:43:28 UTC,2020-03-11,11:43:28,+0000,1200288479323676675,shiranakute_ntv,「知らなくていいコト」【公式】Blu-ray & DVD BOX発売中🤫,,【最終回目前😭😭😭】 まだまだオフショットあったー✌️😎どどんっ🕺おい！福西！イキった髪型してどーした🙄⁉️佐藤はアンパン食べすぎ注意☝️倉橋さんケイトの手作り部屋でくつろぐの巻😪仲良し鮫島さん木嶋さんは五十肩について話してた直後の巻👬いろんな思い出が蘇るなぁ😂#知らなくていいコト  https://t.co/0LjKRWTUJT,ja,[],[],"['https://pbs.twimg.com/media/ES02xRcUcAI3bM0.jpg', 'https://pbs.twimg.com/media/ES02xRcUcAEUCXt.jpg', 'https://pbs.twimg.com/media/ES02xRdUcAEFRFE.jpg']",4,242,3606,['知らなくていいコト'],[],https://twitter.com/shiranakute_ntv/status/1237705696969293825,False,,1,https://pbs.twimg.com/media/ES02xRcUcAI3bM0.jpg,,,,,,,[],,,,
1237694759524696065,1237694759524696065,2020-03-11 11:00:00 UTC,2020-03-11,11:00:00,+0000,1200288479323676675,shiranakute_ntv,「知らなくていいコト」【公式】Blu-ray & DVD BOX発売中🤫,,【いよいよ今夜最終回😘🤗😭😅😊】 放送まであと2時間‼️ 野中がお知らせします✨  ケイトと尾高、禁断の恋の結末は⁉️ 乃十阿事件の先に ケイトが見つけた答えとは… 皆さん、最後まで見守ってください✨  最終回はこのあと10時から💕📺 お見逃しなく👀💥  #知らなくていいコト #重岡大毅 #野中春樹  https://t.co/jgs7IxqV37,ja,[],[],[],17,2772,12107,"['知らなくていいコト', '重岡大毅', '野中春樹']",[],https://twitter.com/shiranakute_ntv/status/1237694759524696065,False,,1,https://pbs.twimg.com/amplify_video_thumb/1237664696217419776/img/1UBXMCjBUXE9-xj0.jpg,,,,,,,[],,,,
1237679847201099776,1237679847201099776,2020-03-11 10:00:45 UTC,2020-03-11,10:00:45,+0000,1200288479323676675,shiranakute_ntv,「知らなくていいコト」【公式】Blu-ray & DVD BOX発売中🤫,,このあと10時からは、いよいよ最終回 😭😭😭📺 #知らなくていいコトクイズ もラストです‼️‼️ 最終回、ある大きな決断をする ＃野中春樹（#重岡大毅 ）が、ペットショップで見つけた生き物は❓🐶🐱🦔🐢 ラストクイズ、皆さんぜひご参加下さい⭐️,ja,[],[],[],8,256,2486,"['知らなくていいコトクイズ', '野中春樹', '重岡大毅']",[],https://twitter.com/shiranakute_ntv/status/1237679847201099776,False,https://twitter.com/shiranakute_ntv/status/1236592497586876420,0,,,,,,,,[],,,,
1237667149860069377,1237667149860069377,2020-03-11 09:10:17 UTC,2020-03-11,09:10:17,+0000,1200288479323676675,shiranakute_ntv,「知らなくていいコト」【公式】Blu-ray & DVD BOX発売中🤫,,【カウントダウン😭⏰】 ついに最終回のカウントダウン😢放送まであと4時間😫編集部の何気ない写真を小出しにしていきます🥳班を通り越してみんな仲良しすぎて、最高のメンバーでした😇今夜は是非セリフのない編集部員の動きにもご注目ください☝️#知らなくていいコト #今井隆文 #本多力 #和田聰宏  https://t.co/PjoLLV0tET,ja,[],[],['https://pbs.twimg.com/media/ES0TtcqUwAAX3Sa.jpg'],4,163,2208,"['知らなくていいコト', '今井隆文', '本多力', '和田聰宏']",[],https://twitter.com/shiranakute_ntv/status/1237667149860069377,False,,1,https://pbs.twimg.com/media/ES0TtcqUwAAX3Sa.jpg,,,,,,,[],,,,
