id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413805663763918849,1413805663763918849,2021-07-10 10:21:52 UTC,2021-07-10,10:21:52,+0000,102278397,tanakaryusaku,田中龍作,,オリンピックさえなければ、コロナ感染はもっと封じ込められた。補償も手厚くできた。  バッハこそ人道に対する罪でハーグの国際刑事法廷に起訴されて当然なのだ。  新記事『バッハの宿泊先で「帰れ」と叫ぶ　総督閣下に近づけさせまいと必死の警察』   https://t.co/iaftyqGciB  撮影：田中龍作  https://t.co/nwx7BuTGaE,ja,[],['https://tanakaryusaku.jp/2021/07/00025330'],['https://pbs.twimg.com/media/E57Yu6QUcAU7P3u.jpg'],2,219,292,[],[],https://twitter.com/tanakaryusaku/status/1413805663763918849,False,,1,https://pbs.twimg.com/media/E57Yu6QUcAU7P3u.jpg,,,,,,,[],,,,
1413774257478197249,1413774257478197249,2021-07-10 08:17:04 UTC,2021-07-10,08:17:04,+0000,102278397,tanakaryusaku,田中龍作,,敬愛する本間さん。それが結構荒れたんだよ。  記事を書いた東スポの記者は、私もよく知ってる人物で、日頃から社会ネタを熱心に取材している。  田中も現場にいたけど、東スポの彼はきょうも密着取材で、ありのままの現実を伝えていたよ。,ja,[],[],[],0,82,110,[],[],https://twitter.com/tanakaryusaku/status/1413774257478197249,False,https://twitter.com/desler/status/1413768814634831876,0,,,,,,,,[],,,,
1413743703844298755,1413743703844298755,2021-07-10 06:15:39 UTC,2021-07-10,06:15:39,+0000,102278397,tanakaryusaku,田中龍作,,「バッハは帰れ」デモ隊がIOCバッハ会長の宿泊先であるホテルオークラに近づこうとしたところ、警察2個小隊が出て力づくで阻んだ。現在、歩道上で押し合いが続く。「警察帰れ」 の怒号が飛ぶ。  詳しくは後ほど田中龍作ジャーナルでリポートする。,ja,[],[],[],58,2200,4149,[],[],https://twitter.com/tanakaryusaku/status/1413743703844298755,False,,0,,,,,,,,[],,,,
1413649751774437380,1413649751774437380,2021-07-10 00:02:19 UTC,2021-07-10,00:02:19,+0000,102278397,tanakaryusaku,田中龍作,,ご指摘有難うございます。自らを戒めます。,ja,[],[],[],0,2,6,[],[],https://twitter.com/tanakaryusaku/status/1413649751774437380,False,https://twitter.com/kanayasetsuko/status/1413648366450331650,0,,,,,,,,[],,,,
1413630827674570752,1413630827674570752,2021-07-09 22:47:07 UTC,2021-07-09,22:47:07,+0000,102278397,tanakaryusaku,田中龍作,,変異株が猛威をふるうインド。約3千人の子供がコロナで両親を失い孤児となった。この先、どうやって生きて行けといのか。  東京五輪を強行すれば、インドに勝るとも劣らぬ惨劇が予想されている。  バッハに子供たちの将来を差し出すのか。菅さん。あなたは、それでも日本国の総理なのか。  https://t.co/YKaIZlbmTu,ja,[],[],['https://pbs.twimg.com/media/E545nPFVIAMbo0v.png'],0,197,287,[],[],https://twitter.com/tanakaryusaku/status/1413630827674570752,False,,1,https://pbs.twimg.com/media/E545nPFVIAMbo0v.png,,,,,,,[],,,,
1413612308677283841,1413612308677283841,2021-07-09 21:33:32 UTC,2021-07-09,21:33:32,+0000,102278397,tanakaryusaku,田中龍作,,有難うございます。翁長知事の怒った目、（安倍晋三のすぐ右奥の）女の子の怯えた目。何万言を費やしても表現できないメッセージが込められています。  ピンの置き方からして、明らかに最初から狙っていたショット。沖縄2紙のカメラマンならではの1枚です。脱帽します。,ja,[],[],[],3,79,161,[],[],https://twitter.com/tanakaryusaku/status/1413612308677283841,False,https://twitter.com/topgun_x/status/1413608044949217284,0,,,,,,,,[],,,,
1413606718571876352,1413606718571876352,2021-07-09 21:11:19 UTC,2021-07-09,21:11:19,+0000,102278397,tanakaryusaku,田中龍作,,有難うございます。心強い限りです。,ja,[],[],[],1,0,5,[],[],https://twitter.com/tanakaryusaku/status/1413606718571876352,False,https://twitter.com/tatatsuya5/status/1413605767463129095,0,,,,,,,,[],,,,
1413596088192233474,1413596088192233474,2021-07-09 20:29:05 UTC,2021-07-09,20:29:05,+0000,102278397,tanakaryusaku,田中龍作,,議員専用エレベーターに同乗し、間近に見た菅官房長官（当時）の目は、この写真と同じだった。いや、もっとグロテスクだったか。  ファインダー越しに見える顔は、その人物の人間性を活写している。  1秒間に何百枚、何千枚の連写をしても人間性は変わらない・・・というのが私の経験則です。,ja,[],[],[],3,34,83,[],[],https://twitter.com/tanakaryusaku/status/1413596088192233474,False,https://twitter.com/miura_hideyuki/status/1413420832131403776,0,,,,,,,,[],,,,
1413475061898506246,1413475061898506246,2021-07-09 12:28:10 UTC,2021-07-09,12:28:10,+0000,102278397,tanakaryusaku,田中龍作,,アルルの男・ヒロシ @bilderberg54 ·総選挙は与党の歴史的な敗北になるかもしれないが、しかし、それは野党の政策が優れていたわけではない、ということになれば、すぐに野党はひっくり返る。野党は骨太の積極財政の経済政策を原口・馬淵で作り、枝野に丸呑みさせるべき。        ↑ 至言です。,ja,"[{'screen_name': 'bilderberg54', 'name': 'アルルの男・ヒロシ', 'id': '22439159'}]",[],[],0,14,36,[],[],https://twitter.com/tanakaryusaku/status/1413475061898506246,False,,0,,,,,,,,[],,,,
1413468402153263109,1413468402153263109,2021-07-09 12:01:42 UTC,2021-07-09,12:01:42,+0000,102278397,tanakaryusaku,田中龍作,,有り難うございました。大変助かります。,ja,[],[],[],1,0,5,[],[],https://twitter.com/tanakaryusaku/status/1413468402153263109,False,https://twitter.com/tatatsuya5/status/1412867196586323970,0,,,,,,,,[],,,,
