id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413778612432506884,1413778612432506884,2021-07-10 08:34:22 UTC,2021-07-10,08:34:22,+0000,1539037489,tsubonari_8,壺也,,仕事仕事仕事,ja,[],[],[],0,0,12,[],[],https://twitter.com/tsubonari_8/status/1413778612432506884,False,,0,,,,,,,,[],,,,
1413524388293406720,1413524388293406720,2021-07-09 15:44:10 UTC,2021-07-09,15:44:10,+0000,1539037489,tsubonari_8,壺也,,またオミ  https://t.co/Hv5WiUh3cJ,ja,[],[],['https://pbs.twimg.com/media/E53Y7zaVUAUV8ip.jpg'],2,64,750,[],[],https://twitter.com/tsubonari_8/status/1413524388293406720,False,,1,https://pbs.twimg.com/media/E53Y7zaVUAUV8ip.jpg,,,,,,,[],,,,
1412816997071556611,1412816997071556611,2021-07-07 16:53:15 UTC,2021-07-07,16:53:15,+0000,1539037489,tsubonari_8,壺也,,数年前までおおきいいぬを多頭飼いしてたんですがみんな天国に行ってしまって、またおおきいいぬと暮らしてえ~と思って綺想夜曲に出しました…,ja,[],[],[],0,0,60,[],[],https://twitter.com/tsubonari_8/status/1412816997071556611,False,,0,,,,,,,,[],,,,
1412001197708386309,1412001197708386309,2021-07-05 10:51:33 UTC,2021-07-05,10:51:33,+0000,1539037489,tsubonari_8,壺也,,『暗天街綺想夜曲』の繁体字版が台湾東販さまより発売されております～ こちらもよろしくどうぞ！ https://t.co/B9lWRfspt9,ja,[],['https://www.tohan.com.tw/product.php?act=view&cid=107&id=6452'],[],0,6,96,[],[],https://twitter.com/tsubonari_8/status/1412001197708386309,False,https://twitter.com/tsubonari_8/status/1384506175534768131,0,,,,,,,,[],,,,
1411875088354267138,1411875088354267138,2021-07-05 02:30:27 UTC,2021-07-05,02:30:27,+0000,1539037489,tsubonari_8,壺也,,7/25(日)まで台湾のWrong Galleryさんにて前回個展『玉響の街』で出した作品を何点か展示していただいています。 台湾いきたかった　よろしくお願いします！,ja,[],[],[],0,3,28,[],[],https://twitter.com/tsubonari_8/status/1411875088354267138,False,,0,,,,,,,,[],,,,
1411871615986454529,1411871615986454529,2021-07-05 02:16:39 UTC,2021-07-05,02:16:39,+0000,1539037489,tsubonari_8,壺也,,絵たくさん見ていただき感謝…！,ja,[],[],[],0,0,19,[],[],https://twitter.com/tsubonari_8/status/1411871615986454529,False,,0,,,,,,,,[],,,,
1411568665737064453,1411568665737064453,2021-07-04 06:12:50 UTC,2021-07-04,06:12:50,+0000,1539037489,tsubonari_8,壺也,,仕事絵/ 百鬼異聞録「黄金時代」面霊気・荒・彼岸花・三目のスキンデザイン担当してました （実装デザインは若干変更があります）  https://t.co/qdujhtE6nY,ja,[],[],"['https://pbs.twimg.com/media/E5bgqUxVkAE6Wc1.jpg', 'https://pbs.twimg.com/media/E5bgzhjVIAEVD53.jpg', 'https://pbs.twimg.com/media/E5bg0ghVcAAllHJ.jpg', 'https://pbs.twimg.com/media/E5bg1s_VEAIl6hS.jpg']",3,1161,6177,[],[],https://twitter.com/tsubonari_8/status/1411568665737064453,False,,1,https://pbs.twimg.com/media/E5bgqUxVkAE6Wc1.jpg,,,,,,,[],,,,
1411548737495736324,1411548737495736324,2021-07-04 04:53:38 UTC,2021-07-04,04:53:38,+0000,1539037489,tsubonari_8,壺也,,pixivFANBOXでルクスとリヒト【高解像度版＋ラフ】を公開しました  https://t.co/Yzm7IqBNj0,ja,[],['https://tsubonari.fanbox.cc/posts/2442890?utm_campaign=manage_post_page&utm_medium=share&utm_source=twitter'],[],0,1,30,[],[],https://twitter.com/tsubonari_8/status/1411548737495736324,False,,0,,,,,,,,[],,,,
1411305512205910025,1411305512205910025,2021-07-03 12:47:09 UTC,2021-07-03,12:47:09,+0000,1539037489,tsubonari_8,壺也,,🤫  https://t.co/f86C0yM6ka,und,[],[],['https://pbs.twimg.com/media/E5X2VoMVkAMdplZ.jpg'],1,302,2565,[],[],https://twitter.com/tsubonari_8/status/1411305512205910025,False,,1,https://pbs.twimg.com/media/E5X2VoMVkAMdplZ.jpg,,,,,,,[],,,,
1410809913920475138,1410809913920475138,2021-07-02 03:57:49 UTC,2021-07-02,03:57:49,+0000,1539037489,tsubonari_8,壺也,,期間一日ちょいだと短かったかな…,ja,[],[],[],0,0,15,[],[],https://twitter.com/tsubonari_8/status/1410809913920475138,False,,0,,,,,,,,[],,,,
