id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413827909429587973,1413827909429587973,2021-07-10 11:50:15 UTC,2021-07-10,11:50:15,+0000,127773410,tutiyak,土屋幸太郎@土屋薬局 山形県東根市,,豆腐を水抜きしてから、いんげんと豆腐を炒め、大根おろしをかけ、紫蘇をかけて麺つゆで味付けです。  いんげん→消化吸収をよくし浮腫み解消  豆腐→疲労回復、ストレス緩和に  大根→消化を良くしてお腹スッキリ  紫蘇→梅雨のジメジメを爽やかに  梅雨空を食事で乗り越えましょう〜青空はもうすぐ！  https://t.co/mx8AY2qe1z,ja,[],[],['https://pbs.twimg.com/media/E57s_JVVEAIN0ej.jpg'],1,45,359,[],[],https://twitter.com/tutiyak/status/1413827909429587973,False,,1,https://pbs.twimg.com/media/E57s_JVVEAIN0ej.jpg,,,,,,,[],,,,
1413789939402108928,1413789939402108928,2021-07-10 09:19:23 UTC,2021-07-10,09:19:23,+0000,127773410,tutiyak,土屋幸太郎@土屋薬局 山形県東根市,,今日は土曜日で妻も息子と一緒にときおりお店にでてきたのですが、処方せんのお客様やまた漢方のお客様たちにもお会いしたりして、皆さま「めんこいねー」と言っていただいて喜んでもらいました。家でグズっていてもお店だと寝てるから、機嫌が良いから不思議です。ではではお疲れ様でしたー。よい晩を  https://t.co/77n11DQYUF,ja,[],[],"['https://pbs.twimg.com/media/E57Kc-gUcAMe5kF.jpg', 'https://pbs.twimg.com/media/E57Kc-hVcAMh3NC.jpg', 'https://pbs.twimg.com/media/E57Kc-jUUAMEtvT.jpg']",1,12,346,[],[],https://twitter.com/tutiyak/status/1413789939402108928,False,,1,https://pbs.twimg.com/media/E57Kc-gUcAMe5kF.jpg,,,,,,,[],,,,
1413754008733306883,1413754008733306883,2021-07-10 06:56:36 UTC,2021-07-10,06:56:36,+0000,127773410,tutiyak,土屋幸太郎@土屋薬局 山形県東根市,,夏で暑くなると冷えたドリンクや氷水、ビールに手が伸びますが、消化力が低下して体の元気が無くなってしまいます。  胃腸機能の低下は食欲不振や下痢、吐き気、胃もたれ、むくみなどの症状に。  そんな時にお助け漢方薬が体内の余分な湿気を除く勝湿顆粒や消化を助ける晶三仙です。  ご相談下さい！  https://t.co/sDjEReN09L,ja,[],[],"['https://pbs.twimg.com/media/E56pxxgVcAABwMn.jpg', 'https://pbs.twimg.com/media/E56pxxhUUAIhQIf.jpg']",0,23,176,[],[],https://twitter.com/tutiyak/status/1413754008733306883,False,,1,https://pbs.twimg.com/media/E56pxxgVcAABwMn.jpg,,,,,,,[],,,,
1413720637135228931,1413657705680576512,2021-07-10 04:44:00 UTC,2021-07-10,04:44:00,+0000,127773410,tutiyak,土屋幸太郎@土屋薬局 山形県東根市,,@kaichian0402 はい、生後2ヶ月で日々の成長ぶりに目を見張っています。息子は師匠です！,ja,[],[],[],1,0,1,[],[],https://twitter.com/tutiyak/status/1413720637135228931,False,,0,,,,,,,,"[{'screen_name': 'kaichian0402', 'name': 'リラックマ', 'id': '966352022713778176'}]",,,,
1413720419710820352,1413657705680576512,2021-07-10 04:43:08 UTC,2021-07-10,04:43:08,+0000,127773410,tutiyak,土屋幸太郎@土屋薬局 山形県東根市,,@uimny12379 毎日が合宿生活をしているような、修学旅行に来ているようなそんな感じです。楽しんでいきます。,ja,[],[],[],0,0,1,[],[],https://twitter.com/tutiyak/status/1413720419710820352,False,,0,,,,,,,,"[{'screen_name': 'uimny12379', 'name': 'eri', 'id': '773878726333431808'}]",,,,
1413718279193960455,1413657705680576512,2021-07-10 04:34:38 UTC,2021-07-10,04:34:38,+0000,127773410,tutiyak,土屋幸太郎@土屋薬局 山形県東根市,,@mayumik_630 こんにちは！ありがとうございます。子育て、今しかできない貴重な体験で、しかも50代の父親ですから楽しんでいます。😊,ja,[],[],[],0,0,1,[],[],https://twitter.com/tutiyak/status/1413718279193960455,False,,0,,,,,,,,"[{'screen_name': 'mayumik_630', 'name': 'まゆみ', 'id': '1038585196252033024'}]",,,,
1413717287861833735,1413717287861833735,2021-07-10 04:30:41 UTC,2021-07-10,04:30:41,+0000,127773410,tutiyak,土屋幸太郎@土屋薬局 山形県東根市,,梅雨時のだるさ、めまい、軟便、月経不順、月経痛などの原因は湿邪かも。  【胡瓜と茗荷の漬物】  キュウリは、過剰な水分をのぞきながら、必要な体液を補います。高温多湿の疲れやだるさに理想的な食材です。  ミョウガの辛味、香り成分もむくみを解消し血行を改善に役立ちます。夏野菜で梅雨を元気に  https://t.co/RFbtzNFkZ3,ja,[],[],['https://pbs.twimg.com/media/E56IYH_VgAIUzEH.jpg'],2,55,363,[],[],https://twitter.com/tutiyak/status/1413717287861833735,False,,1,https://pbs.twimg.com/media/E56IYH_VgAIUzEH.jpg,,,,,,,[],,,,
1413696662082445312,1413696662082445312,2021-07-10 03:08:44 UTC,2021-07-10,03:08:44,+0000,127773410,tutiyak,土屋幸太郎@土屋薬局 山形県東根市,,寒河江市から当店で子宝漢方をご利用していたお客様が生後45日くらいの赤ちゃんを抱いて家族3人でご来店。私もすぐに妻と息子を呼んで、赤ちゃんたちのご対面でした。向こうの赤ちゃんは髪の毛フサフサでめんこかったです。息子も大きくなってます。将来お友達になってねー。ではよい午後をー！  https://t.co/qSFRmX3on6,ja,[],[],['https://pbs.twimg.com/media/E551nnyUUAM1Di4.jpg'],0,8,334,[],[],https://twitter.com/tutiyak/status/1413696662082445312,False,,1,https://pbs.twimg.com/media/E551nnyUUAM1Di4.jpg,,,,,,,[],,,,
1413657705680576512,1413657705680576512,2021-07-10 00:33:56 UTC,2021-07-10,00:33:56,+0000,127773410,tutiyak,土屋幸太郎@土屋薬局 山形県東根市,,おはようございます。  生後2ヶ月を過ぎた息子。最近は左手の使い方覚えてきてタオルを下から上に上げて自分の顔にかける遊びを覚えたようです。手を握る、叩くなどしっかりしてきました。朝からミルク、うんち、ゲップ出しで大忙しでちょっとしたお祭りです。どっこい、どっこい。ではよい一日で！  https://t.co/rN3YG30QAc,ja,[],[],"['https://pbs.twimg.com/media/E55SL1kVEAI1PrQ.jpg', 'https://pbs.twimg.com/media/E55SL1lVEAABwgt.jpg', 'https://pbs.twimg.com/media/E55SL1kVoAMYDUX.jpg']",15,18,567,[],[],https://twitter.com/tutiyak/status/1413657705680576512,False,,1,https://pbs.twimg.com/media/E55SL1kVEAI1PrQ.jpg,,,,,,,[],,,,
1413616432806383616,1413616432806383616,2021-07-09 21:49:55 UTC,2021-07-09,21:49:55,+0000,127773410,tutiyak,土屋幸太郎@土屋薬局 山形県東根市,,鹿児島、宮崎、熊本に大雨特別警報発生など日本各地心配です。  【不安を感じたら労宮のツボ】  こぶしを作った時に中指と薬指の先駆け当たるあたりです。  不安を感じたら押しましょう。  手のひらを横に開いたり外側に反らしたりセルフケアでストレッチもさらに効果的。  週末はお気をつけください。  https://t.co/aWzgq2jj2e,ja,[],[],"['https://pbs.twimg.com/media/E54spzgVEAUBW1B.jpg', 'https://pbs.twimg.com/media/E54spzhVIAAjnw7.jpg', 'https://pbs.twimg.com/media/E54spzhUUAAYtrF.jpg']",1,126,457,[],[],https://twitter.com/tutiyak/status/1413616432806383616,False,,1,https://pbs.twimg.com/media/E54spzgVEAUBW1B.jpg,,,,,,,[],,,,
