id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413717558134337538,1413717558134337538,2021-07-10 04:31:46 UTC,2021-07-10,04:31:46,+0000,867679178727890945,wakana_kazuky,香月わかな🌛,,たまにGB🥺w,ja,[],[],[],2,0,45,[],[],https://twitter.com/wakana_kazuky/status/1413717558134337538,False,https://twitter.com/yaakun001/status/1413717400575377409,0,,,,,,,,[],,,,
1413717187072720896,1413717187072720896,2021-07-10 04:30:17 UTC,2021-07-10,04:30:17,+0000,867679178727890945,wakana_kazuky,香月わかな🌛,,SUPERGTの動画目を瞑って流して エンジン音でうちの子が来たときに目開けるうちの子ゲームしてる,ja,[],[],[],6,6,193,[],[],https://twitter.com/wakana_kazuky/status/1413717187072720896,False,,0,,,,,,,,[],,,,
1413680967009464325,1413680967009464325,2021-07-10 02:06:22 UTC,2021-07-10,02:06:22,+0000,867679178727890945,wakana_kazuky,香月わかな🌛,,押さなくて正解のときもあるのですね！！！,ja,[],[],[],1,0,49,[],[],https://twitter.com/wakana_kazuky/status/1413680967009464325,False,https://twitter.com/yukki525PTA/status/1413679091912372227,0,,,,,,,,[],,,,
1413678501601767432,1413678501601767432,2021-07-10 01:56:34 UTC,2021-07-10,01:56:34,+0000,867679178727890945,wakana_kazuky,香月わかな🌛,,どこ （諦めてスキップしました笑）  https://t.co/NTspa8Kfhl,ja,[],[],['https://pbs.twimg.com/media/E55lGfyUUAczgI_.jpg'],12,9,162,[],[],https://twitter.com/wakana_kazuky/status/1413678501601767432,False,,1,https://pbs.twimg.com/media/E55lGfyUUAczgI_.jpg,,,,,,,[],,,,
1412601711697358851,1412601711697358851,2021-07-07 02:37:47 UTC,2021-07-07,02:37:47,+0000,867679178727890945,wakana_kazuky,香月わかな🌛,,動物とかさ景色とかさごはんとかさ きれいなもの見たら写真撮りたくなるけど、その心はインスタに載せるためとかではなく、うわあわたしのスマホこんなに綺麗に撮れるの楽しい、この性能を活かせる最適な被写体ないかなというスマホ寄りの考えです。笑  https://t.co/SfCG82x27a,ja,[],[],['https://pbs.twimg.com/media/E5qRxQRVEAES69L.jpg'],6,3,184,[],[],https://twitter.com/wakana_kazuky/status/1412601711697358851,False,,1,https://pbs.twimg.com/media/E5qRxQRVEAES69L.jpg,,,,,,,[],,,,
1412319342566330378,1412319342566330378,2021-07-06 07:55:45 UTC,2021-07-06,07:55:45,+0000,867679178727890945,wakana_kazuky,香月わかな🌛,,かこ様づき様ランチしてきた🥰 合わせてないのに服おそろ😂 楽しかったああ  https://t.co/fR67ibdCSa,ja,[],[],['https://pbs.twimg.com/media/E5mQ9O3VEAE-MFa.jpg'],12,32,704,[],[],https://twitter.com/wakana_kazuky/status/1412319342566330378,False,,1,https://pbs.twimg.com/media/E5mQ9O3VEAE-MFa.jpg,,,,,,,[],,,,
1411921462059933698,1411921462059933698,2021-07-05 05:34:43 UTC,2021-07-05,05:34:43,+0000,867679178727890945,wakana_kazuky,香月わかな🌛,,こんにちは！元気です！,ja,[],[],[],24,9,258,[],[],https://twitter.com/wakana_kazuky/status/1411921462059933698,False,,0,,,,,,,,[],,,,
1410911954651127811,1410911449589829633,2021-07-02 10:43:18 UTC,2021-07-02,10:43:18,+0000,867679178727890945,wakana_kazuky,香月わかな🌛,,@yos1121 もってます,ja,[],[],[],1,0,1,[],[],https://twitter.com/wakana_kazuky/status/1410911954651127811,False,,0,,,,,,,,"[{'screen_name': 'yos1121', 'name': 'よっちゃん', 'id': '129712344'}]",,,,
1410594043927486465,1410594043927486465,2021-07-01 13:40:02 UTC,2021-07-01,13:40:02,+0000,867679178727890945,wakana_kazuky,香月わかな🌛,,22日ミスヤングチャンピオン撮影会です！,ja,[],[],[],0,2,66,[],[],https://twitter.com/wakana_kazuky/status/1410594043927486465,False,https://twitter.com/yos1121/status/1410586517479645184,0,,,,,,,,[],,,,
1410563289629614080,1410563289629614080,2021-07-01 11:37:49 UTC,2021-07-01,11:37:49,+0000,867679178727890945,wakana_kazuky,香月わかな🌛,,7月もよろしくお願いしますー！！ わたしの父は昔から7月のことなながつって言う派（聞き間違えを防ぐため）ですが同じ派の人いますか？,ja,[],[],[],21,5,206,[],[],https://twitter.com/wakana_kazuky/status/1410563289629614080,False,,0,,,,,,,,[],,,,
