id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413798909168685057,1413663858670006272,2021-07-10 09:55:01 UTC,2021-07-10,09:55:01,+0000,93844481,yugepo,湯毛@安井威(ヤスイタケシ),,@siteqube 共にがんばりましょう…！,ja,[],[],[],0,1,26,[],[],https://twitter.com/yugepo/status/1413798909168685057,False,,0,,,,,,,,"[{'screen_name': 'siteqube', 'name': 'ドグマ風見', 'id': '88991969'}]",,,,
1413783341225021440,1413783341225021440,2021-07-10 08:53:10 UTC,2021-07-10,08:53:10,+0000,93844481,yugepo,湯毛@安井威(ヤスイタケシ),,ね、ねむ,ja,[],[],[],9,2,181,[],[],https://twitter.com/yugepo/status/1413783341225021440,False,,0,,,,,,,,[],,,,
1413663858670006272,1413663858670006272,2021-07-10 00:58:23 UTC,2021-07-10,00:58:23,+0000,93844481,yugepo,湯毛@安井威(ヤスイタケシ),,今日の21時からは湯毛の弾き語りで決まり！ 娯楽溢れてるので異論は認める。  【2021年7月】湯毛スタジオ弾き語りライブ配信   https://t.co/a9l6ZfGfHc,ja,[],['https://live.nicovideo.jp/watch/lv332587825'],[],7,19,161,[],[],https://twitter.com/yugepo/status/1413663858670006272,False,,0,,,,,,,,[],,,,
1413663627157012483,1413663627157012483,2021-07-10 00:57:27 UTC,2021-07-10,00:57:27,+0000,93844481,yugepo,湯毛@安井威(ヤスイタケシ),,おはようごぜます,ja,[],[],[],16,2,212,[],[],https://twitter.com/yugepo/status/1413663627157012483,False,,0,,,,,,,,[],,,,
1413663572559761410,1413663572559761410,2021-07-10 00:57:14 UTC,2021-07-10,00:57:14,+0000,93844481,yugepo,湯毛@安井威(ヤスイタケシ),,やります！(たぶん),ja,[],[],[],1,4,123,[],[],https://twitter.com/yugepo/status/1413663572559761410,False,https://twitter.com/maemae2ks/status/1413422571874242563,0,,,,,,,,[],,,,
1413559876509331458,1413559876509331458,2021-07-09 18:05:11 UTC,2021-07-09,18:05:11,+0000,93844481,yugepo,湯毛@安井威(ヤスイタケシ),,おもしれえ,ja,[],[],[],1,3,192,[],[],https://twitter.com/yugepo/status/1413559876509331458,False,,0,,,,,,,,[],,,,
1413513872212779008,1413513872212779008,2021-07-09 15:02:23 UTC,2021-07-09,15:02:23,+0000,93844481,yugepo,湯毛@安井威(ヤスイタケシ),,イナズマイレブン初代を初プレイするリーヨ④  https://t.co/ID1BYoIu6O,ja,[],['https://youtu.be/-iG2DXi_IpA'],[],0,9,122,[],[],https://twitter.com/yugepo/status/1413513872212779008,False,,0,,,,,,,,[],,,,
1413499249312952326,1413499249312952326,2021-07-09 14:04:17 UTC,2021-07-09,14:04:17,+0000,93844481,yugepo,湯毛@安井威(ヤスイタケシ),,0時だ。  イナズマイレブン初代を初プレイするリーヨ④   https://t.co/ID1BYoIu6O,ja,[],['https://youtu.be/-iG2DXi_IpA'],[],1,12,141,[],[],https://twitter.com/yugepo/status/1413499249312952326,False,,0,,,,,,,,[],,,,
1413421366015975427,1413421366015975427,2021-07-09 08:54:48 UTC,2021-07-09,08:54:48,+0000,93844481,yugepo,湯毛@安井威(ヤスイタケシ),,あした、土曜21時からは弾き語りっ。 僕が自由に歌います。  【2021年7月】湯毛スタジオ弾き語りライブ配信   https://t.co/a9l6ZfGfHc,ja,[],['https://live.nicovideo.jp/watch/lv332587825'],[],2,17,168,[],[],https://twitter.com/yugepo/status/1413421366015975427,False,,0,,,,,,,,[],,,,
1413150863854489601,1413150863854489601,2021-07-08 14:59:55 UTC,2021-07-08,14:59:55,+0000,93844481,yugepo,湯毛@安井威(ヤスイタケシ),,TikToker yuge   https://t.co/BYnaa9t0hj,tl,[],['https://vt.tiktok.com/ZSJbWWGUs/'],[],4,16,156,[],[],https://twitter.com/yugepo/status/1413150863854489601,False,,0,,,,,,,,[],,,,
1413144112128135175,1413144112128135175,2021-07-08 14:33:05 UTC,2021-07-08,14:33:05,+0000,93844481,yugepo,湯毛@安井威(ヤスイタケシ),,日曜は、はみだせたらはみだそう,ja,[],[],[],8,9,237,[],[],https://twitter.com/yugepo/status/1413144112128135175,False,,0,,,,,,,,[],,,,
1413131024746176514,1413131024746176514,2021-07-08 13:41:05 UTC,2021-07-08,13:41:05,+0000,93844481,yugepo,湯毛@安井威(ヤスイタケシ),,今週7/10土曜21時からは弾き語りっ。 僕が自由に歌います。  【2021年7月】湯毛スタジオ弾き語りライブ配信   https://t.co/a9l6ZfGfHc,ja,[],['https://live.nicovideo.jp/watch/lv332587825'],[],1,11,153,[],[],https://twitter.com/yugepo/status/1413131024746176514,False,,0,,,,,,,,[],,,,
1413062984197308424,1413062984197308424,2021-07-08 09:10:43 UTC,2021-07-08,09:10:43,+0000,93844481,yugepo,湯毛@安井威(ヤスイタケシ),,大谷サァン…すごすぎて,ja,[],[],[],1,2,207,[],[],https://twitter.com/yugepo/status/1413062984197308424,False,,0,,,,,,,,[],,,,
